sequence,id,type,num,name
1,12100101,2,999,海洋之狼魂石
2,12100201,2,999,仲裁官魂石
3,12100301,2,999,复仇天使魂石
4,12100401,2,999,破誓者魂石
5,12100501,2,999,爆裂队长魂石
6,12100601,2,999,收割者魂石
7,12100701,2,999,灾祸使者魂石
8,12100801,2,999,唤魂妖姬魂石
9,12100901,2,999,黑暗先知魂石
10,12101001,2,999,灵翼刺客魂石
11,12101101,2,999,影之牙魂石
12,12200101,2,999,暮光骑士魂石
13,12200201,2,999,众神之剑魂石
14,12200301,2,999,通灵师魂石
15,12200401,2,999,精灵妖狐魂石
16,12200501,2,999,荒漠可汗魂石
17,12200601,2,999,圣殿先锋魂石
18,12200701,2,999,恶魔猎人魂石
19,12200801,2,999,风暴之眼魂石
20,12200901,2,999,原力法师魂石
21,12201001,2,999,熔岩斗士魂石
22,12201101,2,999,教廷圣女魂石
23,12300101,2,999,火焰领主魂石
24,12300201,2,999,黑羽之箭魂石
25,12300301,2,999,魅魔女王魂石
26,12300401,2,999,凤凰之心魂石
27,12300501,2,999,刀魂魂石
28,12300601,2,999,部族贤者魂石
29,12300701,2,999,灵界大帝魂石
30,12300801,2,999,觅血屠夫魂石
31,12300901,2,999,夺灵者魂石
32,12301001,2,999,恶魔之拥魂石
33,12301101,2,999,烈火精灵魂石
34,12301201,2,999,北岭之弓魂石
35,12400101,2,999,星界猎人魂石
36,12400201,2,999,雷霆之王魂石
37,12400301,2,999,圣光祭司魂石
38,12400401,2,999,碎颅者魂石
39,12400501,2,999,狂暴利刃魂石
40,12400601,2,999,混沌法师魂石
41,12400701,2,999,猩红之王魂石
42,12400801,2,999,仙林女神魂石
43,12400901,2,999,女伯爵魂石
44,12401001,2,999,元素之女魂石
45,12401101,2,999,冰晶之心魂石
46,79500101,2,999,王冠部件Ⅰ
47,79500102,2,999,王冠部件Ⅱ
48,79500103,2,999,王冠部件Ⅲ
49,79500104,2,999,王冠部件Ⅳ
50,79500105,2,999,王冠部件Ⅴ
51,79500106,2,999,王冠部件Ⅵ
52,79500201,2,999,道标部件Ⅰ
53,79500202,2,999,道标部件Ⅱ
54,79500203,2,999,道标部件Ⅲ
55,79500204,2,999,道标部件Ⅳ
56,79500205,2,999,道标部件Ⅴ
57,79500206,2,999,道标部件Ⅵ
58,79500301,2,999,戒指部件Ⅰ
59,79500302,2,999,戒指部件Ⅱ
60,79500303,2,999,戒指部件Ⅲ
61,79500304,2,999,戒指部件Ⅳ
62,79500305,2,999,戒指部件Ⅴ
63,79500306,2,999,戒指部件Ⅵ
64,79500401,2,999,法珠部件Ⅰ
65,79500402,2,999,法珠部件Ⅱ
66,79500403,2,999,法珠部件Ⅲ
67,79500404,2,999,法珠部件Ⅳ
68,79500405,2,999,法珠部件Ⅴ
69,79500406,2,999,法珠部件Ⅵ
70,79500501,2,999,法典部件Ⅰ
71,79500502,2,999,法典部件Ⅱ
72,79500503,2,999,法典部件Ⅲ
73,79500504,2,999,法典部件Ⅳ
74,79500505,2,999,法典部件Ⅴ
75,79500506,2,999,法典部件Ⅵ
76,79500601,2,999,权杖部件Ⅰ
