id,sort,mode,modetype,type,name,backicon,nameicon,dec,step,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,start,continued,cd,show,renovate,reset,status,button,buttontype
100101,1,0,0,1,签到,0,name_activity_02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
100201,2,0,0,2,领体力,0,name_activity_03,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
900101,11,3,0,9001,关卡双倍,acg_activity_10,name_activity_10,0,0,0,130,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,259200,0,0,0,0,1,1,0
900201,12,3,0,9002,寻访双倍,acg_activity_11,name_activity_17,0,0,0,131,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,345600,0,0,0,0,1,1,0
900301,13,3,0,9003,领体力双倍,acg_activity_11,name_activity_17,0,0,0,135,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,345600,0,0,0,0,1,4,0
100301,997,0,0,6,月卡,0,name_activity_05,0,1,月卡,50,1,101,0,0,91000002,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
100302,997,0,0,6,月卡,0,name_activity_05,0,2,至尊月卡,50,1,102,0,0,91000002,200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
100303,997,0,0,6,月卡,0,name_activity_05,0,3,永久月卡,50,1,103,0,0,91000002,250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0
100401,998,0,0,9,兑换码,0,name_activity_06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
900401,999,0,0,9004,首充奖励,0,0,0,0,0,0,0,0,0,0,11300301,1,91000002,300,91000001,880000,30101000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
900501,999,0,0,9005,诸神黄昏,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-08 05:00:00,345600,0,86400,0,0,1,4,0
900601,999,0,0,9006,预约神将,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-03-29 05:00:00,172800,0,432000,0,0,1,4,0
900701,999,0,0,9007,众神降临,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2019-04-08 05:00:00,345600,0,86400,0,0,1,4,0
900801,999,0,0,9008,招财,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,604800,0,0,0,0,1,4,0
900901,999,0,0,9009,合服预热,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-04-04 05:00:00,259200,0,0,0,0,1,4,0
901001,999,0,0,9010,红包,0,0,祝所有领主国庆快乐,0,祝所有领主国庆快乐,1,50,91000002,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,86400,0,0,0,0,1,4,0
901101,999,0,0,9011,转盘,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,4,0
901201,999,0,0,9012,翻牌,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,345600,0,0,0,0,1,4,0
901301,999,0,0,9013,独立充值,0,0,贵族4,0,8888,73,1,225,0,0,91000002,2500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2099-10-01 05:00:00,172800,0,0,0,0,0,4,0
