id,day,type,time,armyid1,mapid,drop1,drop2,paydrop1,paydrop2,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,surprised
1,1,1,30,52010201,110101,110001,100001,111001,100002,52010201,52010101,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
2,1,1,30,52010202,110101,110002,100001,111002,100002,52010202,52010102,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
3,1,1,30,52010203,110101,110003,100001,111003,100002,52010203,52010103,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
4,1,1,30,52010204,110101,110004,100001,111004,100002,52010204,52010104,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
5,1,1,30,52020201,110101,110005,100001,111005,100002,52020201,52020101,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
6,1,2,30,52010201,110101,120000,100002,0,0,60000222,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,0,10
7,2,1,30,52010204,110101,110004,100001,111004,100002,52010204,52010104,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
8,2,1,30,52020201,110101,110005,100001,111005,100002,52020201,52020101,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
9,2,1,30,52020202,110101,110006,100001,111006,100002,52020202,52020102,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
10,2,1,30,52020203,110101,110007,100001,111007,100002,52020203,52020103,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
11,2,1,30,52020204,110101,110008,100001,111008,100002,52020204,52020104,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
12,2,2,30,52010201,110101,120000,100002,0,0,60000222,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,0,10
13,3,1,30,52020203,110101,110007,100001,111007,100002,52020203,52020103,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
14,3,1,30,52020204,110101,110008,100001,111008,100002,52020204,52020104,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
15,3,1,30,52030201,110101,110009,100001,111009,100002,52030201,52030101,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
16,3,1,30,52030202,110101,110010,100001,111010,100002,52030202,52030102,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
17,3,1,30,52030203,110101,110011,100001,111011,100002,52030203,52030103,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
18,3,2,30,52010201,110101,120000,100002,0,0,60000222,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,0,10
19,4,1,30,52030202,110101,110010,100001,111010,100002,52030202,52030102,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
20,4,1,30,52030203,110101,110011,100001,111011,100002,52030203,52030103,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
21,4,1,30,52030204,110101,110012,100001,111012,100002,52030204,52030104,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
22,4,1,30,52010201,110101,110001,100001,111001,100002,52010201,52010101,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
23,4,1,30,52010202,110101,110002,100001,111002,100002,52010202,52010102,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,10
24,4,2,30,52010201,110101,120000,100002,0,0,60000222,53200001,53200002,53200003,53200004,53200005,53200006,53200007,0,0,10
