id,name,icon,mode,level,camp,type,index,txt,attacktype,featuresicon1,features1,featuresicon2,features2,featuresicon3,features3,featuresicon4,features4,skill,sort,show,attackround,soldiersnumber,attackspeed
50100001,默认近战,0,1101,1,0,1,0,0,110100,0,0,0,0,0,0,0,0,0,0,0,10001,70,2000
50100002,默认弓手,0,1102,1,0,2,0,0,110200,0,0,0,0,0,0,0,0,0,0,0,10002,70,2000
50100003,默认法师,0,1103,1,0,2,0,0,110200,0,0,0,0,0,0,0,0,0,0,0,10003,70,2000
52010101,步兵,icon_army_10101,1101,1,1,1,1,攻速普通/单体攻击,110100,icon_yongbing_yxwd_28,攻速普通,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,0,137,1,110100,70,2000
52010201,近卫军,icon_army_10101,1101,1,1,1,2,攻速普通/单体攻击,110100,icon_yongbing_yxwd_28,攻速普通,icon_yongbing_yxwd_14,单体攻击,#N/A,0,#N/A,0,110101,37,1,110101,70,2000
52010102,弩手,icon_army_10102,1102,2,1,2,1,攻速较快/单体攻击,110200,icon_yongbing_yxwd_29,攻速较快,icon_yongbing_yxwd_14,单体攻击,icon_yongbing_yxwd_25,连击,#N/A,0,0,131,1,110200,70,1500
52010202,神射手,icon_army_10102,1102,2,1,2,2,攻速较快/单体攻击,110200,icon_yongbing_yxwd_29,攻速较快,icon_yongbing_yxwd_14,单体攻击,icon_yongbing_yxwd_25,连击,#N/A,0,110201,31,1,110201,70,1500
52010103,法师,icon_army_10103,1103,3,1,2,1,攻速较慢/单体攻击,110300,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_14,单体攻击,icon_yongbing_yxwd_15,恢复,#N/A,0,0,125,1,110300,70,2200
52010203,大法师,icon_army_10103,1103,3,1,2,2,攻速较慢/单体攻击,110300,icon_yongbing_yxwd_27,攻速较慢,icon_yongbing_yxwd_14,单体攻击,icon_yongbing_yxwd_15,恢复,#N/A,0,110301,25,1,110301,70,2200
52010104,十字军,icon_army_10104,1104,4,1,1,1,攻速极快/单体攻击,110400,icon_yongbing_yxwd_30,攻速极快,icon_yongbing_yxwd_14,单体攻击,icon_yongbing_yxwd_25,概率连击,#N/A,0,0,119,1,110400,70,1200
52010204,圣堂武士,icon_army_10104,1104,4,1,1,2,攻速极快/单体攻击,110400,icon_yongbing_yxwd_30,攻速极快,icon_yongbing_yxwd_14,单体攻击,icon_yongbing_yxwd_25,概率连击,#N/A,0,110401,19,1,110401,70,1200
52010105,祭祀,icon_army_10101,1102,5,1,2,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,0,113,0,110500,70,2000
52010205,圣裁官,icon_army_10101,1102,5,1,2,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,110101,13,0,110501,70,2000
52010106,骑士,icon_army_10101,1101,6,1,1,1,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,0,107,0,110600,70,2000
52010206,圣骑士,icon_army_10101,1101,6,1,1,2,暂无/暂无,110100,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,icon_yongbing_yxwd_10,暂无,110101,7,0,110601,70,2000
