lazyid,id ,name,lv,needitem,neednum,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6
1001001,52010101,步兵,1,52010101,3,7,80,6,790,8,90,10,160,30,90,99,49800
1001002,52010101,步兵,2,52010101,6,7,150,6,1500,8,160,10,310,30,160,99,92500
1001003,52010101,步兵,3,52010101,12,7,320,6,3150,8,340,10,660,30,340,99,196000
1001004,52010101,步兵,4,52010101,24,7,610,6,6050,8,660,10,1260,30,660,99,377000
1001005,52010101,步兵,5,52010101,40,7,1060,6,10460,8,1140,10,2180,30,1140,99,652200
1001006,52010101,步兵,6,52010101,64,7,1680,6,16630,8,1820,10,3470,30,1820,99,1038100
1001007,52010101,步兵,7,52010101,90,7,2510,6,24810,8,2710,10,5170,30,2710,99,1547700
1001008,52010101,步兵,8,52010101,120,7,3560,6,35200,8,3850,10,7330,30,3850,99,2196500
1001009,52010101,步兵,9,52010101,150,7,4850,6,48020,8,5250,10,10000,30,5250,99,2995400
1001010,52010101,步兵,10,52010101,180,7,6410,6,63470,8,6940,10,13220,30,6940,99,3959400
1001011,52010101,步兵,11,52010101,220,7,8260,6,81750,8,8940,10,17030,30,8940,99,5100500
1001012,52010101,步兵,12,52010101,260,7,10410,6,103050,8,11270,10,21470,30,11270,99,6429500
1001013,52010101,步兵,13,52010101,310,7,12890,6,127540,8,13950,10,26570,30,13950,99,7958300
1001014,52010101,步兵,14,52010101,350,7,15700,6,155420,8,17000,10,32380,30,17000,99,9697400
1001015,52010101,步兵,15,52010101,400,7,18880,6,186860,8,20440,10,38930,30,20440,99,11659700
1001016,52010101,步兵,16,52010101,460,7,22430,6,222010,8,24280,10,46250,30,24280,99,13851700
1001017,52010101,步兵,17,52010101,520,7,26380,6,261070,8,28550,10,54390,30,28550,99,16288900
1001018,52010101,步兵,18,52010101,580,7,30730,6,304170,8,33270,10,63370,30,33270,99,18978900
1001019,52010101,步兵,19,52010101,640,7,35520,6,351500,8,38450,10,73230,30,38450,99,21933500
1001020,52010101,步兵,20,0,0,7,40740,6,403200,8,44100,10,84000,30,44100,99,25158000
2001001,52010201,近卫军,1,52010201,3,7,160,6,1610,8,160,10,330,30,170,99,97700
2001002,52010201,近卫军,2,52010201,6,7,310,6,3060,8,310,10,620,30,320,99,186200
2001003,52010201,近卫军,3,52010201,12,7,660,6,6430,8,660,10,1310,30,660,99,392100
2001004,52010201,近卫军,4,52010201,24,7,1260,6,12340,8,1260,10,2520,30,1270,99,751800
2001005,52010201,近卫军,5,52010201,40,7,2180,6,21350,8,2180,10,4360,30,2200,99,1301000
2001006,52010201,近卫军,6,52010201,64,7,3470,6,33960,8,3470,10,6930,30,3500,99,2069700
2001007,52010201,近卫军,7,52010201,90,7,5170,6,50650,8,5170,10,10340,30,5220,99,3086000
2001008,52010201,近卫军,8,52010201,120,7,7330,6,71860,8,7330,10,14670,30,7410,99,4377700
2001009,52010201,近卫军,9,52010201,150,7,10000,6,98040,8,10000,10,20010,30,10100,99,5971300
2001010,52010201,近卫军,10,52010201,180,7,13220,6,129580,8,13220,10,26450,30,13360,99,7894100
2001011,52010201,近卫军,11,52010201,220,7,17030,6,166910,8,17030,10,34060,30,17200,99,10167200
2001012,52010201,近卫军,12,52010201,260,7,21470,6,210390,8,21470,10,42940,30,21680,99,12816800
2001013,52010201,近卫军,13,52010201,310,7,26570,6,260400,8,26570,10,53140,30,26840,99,15863000
2001014,52010201,近卫军,14,52010201,350,7,32380,6,317320,8,32380,10,64760,30,32700,99,19330400
2001015,52010201,近卫军,15,52010201,400,7,38930,6,381500,8,38930,10,77860,30,39320,99,23241000
2001016,52010201,近卫军,16,52010201,460,7,46250,6,453280,8,46250,10,92510,30,46720,99,27613100
2001017,52010201,近卫军,17,52010201,520,7,54390,6,533010,8,54390,10,108780,30,54930,99,32470200
2001018,52010201,近卫军,18,52010201,580,7,63370,6,621020,8,63370,10,126740,30,64000,99,37831400
2001019,52010201,近卫军,19,52010201,640,7,73230,6,717640,8,73230,10,146460,30,73960,99,43717800
2001020,52010201,近卫军,20,0,0,7,84000,6,823200,8,84000,10,168000,30,84840,99,50148000
1002001,52010102,弩手,1,52010102,3,7,80,6,810,8,80,10,160,30,90,99,49200
1002002,52010102,弩手,2,52010102,6,7,150,6,1540,8,160,10,300,30,160,99,92800
1002003,52010102,弩手,3,52010102,12,7,310,6,3250,8,330,10,620,30,340,99,194000
1002004,52010102,弩手,4,52010102,24,7,600,6,6230,8,640,10,1200,30,660,99,374600
