base_id,mode,loop,nature,path,bank,explain,name,switch,switch_value
1,2D,1,0,Music/Login,Music,登陆界面,Login,0,0
2,2D,1,0,Music/Maincity,Music,主城界面,Maincity,0,0
3,2D,1,0,Music/World,Music,世界地图,World,mix,0
4,2D,1,0,Music/battle_001,Music,普通战斗,battle_001,0,0
5,2D,1,0,Music/battle_002,Music,BOSS战,battle_002,0,0
6,2D,0,0,Music/battle_win,Music,战斗胜利,battle_win,0,0
7,2D,0,0,Music/battle_lose,Music,战斗失败,battle_lose,0,0
8,2D,0,1,UI/click_001,UI,通用点击,click_001,0,0
9,2D,0,1,UI/click_002,UI,通用关闭/后退,click_002,0,0
10,2D,0,1,UI/click_hero,UI,点击英雄按钮,click_hero,0,0
11,2D,0,1,UI/click_team,UI,点击阵容按钮,click_team,0,0
12,2D,0,1,UI/click_equip,UI,点击装备按钮,click_equip,0,0
13,2D,0,1,UI/click_bag,UI,点击背包按钮,click_bag,0,0
14,2D,0,1,UI/click_world,UI,点击世界按钮,click_world,0,0
15,2D,0,1,UI/click_pet,UI,点击魔宠按钮,click_pet,0,0
16,2D,0,1,UI/click_monster,UI,点击巨兽按钮,click_monster,0,0
17,2D,0,1,UI/click_building_001,UI,点击圣物建筑,click_building_001,0,0
18,2D,0,1,UI/click_building_002,UI,点击学院（科技）建筑,click_building_002,0,0
19,2D,0,1,UI/click_building_003,UI,点击市场建筑,click_building_003,0,0
20,2D,0,1,UI/click_building_004,UI,点击祭坛（分解)建筑,click_building_004,0,0
21,2D,0,1,UI/click_building_005,UI,点击竞技场建筑,click_building_005,0,0
22,2D,0,1,UI/click_building_006,UI,点击地下城探险建筑,click_building_006,0,0
23,2D,0,1,UI/click_building_007,UI,点击商会建筑,click_building_007,0,0
24,2D,0,1,UI/click_building_008,UI,点击魔宠之地（召魔宠）建筑,click_building_008,0,0
25,2D,0,1,UI/click_building_009,UI,点击圣堂（抽虎符）建筑,click_building_009,0,0
26,2D,0,1,UI/click_building_010,UI,点击公会建筑,click_building_010,0,0
27,2D,0,1,UI/click_building_011,UI,点击召唤（抽卡）建筑,click_building_011,0,0
28,2D,0,1,UI/Levelup,UI,玩家升级,Levelup,0,0
29,2D,0,1,UI/Starup,UI,英雄升星动画,Starup,0,0
30,2D,0,1,UI/Starup2,UI,英雄升星动画,Starup2,0,0
31,2D,0,1,UI/Getreward,UI,获得奖励大弹框,Getreward,0,0
32,2D,0,1,UI/shangzhen,UI,英雄上阵,shangzhen,0,0
33,2D,0,1,UI/chuandai,UI,穿戴装备,chuandai,0,0
34,2D,0,1,UI/xiangqian,UI,镶嵌宝石,xiangqian,0,0
35,2D,0,1,UI/hecheng,UI,宝石合成,hecheng,0,0
36,2D,0,1,UI/yongbing,UI,点击佣兵按钮,yongbing,0,0
1001,2D,1,0,Music/World,Music,章节背景音乐，通用,World,mix,1
1002,2D,1,0,Music/battle_003,Music,PVP战斗音乐,battle_003,0,0
2001,2D,0,1,UI/getgold,UI,章节地图上拾取金币,getgold,0,0
2002,2D,0,1,UI/getgem,UI,章节地图上拾取宝石,getgem,0,0
2003,2D,0,1,UI/getequip,UI,章节地图上拾取装备/物品,getequip,0,0
2004,2D,0,1,UI/qianghua,UI,装备强化,qianghua,0,0
