id,name,thingtype,x,y,icon,model,size,radius,effect,dir,hide,traffic,touchtype,condition1,condition2,condition3,condition4,condition5,condition6,event1,pop1,event2,pop2,event3,pop3,endhide,sweep
201,第一关,2,24,16,C_muzhuang_01.png,11001,8,20,1,7,0,1,5,0,0,0,0,0,0,205,0,0,0,0,0,1,0
203,第二关,2,33,19,C_muzhuang_01.png,12101,10,20,1,7,0,1,5,0,0,0,0,0,0,220,0,0,0,0,0,1,110203
202,城堡宝藏,2,39,17,C_muzhuang_01.png,12101,0,25,0,0,0,1,5,0,0,0,0,0,0,223,0,0,0,0,0,1,0
204,第三关谈判,2,14,25,sr601.png,14003,8,20,1,1,0,1,5,0,0,0,0,0,0,230,0,0,0,0,0,1,0
205,第四关,2,43,19,C_muzhuang_01.png,11011,8,20,1,7,0,1,5,0,0,0,0,0,0,240,0,0,0,0,0,1,110205
207,第五关搜索,0,55,15,B_yiji_02.png,0,8,20,5,2,0,1,5,0,0,0,0,0,0,260,16,0,16,265,0,0,0
208,第六关,2,52,21,C_muzhuang_01.png,12101,10,20,1,6,0,1,5,0,0,0,0,0,0,270,0,0,0,0,0,1,110208
209,第七关谈判,2,50,29,sr601.png,11005,8,20,1,2,0,1,5,0,0,0,0,0,0,280,0,0,0,0,0,1,0
210,第八关,2,60,31,C_muzhuang_01.png,12001,8,20,1,6,0,1,5,0,0,0,0,0,0,290,0,0,0,0,0,1,110210
211,第一关宝物,3,40,12,C_qianbi_01.png,0,8,20,7,4,0,1,5,20100205,0,0,0,0,0,101,0,209,0,0,0,1,0
212,第一关宝物,3,41,13,C_qianbi_01.png,0,8,20,7,4,0,1,5,20100205,0,0,0,0,0,101,0,209,0,0,0,1,0
213,第一关宝物,3,41,13,C_zuanshi_02.png,0,8,20,10,4,0,1,5,20100205,0,0,0,0,0,112,0,209,0,0,0,1,0
214,第一关宝物,3,41,11,C_qianbi_01.png,0,8,20,7,4,0,1,5,20100205,0,0,0,0,0,101,0,209,0,0,0,1,0
215,第一关宝物,3,42,12,C_zuanshi_01.png,0,8,20,10,4,0,1,5,20100205,0,0,0,0,0,111,0,209,0,0,0,1,0
216,第一关宝物,3,41,12,C_qianbi_02.png,0,8,20,7,4,0,1,5,20100205,0,0,0,0,0,102,0,209,0,0,0,1,0
217,第四关宝物,3,45,19,C_20000012.png,0,7,20,12,4,0,1,5,20500240,0,0,0,0,0,123,0,240,0,0,0,1,0
220,第三关宝物,3,14,26,C_qianbi_01.png,0,8,20,7,4,0,1,5,20400230,0,0,0,0,0,101,0,239,0,0,0,1,0
221,第三关宝物,3,12,23,C_qianbi_01.png,0,8,20,7,4,0,1,5,20400230,0,0,0,0,0,101,0,239,0,0,0,1,0
222,第三关宝物,3,11,24,C_zuanshi_02.png,0,8,20,8,4,0,1,5,20400230,0,0,0,0,0,112,0,239,0,0,0,1,0
223,第三关宝物,3,16,24,C_qianbi_01.png,0,8,20,7,4,0,1,5,20400230,0,0,0,0,0,101,0,239,0,0,0,1,0
237,第四关宝物,3,51,13,C_qianbi_01.png,0,8,20,7,4,0,1,3,20500240,0,0,0,0,0,101,0,249,0,0,0,1,0
238,第四关宝物,3,52,14,C_qianbi_01.png,0,8,20,7,4,0,1,3,20500240,0,0,0,0,0,101,0,249,0,0,0,1,0
239,第四关宝物,3,53,12,C_qianbi_01.png,0,8,20,7,4,0,1,3,20500240,0,0,0,0,0,101,0,249,0,0,0,1,0
241,第七关宝物,3,48,29,C_20000016.png,0,7,20,12,4,0,1,3,20900280,0,0,0,0,0,126,0,289,0,0,0,1,0
242,第七关宝物,3,48,30,C_20000011.png,0,7,20,12,4,0,1,3,20900280,0,0,0,0,0,121,0,289,0,0,0,1,0
243,第七关宝物,3,50,30,C_zuanshi_01.png,0,8,20,10,4,0,1,3,20900280,0,0,0,0,0,111,0,289,0,0,0,1,0
290,进城市,2,26,15,C_muzhuang_01.png,11010,0,10,0,0,0,1,5,20100205,0,0,0,0,0,207,0,0,0,207,0,0,0
299,传送门,2,64,33,C_muzhuang_01.png,11010,0,10,21,0,0,1,2,21000295,0,0,0,0,0,297,0,0,0,0,0,1,0
