id,level,cost,item1,num1,item2,num2,item3,num3
1,1,0,91000028,500,91000029,50,91000001,10000
2,2,0,91000028,500,91000029,50,91000001,10000
3,3,0,91000028,500,91000029,50,91000001,10000
4,4,0,91000028,500,91000029,50,91000001,10000
5,5,0,91000028,500,91000029,50,91000001,10000
6,6,50,91000028,500,91000029,50,91000001,10000
7,7,50,91000028,500,91000029,50,91000001,10000
8,8,50,91000028,500,91000029,50,91000001,10000
9,9,50,91000028,500,91000029,50,91000001,10000
10,10,50,91000028,500,91000029,50,91000001,10000
11,11,100,91000028,1000,91000029,100,91000001,10000
12,12,100,91000028,1000,91000029,100,91000001,10000
13,13,100,91000028,1000,91000029,100,91000001,10000
14,14,100,91000028,1000,91000029,100,91000001,10000
15,15,100,91000028,1000,91000029,100,91000001,10000
16,16,100,91000028,1000,91000029,100,91000001,10000
17,17,100,91000028,1000,91000029,100,91000001,10000
18,18,100,91000028,1000,91000029,100,91000001,10000
19,19,100,91000028,1000,91000029,100,91000001,10000
20,20,100,91000028,1000,91000029,100,91000001,10000
21,21,200,91000028,2000,91000029,200,91000001,10000
22,22,200,91000028,2000,91000029,200,91000001,10000
23,23,200,91000028,2000,91000029,200,91000001,10000
24,24,200,91000028,2000,91000029,200,91000001,10000
25,25,200,91000028,2000,91000029,200,91000001,10000
26,26,200,91000028,2000,91000029,200,91000001,10000
27,27,200,91000028,2000,91000029,200,91000001,10000
28,28,200,91000028,2000,91000029,200,91000001,10000
29,29,200,91000028,2000,91000029,200,91000001,10000
30,30,200,91000028,2000,91000029,200,91000001,10000
31,31,300,91000028,3000,91000029,300,91000001,20000
32,32,300,91000028,3000,91000029,300,91000001,20000
33,33,300,91000028,3000,91000029,300,91000001,20000
34,34,300,91000028,3000,91000029,300,91000001,20000
35,35,300,91000028,3000,91000029,300,91000001,20000
36,36,300,91000028,3000,91000029,300,91000001,20000
37,37,300,91000028,3000,91000029,300,91000001,20000
38,38,300,91000028,3000,91000029,300,91000001,20000
39,39,300,91000028,3000,91000029,300,91000001,20000
40,40,300,91000028,3000,91000029,300,91000001,20000
41,41,500,91000028,5000,91000029,500,91000001,20000
42,42,500,91000028,5000,91000029,500,91000001,20000
43,43,500,91000028,5000,91000029,500,91000001,20000
44,44,500,91000028,5000,91000029,500,91000001,20000
45,45,500,91000028,5000,91000029,500,91000001,20000
46,46,500,91000028,5000,91000029,500,91000001,20000
47,47,500,91000028,5000,91000029,500,91000001,20000
48,48,500,91000028,5000,91000029,500,91000001,20000
49,49,500,91000028,5000,91000029,500,91000001,20000
50,50,500,91000028,5000,91000029,500,91000001,20000
51,51,800,91000028,8000,91000029,800,91000001,30000
52,52,800,91000028,8000,91000029,800,91000001,30000
53,53,800,91000028,8000,91000029,800,91000001,30000
54,54,800,91000028,8000,91000029,800,91000001,30000
55,55,800,91000028,8000,91000029,800,91000001,30000
56,56,800,91000028,8000,91000029,800,91000001,30000
57,57,800,91000028,8000,91000029,800,91000001,30000
58,58,800,91000028,8000,91000029,800,91000001,30000
59,59,800,91000028,8000,91000029,800,91000001,30000
60,60,800,91000028,8000,91000029,800,91000001,30000
61,61,1000,91000028,10000,91000029,1000,91000001,30000
62,62,1000,91000028,10000,91000029,1000,91000001,30000
63,63,1000,91000028,10000,91000029,1000,91000001,30000
64,64,1000,91000028,10000,91000029,1000,91000001,30000
65,65,1000,91000028,10000,91000029,1000,91000001,30000
66,66,1000,91000028,10000,91000029,1000,91000001,30000
67,67,1000,91000028,10000,91000029,1000,91000001,30000
68,68,1000,91000028,10000,91000029,1000,91000001,30000
69,69,1000,91000028,10000,91000029,1000,91000001,30000
70,70,1000,91000028,10000,91000029,1000,91000001,30000
71,71,1000,91000028,10000,91000029,1000,91000001,30000
72,72,1000,91000028,10000,91000029,1000,91000001,30000
73,73,1000,91000028,10000,91000029,1000,91000001,30000
74,74,1000,91000028,10000,91000029,1000,91000001,30000
75,75,1000,91000028,10000,91000029,1000,91000001,30000
76,76,1000,91000028,10000,91000029,1000,91000001,30000
77,77,1000,91000028,10000,91000029,1000,91000001,30000
78,78,1000,91000028,10000,91000029,1000,91000001,30000
79,79,1000,91000028,10000,91000029,1000,91000001,30000
80,80,1000,91000028,10000,91000029,1000,91000001,30000
81,81,2000,91000028,20000,91000029,2000,91000001,30000
82,82,2000,91000028,20000,91000029,2000,91000001,30000
83,83,2000,91000028,20000,91000029,2000,91000001,30000
84,84,2000,91000028,20000,91000029,2000,91000001,30000
85,85,2000,91000028,20000,91000029,2000,91000001,30000
86,86,2000,91000028,20000,91000029,2000,91000001,30000
87,87,2000,91000028,20000,91000029,2000,91000001,30000
88,88,2000,91000028,20000,91000029,2000,91000001,30000
89,89,2000,91000028,20000,91000029,2000,91000001,30000
90,90,2000,91000028,20000,91000029,2000,91000001,30000
91,91,2000,91000028,20000,91000029,2000,91000001,30000
92,92,2000,91000028,20000,91000029,2000,91000001,30000
93,93,2000,91000028,20000,91000029,2000,91000001,30000
94,94,2000,91000028,20000,91000029,2000,91000001,30000
95,95,2000,91000028,20000,91000029,2000,91000001,30000
96,96,2000,91000028,20000,91000029,2000,91000001,30000
97,97,2000,91000028,20000,91000029,2000,91000001,30000
98,98,2000,91000028,20000,91000029,2000,91000001,30000
99,99,2000,91000028,20000,91000029,2000,91000001,30000
100,100,2000,91000028,20000,91000029,2000,91000001,30000
101,101,3000,91000028,30000,91000029,3000,91000001,50000
102,102,3000,91000028,30000,91000029,3000,91000001,50000
103,103,3000,91000028,30000,91000029,3000,91000001,50000
104,104,3000,91000028,30000,91000029,3000,91000001,50000
105,105,3000,91000028,30000,91000029,3000,91000001,50000
106,106,3000,91000028,30000,91000029,3000,91000001,50000
107,107,3000,91000028,30000,91000029,3000,91000001,50000
108,108,3000,91000028,30000,91000029,3000,91000001,50000
109,109,3000,91000028,30000,91000029,3000,91000001,50000
110,110,3000,91000028,30000,91000029,3000,91000001,50000
111,111,3000,91000028,30000,91000029,3000,91000001,50000
112,112,3000,91000028,30000,91000029,3000,91000001,50000
113,113,3000,91000028,30000,91000029,3000,91000001,50000
114,114,3000,91000028,30000,91000029,3000,91000001,50000
115,115,3000,91000028,30000,91000029,3000,91000001,50000
116,116,3000,91000028,30000,91000029,3000,91000001,50000
117,117,3000,91000028,30000,91000029,3000,91000001,50000
118,118,3000,91000028,30000,91000029,3000,91000001,50000
119,119,3000,91000028,30000,91000029,3000,91000001,50000
120,120,3000,91000028,30000,91000029,3000,91000001,50000
121,121,3000,91000028,30000,91000029,3000,91000001,50000
122,122,3000,91000028,30000,91000029,3000,91000001,50000
123,123,3000,91000028,30000,91000029,3000,91000001,50000
124,124,3000,91000028,30000,91000029,3000,91000001,50000
125,125,3000,91000028,30000,91000029,3000,91000001,50000
126,126,3000,91000028,30000,91000029,3000,91000001,50000
127,127,3000,91000028,30000,91000029,3000,91000001,50000
128,128,3000,91000028,30000,91000029,3000,91000001,50000
129,129,3000,91000028,30000,91000029,3000,91000001,50000
130,130,3000,91000028,30000,91000029,3000,91000001,50000
131,131,3000,91000028,30000,91000029,3000,91000001,50000
132,132,3000,91000028,30000,91000029,3000,91000001,50000
133,133,3000,91000028,30000,91000029,3000,91000001,50000
134,134,3000,91000028,30000,91000029,3000,91000001,50000
135,135,3000,91000028,30000,91000029,3000,91000001,50000
136,136,3000,91000028,30000,91000029,3000,91000001,50000
137,137,3000,91000028,30000,91000029,3000,91000001,50000
138,138,3000,91000028,30000,91000029,3000,91000001,50000
139,139,3000,91000028,30000,91000029,3000,91000001,50000
140,140,3000,91000028,30000,91000029,3000,91000001,50000
141,141,5000,91000028,50000,91000029,5000,91000001,50000
142,142,5000,91000028,50000,91000029,5000,91000001,50000
143,143,5000,91000028,50000,91000029,5000,91000001,50000
144,144,5000,91000028,50000,91000029,5000,91000001,50000
145,145,5000,91000028,50000,91000029,5000,91000001,50000
146,146,5000,91000028,50000,91000029,5000,91000001,50000
147,147,5000,91000028,50000,91000029,5000,91000001,50000
148,148,5000,91000028,50000,91000029,5000,91000001,50000
149,149,5000,91000028,50000,91000029,5000,91000001,50000
150,150,5000,91000028,50000,91000029,5000,91000001,50000
151,151,5000,91000028,50000,91000029,5000,91000001,50000
152,152,5000,91000028,50000,91000029,5000,91000001,50000
