id,sort,type,n1,n2,n3,txt,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,item6,num6,group
100101,1,1,1,1,200000,第1名,30101000,2000,60000200,300,60000217,5,91000031,300000,12100901,150,42100904,1,0
100102,2,1,2,2,180000,第2名,30101000,1500,60000200,240,60000216,10,91000031,250000,12100901,120,0,0,0
100103,3,1,3,3,150000,第3名,30101000,1200,60000200,180,60000215,10,91000031,200000,12100901,100,0,0,0
100104,4,1,4,4,100000,第4名,30101000,1000,60000200,120,60000214,10,91000031,150000,12100901,50,0,0,0
100105,5,1,5,5,80000,第5名,30101000,900,60000200,100,60000214,8,91000031,100000,12100901,30,0,0,0
100106,6,1,6,10,50000,第6-10名,30101000,800,60000200,80,60000214,6,91000031,50000,12100901,20,0,0,0
100107,7,1,11,50,40000,第11-50名,30101000,700,60000200,60,60000213,10,0,0,12100901,15,0,0,0
100108,8,1,51,100,10000,第51-100名,30101000,600,60000200,40,60000213,8,0,0,12100901,10,0,0,0
100109,9,1,101,200,10000,第101-200名,30101000,500,60000200,30,60000213,6,0,0,12100901,5,0,0,0
100110,10,1,201,500,10000,第201-500名,30101000,300,60000200,20,60000211,10,0,0,12100901,3,0,0,0
100111,11,1,501,100000,0,第500名以外,30101000,100,60000200,10,91000001,500000,0,0,0,0,0,0,0
100112,1,1,1,1,200000,第1名,30101000,2000,60000200,300,60000217,5,91000031,300000,12100901,150,42100904,1,1
100113,2,1,2,2,180000,第2名,30101000,1500,60000200,240,60000216,10,91000031,250000,12100901,120,0,0,1
100114,3,1,3,3,150000,第3名,30101000,1200,60000200,180,60000215,10,91000031,200000,12100901,100,0,0,1
100115,4,1,4,4,100000,第4名,30101000,1000,60000200,120,60000214,10,91000031,150000,12100901,50,0,0,1
100116,5,1,5,5,80000,第5名,30101000,900,60000200,100,60000214,8,91000031,100000,12100901,30,0,0,1
100117,6,1,6,10,50000,第6-10名,30101000,800,60000200,80,60000214,6,91000031,50000,12100901,20,0,0,1
100118,7,1,11,50,40000,第11-50名,30101000,700,60000200,60,60000213,10,0,0,12100901,15,0,0,1
100119,8,1,51,100,10000,第51-100名,30101000,600,60000200,40,60000213,8,0,0,12100901,10,0,0,1
100120,9,1,101,200,10000,第101-200名,30101000,500,60000200,30,60000213,6,0,0,12100901,5,0,0,1
100121,10,1,201,500,10000,第201-500名,30101000,300,60000200,20,60000211,10,0,0,12100901,3,0,0,1
100122,11,1,501,100000,0,第500名以外,30101000,100,60000200,10,91000001,500000,0,0,0,0,0,0,1
100123,1,1,1,1,200000,第1名,30101000,2000,60000200,300,60000217,5,91000031,300000,12100901,150,42100904,1,2
100124,2,1,2,2,180000,第2名,30101000,1500,60000200,240,60000216,10,91000031,250000,12100901,120,0,0,2
100125,3,1,3,3,150000,第3名,30101000,1200,60000200,180,60000215,10,91000031,200000,12100901,100,0,0,2
100126,4,1,4,4,100000,第4名,30101000,1000,60000200,120,60000214,10,91000031,150000,12100901,50,0,0,2
100127,5,1,5,5,80000,第5名,30101000,900,60000200,100,60000214,8,91000031,100000,12100901,30,0,0,2
100128,6,1,6,10,50000,第6-10名,30101000,800,60000200,80,60000214,6,91000031,50000,12100901,20,0,0,2
100129,7,1,11,50,40000,第11-50名,30101000,700,60000200,60,60000213,10,0,0,12100901,15,0,0,2
100130,8,1,51,100,10000,第51-100名,30101000,600,60000200,40,60000213,8,0,0,12100901,10,0,0,2
100131,9,1,101,200,10000,第101-200名,30101000,500,60000200,30,60000213,6,0,0,12100901,5,0,0,2
100132,10,1,201,500,10000,第201-500名,30101000,300,60000200,20,60000211,10,0,0,12100901,3,0,0,2
100133,11,1,501,100000,0,第500名以外,30101000,100,60000200,10,91000001,500000,0,0,0,0,0,0,2
100134,1,1,1,1,200000,第1名,30101000,2000,60000200,300,60000217,5,91000031,300000,12100901,150,42100904,1,3
100135,2,1,2,2,180000,第2名,30101000,1500,60000200,240,60000216,10,91000031,250000,12100901,120,0,0,3
100136,3,1,3,3,150000,第3名,30101000,1200,60000200,180,60000215,10,91000031,200000,12100901,100,0,0,3
100137,4,1,4,4,100000,第4名,30101000,1000,60000200,120,60000214,10,91000031,150000,12100901,50,0,0,3
100138,5,1,5,5,80000,第5名,30101000,900,60000200,100,60000214,8,91000031,100000,12100901,30,0,0,3
100139,6,1,6,10,50000,第6-10名,30101000,800,60000200,80,60000214,6,91000031,50000,12100901,20,0,0,3
100140,7,1,11,50,40000,第11-50名,30101000,700,60000200,60,60000213,10,0,0,12100901,15,0,0,3
100141,8,1,51,100,10000,第51-100名,30101000,600,60000200,40,60000213,8,0,0,12100901,10,0,0,3
100142,9,1,101,200,10000,第101-200名,30101000,500,60000200,30,60000213,6,0,0,12100901,5,0,0,3
100143,10,1,201,500,10000,第201-500名,30101000,300,60000200,20,60000211,10,0,0,12100901,3,0,0,3
100144,11,1,501,100000,0,第500名以外,30101000,100,60000200,10,91000001,500000,0,0,0,0,0,0,3
200001,1,2,1000,0,0,累计积分达到1000,91000002,50,91000032,250,91000001,50000,0,0,0,0,0,0,0
200002,2,2,3000,0,0,累计积分达到3000,91000002,100,91000032,500,91000001,50000,0,0,0,0,0,0,0
200003,3,2,4000,0,0,累计积分达到4000,91000002,100,91000032,1000,91000001,50000,0,0,0,0,0,0,0
200004,4,2,5000,0,0,累计积分达到5000,91000002,150,91000032,1000,91000001,50000,0,0,0,0,0,0,0
200005,5,2,8000,0,0,累计积分达到8000,91000002,150,91000032,1500,91000001,100000,0,0,0,0,0,0,0
200006,6,2,11000,0,0,累计积分达到11000,91000002,200,91000032,1500,91000001,100000,0,0,0,0,0,0,0
200007,7,2,15000,0,0,累计积分达到15000,91000031,20000,91000032,2000,91000001,100000,0,0,0,0,0,0,0
200008,8,2,23000,0,0,累计积分达到23000,91000031,25000,91000032,2000,91000001,100000,0,0,0,0,0,0,0
200009,9,2,31000,0,0,累计积分达到31000,91000031,25000,91000032,2500,91000001,200000,0,0,0,0,0,0,0
200010,10,2,41000,0,0,累计积分达到41000,91000031,30000,91000032,2500,91000001,200000,0,0,0,0,0,0,0
200011,11,2,53000,0,0,累计积分达到53000,91000031,30000,91000032,3000,91000001,300000,0,0,0,0,0,0,0
200012,12,2,65000,0,0,累计积分达到65000,91000031,35000,91000032,3000,91000001,300000,0,0,0,0,0,0,0
200013,13,2,85000,0,0,累计积分达到85000,91000031,35000,91000032,3500,91000001,300000,0,0,0,0,0,0,0
200014,14,2,105000,0,0,累计积分达到105000,91000031,40000,91000032,3500,91000001,300000,0,0,0,0,0,0,0
200015,15,2,123000,0,0,累计积分达到123000,91000031,40000,91000032,4000,91000001,500000,0,0,0,0,0,0,0
200016,16,2,147000,0,0,累计积分达到147000,91000031,45000,91000032,4000,91000001,500000,0,0,0,0,0,0,0
200017,17,2,171000,0,0,累计积分达到171000,91000031,45000,91000032,4500,91000001,500000,0,0,0,0,0,0,0
200018,18,2,195000,0,0,累计积分达到195000,91000031,50000,91000032,4500,91000001,500000,0,0,0,0,0,0,0
200019,19,2,225000,0,0,累计积分达到225000,91000031,50000,91000032,5000,91000001,500000,0,0,0,0,0,0,0
200020,20,2,265000,0,0,累计积分达到265000,91000031,55000,91000032,5000,91000001,500000,0,0,0,0,0,0,0
200021,21,2,305000,0,0,累计积分达到305000,91000031,55000,91000032,5500,91000001,800000,0,0,0,0,0,0,0
200022,22,2,345000,0,0,累计积分达到345000,91000031,60000,91000032,5500,91000001,800000,0,0,0,0,0,0,0
200023,23,2,385000,0,0,累计积分达到385000,91000031,60000,91000032,6000,91000001,800000,0,0,0,0,0,0,0
200024,24,2,455000,0,0,累计积分达到455000,91000031,65000,91000032,6000,91000001,800000,0,0,0,0,0,0,0
200025,25,2,535000,0,0,累计积分达到535000,91000031,65000,91000032,6500,91000001,800000,0,0,0,0,0,0,0
