id,type,txt,peoplenum,icon,add
1001,1,1.战斗时间9:00-22:00、停战时间22:00-9:00,0,0,0
1002,1,2.占领其他爵位后，会放弃自己当前的爵位,0,0,0
1003,1,3.防守失败的玩家会失去爵位的占有权,0,0,0
1004,1,4.每天9:00，所有爵位重置为虚位以待状态,0,0,0
1005,1,5.每天22:00占领至高王座-国王爵位，可获得国王宣战特权持续至次日22:00,0,0,0
1006,1,6.如果本期国王爵位为空，则国王延续上期,0,0,0
1007,1,7.领地内同军团的人数越多，封赐的奖励加成越高,0,0,0
1008,1,8.封赐奖励每小时累计1次,0,0,0
1009,1,9.领地奖励每天22:00，通过邮件发放给结算时领地归属军团的所有军团成员,0,0,0
1010,1,10.爵位改变后，当前累计的封赐奖励通过邮件发放至邮箱,0,0,0
2001,2,0,7人,91000001,5%
2002,2,0,8人,91000001,10%
2003,2,0,9人,91000001,15%
2004,2,0,10人,91000001,20%
2005,2,0,11人,91000001,25%
2006,2,0,12人,91000001,30%
2007,2,0,13人,91000001,35%
2008,2,0,14人,91000001,40%
2009,2,0,15人,91000001,45%
2010,2,0,16人,91000001,60%
2011,2,0,17人,91000001,70%
2012,2,0,18人,91000001,80%
2013,2,0,19人,91000001,90%
2014,2,0,20人,91000001,100%
2015,2,0,21人,91000001,120%
2016,2,0,22人,91000001,140%
2017,2,0,23人,91000001,160%
2018,2,0,24人,91000001,180%
2019,2,0,25人,91000001,200%
