n4,id,type,time,diamond,item1,num1,item2,num2,item3,num3,item4,num4
1,1,1,1,60,91000002,100,81900001,100,12400000,5,91000001,200000
1,2,1,2,60,91000002,100,81900001,100,12400000,5,91000001,200000
1,3,1,3,60,91000002,100,81900001,100,12400000,5,91000001,200000
1,4,1,4,60,91000002,100,81900001,100,12400000,5,91000001,200000
1,5,1,5,60,91000002,100,81900001,100,12400000,5,91000001,200000
1,6,2,5,0,91000002,1000,0,0,0,0,0,0
2,1,1,1,60,88800028,1,12400000,5,15100105,3,91000001,200000
2,2,1,2,60,88800028,1,12400000,5,15100105,3,91000001,200000
2,3,1,3,60,88800028,1,12400000,5,15100105,3,91000001,200000
2,4,1,4,60,88800028,1,12400000,5,15100105,3,91000001,200000
2,5,1,5,60,88800028,1,12400000,5,15100105,3,91000001,200000
2,6,2,5,0,88800028,10,0,0,0,0,0,0
3,1,1,1,60,88800029,1,12400000,5,15100105,3,91000001,200000
3,2,1,2,60,88800029,1,12400000,5,15100105,3,91000001,200000
3,3,1,3,60,88800029,1,12400000,5,15100105,3,91000001,200000
3,4,1,4,60,88800029,1,12400000,5,15100105,3,91000001,200000
3,5,1,5,60,88800029,1,12400000,5,15100105,3,91000001,200000
3,6,2,5,0,88800029,10,0,0,0,0,0,0
