group,step,alllv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5
1,0,0,97,0,98,0,0,0,0,0,99,0
1,1,1,97,500,98,500,0,0,0,0,99,10000
1,2,2,97,1000,98,1000,0,0,0,0,99,20000
1,3,3,97,1500,98,1500,0,0,0,0,99,30000
1,4,4,97,2000,98,2000,0,0,0,0,99,40000
1,5,5,97,2500,98,2500,0,0,0,0,99,50000
2,0,0,97,0,98,0,0,0,0,0,99,0
2,1,1,97,700,98,700,0,0,0,0,99,15000
2,2,2,97,1400,98,1400,0,0,0,0,99,30000
2,3,3,97,2100,98,2100,0,0,0,0,99,45000
2,4,4,97,2800,98,2800,0,0,0,0,99,60000
2,5,5,97,3500,98,3500,0,0,0,0,99,75000
3,0,0,97,0,98,0,0,0,0,0,99,0
3,1,1,97,1000,98,1000,0,0,0,0,99,20000
3,2,2,97,2000,98,2000,0,0,0,0,99,40000
3,3,3,97,3000,98,3000,0,0,0,0,99,60000
3,4,4,97,4000,98,4000,0,0,0,0,99,80000
3,5,5,97,5000,98,5000,0,0,0,0,99,100000
