id,lv,needlv,txt,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,skill,item1,num1,item2,num2,item3,num3,return_type1,return_value1,return_type2,return_value2
101001,0,0,0,7,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
101001,1,20,领主达到20级,7,100,0,0,0,0,99,100,0,42100104,1,42000001,1,0,0,42100104,1,42000001,1
101001,2,30,领主达到30级,7,1000,0,0,0,0,99,1000,0,42100104,3,42000001,3,0,0,42100104,4,42000001,4
101001,3,40,领主达到40级,7,10000,0,0,0,0,99,10000,0,42100104,5,42000001,6,0,0,42100104,9,42000001,10
101001,4,50,领主达到50级,7,50000,0,0,0,0,99,50000,0,42100104,5,42000001,12,0,0,42100104,14,42000001,22
101001,5,60,领主达到60级,7,100000,0,0,0,0,99,100000,0,42100104,5,42000001,24,0,0,42100104,19,42000001,46
101002,0,0,0,7,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
101002,1,20,领主达到20级,7,100,0,0,0,0,99,100,0,42100204,1,42000001,1,0,0,42100204,1,42000001,1
101002,2,30,领主达到30级,7,1000,0,0,0,0,99,1000,0,42100204,3,42000001,3,0,0,42100204,4,42000001,4
101002,3,40,领主达到40级,7,10000,0,0,0,0,99,10000,0,42100204,5,42000001,6,0,0,42100204,9,42000001,10
101002,4,50,领主达到50级,7,50000,0,0,0,0,99,50000,0,42100204,5,42000001,12,0,0,42100204,14,42000001,22
101002,5,60,领主达到60级,7,100000,0,0,0,0,99,100000,0,42100204,5,42000001,24,0,0,42100204,19,42000001,46
101003,0,0,0,7,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
101003,1,20,领主达到20级,7,100,0,0,0,0,99,100,0,42100304,1,42000001,1,0,0,42100304,1,42000001,1
101003,2,30,领主达到30级,7,1000,0,0,0,0,99,1000,0,42100304,3,42000001,3,0,0,42100304,4,42000001,4
101003,3,40,领主达到40级,7,10000,0,0,0,0,99,10000,0,42100304,5,42000001,6,0,0,42100304,9,42000001,10
101003,4,50,领主达到50级,7,50000,0,0,0,0,99,50000,0,42100304,5,42000001,12,0,0,42100304,14,42000001,22
101003,5,60,领主达到60级,7,100000,0,0,0,0,99,100000,0,42100304,5,42000001,24,0,0,42100304,19,42000001,46
101004,0,0,0,7,0,0,0,0,0,99,0,0,0,0,0,0,0,0,0,0,0,0
101004,1,20,领主达到20级,7,100,0,0,0,0,99,100,0,42100404,1,42000001,1,0,0,42100404,1,42000001,1
101004,2,30,领主达到30级,7,1000,0,0,0,0,99,1000,0,42100404,3,42000001,3,0,0,42100404,4,42000001,4
101004,3,40,领主达到40级,7,10000,0,0,0,0,99,10000,0,42100404,5,42000001,6,0,0,42100404,9,42000001,10
101004,4,50,领主达到50级,7,50000,0,0,0,0,99,50000,0,42100404,5,42000001,12,0,0,42100404,14,42000001,22
