id,group,item,num,icon,refreshweight,extractweight,only,have,notice
10001,1001,44100304,2,3,0,2,0,1,0
10002,1001,44100404,2,3,0,2,0,1,0
10003,1001,44100904,2,3,0,2,0,1,0
10004,1001,44200204,2,3,0,2,0,1,0
10005,1001,44201104,2,3,0,2,0,1,0
10006,1001,44301004,2,3,0,2,0,1,0
10007,1001,44400304,2,3,0,2,0,1,0
10008,1001,44400704,2,3,0,2,0,1,0
10009,1001,44401104,2,3,0,2,0,1,0
10010,1001,44100104,10,1,0,10,0,0,0
10011,1001,44100204,10,1,0,10,0,0,0
10012,1001,44100504,10,1,0,10,0,0,0
10013,1001,44100604,10,1,0,10,0,0,0
10014,1001,44100804,10,1,0,10,0,0,0
10015,1001,44101104,10,1,0,10,0,0,0
10016,1001,44200104,10,1,0,10,0,0,0
10017,1001,44200304,10,1,0,10,0,0,0
10018,1001,44200504,10,1,0,10,0,0,0
10019,1001,44200704,10,1,0,10,0,0,0
10020,1001,44200804,10,1,0,10,0,0,0
10021,1001,44200904,10,1,0,10,0,0,0
10022,1001,44300104,10,1,0,10,0,0,0
10023,1001,44300204,10,1,0,10,0,0,0
10024,1001,44300304,10,1,0,10,0,0,0
10025,1001,44300504,10,1,0,10,0,0,0
10026,1001,44300704,10,1,0,10,0,0,0
10027,1001,44300904,10,1,0,10,0,0,0
10028,1001,44301104,10,1,0,10,0,0,0
10029,1001,44400204,10,1,0,10,0,0,0
10030,1001,44400404,10,1,0,10,0,0,0
10031,1001,44400504,10,1,0,10,0,0,0
10032,1001,44400604,10,1,0,10,0,0,0
10033,1001,44401004,10,1,0,10,0,0,0
10034,1002,44100104,2,1,0,10,0,0,0
10035,1002,44100204,2,1,0,10,0,0,0
10036,1002,44100504,2,1,0,10,0,0,0
10037,1002,44100604,2,1,0,10,0,0,0
10038,1002,44100804,2,1,0,10,0,0,0
10039,1002,44101104,2,1,0,10,0,0,0
10040,1002,44200104,2,1,0,10,0,0,0
10041,1002,44200304,2,1,0,10,0,0,0
10042,1002,44200504,2,1,0,10,0,0,0
10043,1002,44200704,2,1,0,10,0,0,0
10044,1002,44200804,2,1,0,10,0,0,0
10045,1002,44200904,2,1,0,10,0,0,0
10046,1002,44300104,2,1,0,10,0,0,0
10047,1002,44300204,2,1,0,10,0,0,0
10048,1002,44300304,2,1,0,10,0,0,0
10049,1002,44300504,2,1,0,10,0,0,0
10050,1002,44300704,2,1,0,10,0,0,0
10051,1002,44300904,2,1,0,10,0,0,0
10052,1002,44301104,2,1,0,10,0,0,0
10053,1002,44400204,2,1,0,10,0,0,0
10054,1002,44400404,2,1,0,10,0,0,0
10055,1002,44400504,2,1,0,10,0,0,0
10056,1002,44400604,2,1,0,10,0,0,0
10057,1002,44401004,2,1,0,10,0,0,0
10058,1002,42100704,1,1,0,1,0,0,0
10059,1002,42101004,1,1,0,1,0,0,0
10060,1002,42200404,1,1,0,1,0,0,0
10061,1002,42200604,1,1,0,1,0,0,0
10062,1002,42201004,1,1,0,1,0,0,0
10063,1002,42300404,1,1,0,1,0,0,0
10064,1002,42300604,1,1,0,1,0,0,0
10065,1002,42300804,1,1,0,1,0,0,0
10066,1002,42301204,1,1,0,1,0,0,0
10067,1002,42400104,1,1,0,1,0,0,0
10068,1002,42400804,1,1,0,1,0,0,0
10069,1002,42400904,1,1,0,1,0,0,0
10070,1002,44100704,10,1,0,10,0,0,0
10071,1002,44101004,10,1,0,10,0,0,0
10072,1002,44200404,10,1,0,10,0,0,0
10073,1002,44200604,10,1,0,10,0,0,0
10074,1002,44201004,10,1,0,10,0,0,0
10075,1002,44300404,10,1,0,10,0,0,0
10076,1002,44300604,10,1,0,10,0,0,0
10077,1002,44300804,10,1,0,10,0,0,0
10078,1002,44301204,10,1,0,10,0,0,0
10079,1002,44400104,10,1,0,10,0,0,0
10080,1002,44400804,10,1,0,10,0,0,0
10081,1002,44400904,10,1,0,10,0,0,0
10082,1003,44100704,5,1,0,1,0,0,0
10083,1003,44101004,5,1,0,1,0,0,0
10084,1003,44200404,5,1,0,1,0,0,0
10085,1003,44200604,5,1,0,1,0,0,0
10086,1003,44201004,5,1,0,1,0,0,0
10087,1003,44300404,5,1,0,1,0,0,0
10088,1003,44300604,5,1,0,1,0,0,0
10089,1003,44300804,5,1,0,1,0,0,0
10090,1003,44301204,5,1,0,1,0,0,0
10091,1003,44400104,5,1,0,1,0,0,0
10092,1003,44400804,5,1,0,1,0,0,0
10093,1003,44400904,5,1,0,1,0,0,0
10094,1003,91000008,50,1,0,1,0,0,0
10095,1003,91000008,100,1,0,1,0,0,0
20001,2001,42100304,1,3,1,1,1,1,1
20002,2001,42100404,1,3,1,1,1,0,1
20003,2001,42100904,1,3,1,1,1,1,1
20004,2001,42200204,1,3,1,1,1,0,1
20005,2001,42201104,1,3,1,1,1,1,1
20006,2001,42301004,1,3,1,1,1,0,1
20007,2001,42400304,1,3,1,1,1,1,1
20008,2001,42400704,1,3,1,1,1,0,1
20009,2001,42401104,1,3,1,1,1,1,1
20010,2001,44100304,10,3,2,2,0,0,0
20011,2001,44100404,10,3,2,2,0,0,0
20012,2001,44100904,10,3,2,2,0,0,0
20013,2001,44200204,10,3,2,2,0,0,0
20014,2001,44201104,10,3,2,2,0,0,0
20015,2001,44301004,10,3,2,2,0,0,0
20016,2001,44400304,10,3,2,2,0,0,0
20017,2001,44400704,10,3,2,2,0,0,0
20018,2001,44401104,10,3,2,2,0,0,0
20019,2001,42100104,1,2,5,5,0,0,0
20020,2001,42100204,1,2,5,5,0,0,0
20021,2001,42100504,1,2,5,5,0,0,0
20022,2001,42100604,1,2,5,5,0,0,0
20023,2001,42100804,1,2,5,5,0,0,0
20024,2001,42101104,1,2,5,5,0,0,0
20025,2001,42200104,1,2,5,5,0,0,0
20026,2001,42200304,1,2,5,5,0,0,0
20027,2001,42200504,1,2,5,5,0,0,0
20028,2001,42200704,1,2,5,5,0,0,0
20029,2001,42200804,1,2,5,5,0,0,0
20030,2001,42200904,1,2,5,5,0,0,0
20031,2001,42300104,1,2,5,5,0,0,0
20032,2001,42300204,1,2,5,5,0,0,0
20033,2001,42300304,1,2,5,5,0,0,0
20034,2001,42300504,1,2,5,5,0,0,0
20035,2001,42300704,1,2,5,5,0,0,0
20036,2001,42300904,1,2,5,5,0,0,0
20037,2001,42301104,1,2,5,5,0,0,0
20038,2001,42400204,1,2,5,5,0,0,0
20039,2001,42400404,1,2,5,5,0,0,0
20040,2001,42400504,1,2,5,5,0,0,0
20041,2001,42400604,1,2,5,5,0,0,0
20042,2001,42401004,1,2,5,5,0,0,0
20043,2001,42000001,1,2,5,5,0,0,0
20044,2002,44100104,20,1,1,1,0,0,0
20045,2002,44100204,20,1,1,1,0,0,0
20046,2002,44100504,20,1,1,1,0,0,0
20047,2002,44100604,20,1,1,1,0,0,0
20048,2002,44100804,20,1,1,1,0,0,0
20049,2002,44101104,20,1,1,1,0,0,0
