gem_id,gem_name,lv,combo,combo_num,gem_type,quality,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,icon
10101001,1级血精石,1,0,0,1,1,6,50,0,0,99,1000,elogo10101001.png
10101002,2级血精石,2,10101001,3,1,2,6,150,0,0,99,3000,elogo10101002.png
10101003,3级血精石,3,10101002,3,1,2,6,450,0,0,99,9000,elogo10101003.png
10101004,4级血精石,4,10101003,3,1,3,6,1350,0,0,99,27000,elogo10101004.png
10101005,5级血精石,5,10101004,3,1,3,6,4000,0,0,99,80000,elogo10101005.png
10101006,6级血精石,6,10101005,3,1,4,6,12000,0,0,99,240000,elogo10101006.png
10101007,7级血精石,7,10101006,3,1,4,6,36000,0,0,99,720000,elogo10101007.png
10101008,8级血精石,8,10101007,3,1,5,6,75000,0,0,99,1500000,elogo10101008.png
10101009,9级血精石,9,10101008,3,1,5,6,150000,0,0,99,3000000,elogo10101009.png
10101010,10级血精石,10,10101009,3,1,6,6,300000,0,0,99,6000000,elogo10101010.png
10102001,1级锋锐石,1,0,0,2,1,7,5,0,0,99,500,elogo10102001.png
10102002,2级锋锐石,2,10102001,3,2,2,7,15,0,0,99,1500,elogo10102002.png
10102003,3级锋锐石,3,10102002,3,2,2,7,45,0,0,99,4500,elogo10102003.png
10102004,4级锋锐石,4,10102003,3,2,3,7,135,0,0,99,13500,elogo10102004.png
10102005,5级锋锐石,5,10102004,3,2,3,7,400,0,0,99,40000,elogo10102005.png
10102006,6级锋锐石,6,10102005,3,2,4,7,1200,0,0,99,120000,elogo10102006.png
10102007,7级锋锐石,7,10102006,3,2,4,7,3600,0,0,99,360000,elogo10102007.png
10102008,8级锋锐石,8,10102007,3,2,5,7,7500,0,0,99,750000,elogo10102008.png
10102009,9级锋锐石,9,10102008,3,2,5,7,15000,0,0,99,1500000,elogo10102009.png
10102010,10级锋锐石,10,10102009,3,2,6,7,30000,0,0,99,3000000,elogo10102010.png
10103001,1级金刚石,1,0,0,3,1,8,5,0,0,99,500,elogo10103001.png
10103002,2级金刚石,2,10103001,3,3,2,8,15,0,0,99,1500,elogo10103002.png
10103003,3级金刚石,3,10103002,3,3,2,8,45,0,0,99,4500,elogo10103003.png
10103004,4级金刚石,4,10103003,3,3,3,8,135,0,0,99,13500,elogo10103004.png
10103005,5级金刚石,5,10103004,3,3,3,8,400,0,0,99,40000,elogo10103005.png
10103006,6级金刚石,6,10103005,3,3,4,8,1200,0,0,99,120000,elogo10103006.png
