fundid,paging,award1,num1,award2,num2,award3,num3,level,buy,viplevel,fundlevel,explain
1101,1,91000002,240,0,0,0,0,8,0,0,1,等级达到8
1102,1,91000002,240,0,0,0,0,15,0,0,1,等级达到15
1103,1,91000002,240,0,0,0,0,20,0,0,1,等级达到20
1104,1,91000002,360,60000214,1,0,0,30,0,0,1,等级达到30
1105,1,91000002,360,60000214,1,0,0,35,0,0,1,等级达到35
1106,1,91000002,480,60000214,1,0,0,40,0,0,1,等级达到40
1107,1,91000002,480,60000214,1,0,0,45,0,0,1,等级达到45
1108,1,91000002,600,60000214,1,0,0,50,0,0,1,等级达到50
1109,1,91000002,600,60000214,1,0,0,55,0,0,1,等级达到55
1110,1,91000002,1200,60000214,1,0,0,60,0,0,1,等级达到60
1111,1,91000002,1200,60000214,1,0,0,62,0,0,1,等级达到62
1112,1,91000002,1500,60000214,2,0,0,65,0,0,1,等级达到65
1113,1,91000002,1500,60000214,2,0,0,68,0,0,1,等级达到68
1114,1,91000002,3000,60000216,1,0,0,70,0,0,1,等级达到70
1201,2,91000002,300,0,0,0,0,8,0,0,2,等级达到8
1202,2,91000002,300,79500101,20,80000011,10,15,0,0,2,等级达到15
1203,2,91000002,300,79500101,20,80000011,10,20,0,0,2,等级达到20
1204,2,91000002,300,79500102,20,80000011,10,30,0,0,2,等级达到30
1205,2,91000002,450,79500102,20,80000011,10,35,0,0,2,等级达到35
1206,2,91000002,450,79500103,20,80000011,10,40,0,0,2,等级达到40
1207,2,91000002,500,79500103,20,80000011,10,45,0,0,2,等级达到45
1208,2,91000002,500,79500104,20,80000011,10,50,0,0,2,等级达到50
1209,2,91000002,600,79500104,20,80000011,10,55,0,0,2,等级达到55
1210,2,91000002,600,79500105,20,80000011,10,60,0,0,2,等级达到60
1211,2,91000002,750,79500105,20,80000011,10,62,0,0,2,等级达到62
1212,2,91000002,750,79500106,20,80000011,10,65,0,0,2,等级达到65
1213,2,91000002,1000,79500106,20,80000011,10,68,0,0,2,等级达到68
1214,2,91000002,1000,80500101,20,80000011,20,70,0,0,2,等级达到70
1301,3,91000002,400,0,0,0,0,8,0,0,3,等级达到8
1302,3,91000002,400,0,0,0,0,15,0,0,3,等级达到15
1303,3,91000002,400,0,0,0,0,20,0,0,3,等级达到20
1304,3,91000002,600,12400601,60,0,0,30,0,0,3,等级达到30
1305,3,91000002,600,12400601,25,42000001,1,35,0,0,3,等级达到35
1306,3,91000002,800,12400601,25,42000001,1,40,0,0,3,等级达到40
1307,3,91000002,800,12400601,25,42000001,1,45,0,0,3,等级达到45
1308,3,91000002,1000,12400601,25,42000001,1,50,0,0,3,等级达到50
1309,3,91000002,1000,12400601,25,42000001,1,55,0,0,3,等级达到55
1310,3,91000002,1000,12400601,25,42000001,2,60,0,0,3,等级达到60
1311,3,91000002,1000,12400601,25,42000001,2,62,0,0,3,等级达到62
1312,3,91000002,1500,12400601,25,42400604,1,65,0,0,3,等级达到65
1313,3,91000002,1500,12400601,50,42400604,1,68,0,0,3,等级达到68
1314,3,91000002,1500,12400601,50,42400604,2,70,0,0,3,等级达到70
2001,4,60000006,1,0,0,0,0,0,0,0,0,贵族等级达到0
2002,4,60000006,1,0,0,0,0,0,0,2,0,贵族等级达到2
2003,4,60000006,2,0,0,0,0,0,0,5,0,贵族等级达到5
2004,4,60000006,3,0,0,0,0,0,0,8,0,贵族等级达到8
3001,5,30101000,100,0,0,0,0,0,30,0,4,商会人数满30
3002,5,91000032,1000,0,0,0,0,0,50,0,4,商会人数满50
3003,5,91000001,100000,0,0,0,0,0,80,0,4,商会人数满80
3004,5,91000033,1500,0,0,0,0,0,100,0,4,商会人数满100
3005,5,91000002,300,0,0,0,0,0,120,0,4,商会人数满120
3006,5,60000231,2,0,0,0,0,0,150,0,4,商会人数满150
3007,5,60000215,2,0,0,0,0,0,200,0,4,商会人数满200
3008,5,42000001,3,0,0,0,0,0,300,0,4,商会人数满300
3009,5,60000200,20,0,0,0,0,0,500,0,4,商会人数满500
