id,chaptr_group,level_index,level,cost_id1,cost_num1,first_item1,num1,first_item2,num2,first_item3,num3,first_item4,num4,itembag_group1,itembag_group2,itembag_group3,item_show1,show_num1,item_show2,show_num2,item_show3,show_num3,item_show4,show_num4,picture,model_picture,boss_name,boss_zdl,boss_level,difficulty_name,difficulty_colour
1,1,1,410101,91000003,5,91000002,100,0,0,0,0,0,0,20101,20101,20201,60000001,1,60000001,1,60000002,1,0,0,0,5001,阿克曼尼,22000,16,简单,1
2,1,2,410102,91000003,5,91000002,100,0,0,0,0,0,0,20101,20101,20201,60000001,1,60000001,1,60000002,1,0,0,0,5001,阿克曼尼,22000,17,普通,2
3,1,3,410103,91000003,5,91000002,100,0,0,0,0,0,0,20101,20101,20201,60000001,1,60000001,1,60000002,1,0,0,0,5001,阿克曼尼,22000,18,困难,3
4,1,4,410104,91000003,5,91000002,100,0,0,0,0,0,0,20101,20101,20201,60000001,1,60000001,1,60000002,1,0,0,0,5001,阿克曼尼,31000,21,专家,4
5,1,5,410105,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5001,阿克曼尼,32000,22,大师,5
6,1,6,410106,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5001,阿克曼尼,34000,25,王者,6
7,2,1,410201,91000003,5,91000002,100,0,0,0,0,0,0,20101,20101,20201,60000001,1,60000001,1,60000002,1,0,0,0,5002,格里芬,34000,26,简单,1
8,2,2,410202,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5002,格里芬,35000,27,普通,2
9,2,3,410203,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5002,格里芬,35000,28,困难,3
10,2,4,410204,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5002,格里芬,50000,29,专家,4
11,2,5,410205,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5002,格里芬,65000,32,大师,5
12,2,6,410206,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20401,60000001,1,60000002,1,60000004,1,0,0,0,5002,格里芬,70000,35,王者,6
13,3,1,410301,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5003,曼提柯尔,75000,36,简单,1
14,3,2,410302,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5003,曼提柯尔,100000,37,普通,2
15,3,3,410303,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5003,曼提柯尔,100000,38,困难,3
16,3,4,410304,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5003,曼提柯尔,105000,39,专家,4
17,3,5,410305,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5003,曼提柯尔,180000,44,大师,5
18,3,6,410306,91000003,5,91000002,100,0,0,0,0,0,0,20201,20301,20401,60000002,1,60000003,1,60000004,1,0,0,0,5003,曼提柯尔,320000,45,王者,6
19,4,1,410401,91000003,5,91000002,100,0,0,0,0,0,0,20101,20201,20301,60000001,1,60000002,1,60000003,1,0,0,0,5004,客迈拉,330000,46,简单,1
