group,cycle,step,next,level,event,item1,num1,item2,num2,item3,num3,item4,num4,item5,num5,itembagnum_min,itembagnum_max,itembaggroup,item1_show,item2_show,item3_show,item4_show,chaptername,levelname,descriptiont,description1,completion_item1,completion_num1,completion_item2,completion_num2
1,1,1,2,30,10101,0,0,0,0,0,0,0,0,0,0,1,1,2,71000002,0,0,0,无名荒冢,1/7,"看你有点紧张,是头一回干这个吧?",搜索周围,79000009,7,91000002,2
1,1,2,3,30,10102,0,0,0,0,0,0,0,0,0,0,1,1,2,71000002,0,0,0,无名荒冢,2/7,"没关系,多来几次就习惯了.",搜索周围,79000009,6,91000002,2
1,1,3,4,30,10103,0,0,0,0,0,0,0,0,0,0,1,1,2,71000002,0,0,0,无名荒冢,3/7,"别得意,离发家致富还差得远.",搜索周围,79000009,5,91000002,2
1,1,4,5,30,10104,0,0,0,0,0,0,0,0,0,0,2,2,2,71000002,0,0,0,无名荒冢,4/7,"就算是摸金校尉,也没你这个胆子.",180秒内通关,79000009,4,91000002,2
1,1,5,6,30,10105,0,0,0,0,0,0,0,0,0,0,1,1,2,71000002,0,0,0,无名荒冢,5/7,"干完这一票,就赶紧回老家结婚吧.",搜索周围,79000009,3,91000002,2
1,1,6,7,30,10106,0,0,0,0,0,0,0,0,0,0,1,1,2,71000002,0,0,0,无名荒冢,6/7,"正所谓人为财死,鸟为食亡.",搜索周围,79000009,2,91000002,2
1,1,7,0,30,10107,0,0,0,0,0,0,0,0,0,0,2,2,2,71000002,0,0,0,无名荒冢,7/7,"摸金有风险,倒斗需谨慎吶.",180秒内通关,79000009,1,91000002,2
100,1,1,2,40,20101,0,0,0,0,0,0,0,0,0,0,1,1,100,81800001,0,0,0,丝路遗址,1/3,"干完这一票,就赶紧回老家结婚吧.",搜索周围,79000010,3,91000002,2
100,1,2,3,40,20102,0,0,0,0,0,0,0,0,0,0,1,1,100,81800001,0,0,0,丝路遗址,2/3,"正所谓人为财死,鸟为食亡.",搜索周围,79000010,2,91000002,2
100,1,3,0,40,20103,0,0,0,0,0,0,0,0,0,0,2,2,100,81800001,0,0,0,丝路遗址,3/3,"摸金有风险,倒斗需谨慎吶.",180秒内通关,79000010,1,91000002,2
101,1,1,2,40,20301,0,0,0,0,0,0,0,0,0,0,1,1,101,81400601,81900001,81400602,84100001,兵马俑,1/3,"干完这一票,就赶紧回老家结婚吧.",搜索周围,79000010,3,91000002,2
101,1,2,3,40,20302,0,0,0,0,0,0,0,0,0,0,1,1,101,81400601,81900001,81400602,84100001,兵马俑,2/3,"正所谓人为财死,鸟为食亡.",搜索周围,79000010,2,91000002,2
101,1,3,0,40,20303,0,0,0,0,0,0,0,0,0,0,2,2,101,81400601,81900001,81400602,84100001,兵马俑,3/3,"摸金有风险,倒斗需谨慎吶.",180秒内通关,79000010,1,91000002,2
102,1,1,2,40,20401,0,0,0,0,0,0,0,0,0,0,1,1,102,81900021,50000004,0,0,战将古城,1/3,"干完这一票,就赶紧回老家结婚吧.",搜索周围,79000010,3,91000002,2
102,1,2,3,40,20402,0,0,0,0,0,0,0,0,0,0,1,1,102,81900021,50000004,0,0,战将古城,2/3,"正所谓人为财死,鸟为食亡.",搜索周围,79000010,2,91000002,2
102,1,3,0,40,20403,0,0,0,0,0,0,0,0,0,0,2,2,102,81900021,50000004,0,0,战将古城,3/3,"摸金有风险,倒斗需谨慎吶.",180秒内通关,79000010,1,91000002,2
