ordernumber,taskid,taskname,level,checkpoint,pretask,uicontent,content,tasktypes,n1,n2,n3,n4,tasktypes2,itemid,numberofcycles,reward1,number1,reward2,number2,reward3,number3,iconid,taskindexes,taskindexes2
100001,101001,领主成长,1,0,0,默认开启,领主等级达到5级,1,5,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100002,101002,领主成长,1,0,101001,默认开启,领主等级达到10级,1,10,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100003,101003,领主成长,1,0,101002,默认开启,领主等级达到15级,1,15,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100004,101004,领主成长,1,0,101003,默认开启,领主等级达到20级,1,20,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100005,101005,领主成长,1,0,101004,默认开启,领主等级达到25级,1,25,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100006,101006,领主成长,1,0,101005,默认开启,领主等级达到30级,1,30,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100007,101007,领主成长,1,0,101006,默认开启,领主等级达到35级,1,35,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100008,101008,领主成长,1,0,101007,默认开启,领主等级达到40级,1,40,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100009,101009,领主成长,1,0,101008,默认开启,领主等级达到45级,1,45,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100010,101010,领主成长,1,0,101009,默认开启,领主等级达到50级,1,50,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100011,101011,领主成长,1,0,101010,默认开启,领主等级达到55级,1,55,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100012,101012,领主成长,1,0,101011,默认开启,领主等级达到60级,1,60,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100013,101013,领主成长,1,0,101012,默认开启,领主等级达到65级,1,65,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100014,101014,领主成长,1,0,101013,默认开启,领主等级达到70级,1,70,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100015,101015,领主成长,1,0,101014,默认开启,领主等级达到75级,1,75,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100016,101016,领主成长,1,0,101015,默认开启,领主等级达到80级,1,80,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100017,101017,领主成长,1,0,101016,默认开启,领主等级达到85级,1,85,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100018,101018,领主成长,1,0,101017,默认开启,领主等级达到90级,1,90,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100019,101019,领主成长,1,0,101018,默认开启,领主等级达到95级,1,95,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100020,101020,领主成长,1,0,101019,默认开启,领主等级达到100级,1,100,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100021,101021,领主成长,1,0,101020,默认开启,领主等级达到105级,1,105,0,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100022,122001,剧情章节,1,0,0,默认开启,通关剧情第1章,186,1,110105,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100023,122002,剧情章节,1,0,122001,默认开启,通关剧情第2章,186,1,110210,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100024,122003,剧情章节,1,0,122002,默认开启,通关剧情第3章,186,1,110310,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100025,122004,剧情章节,1,0,122003,默认开启,通关剧情第4章,186,1,110410,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100026,122005,剧情章节,1,0,122004,默认开启,通关剧情第5章,186,1,110510,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100027,122006,剧情章节,1,0,122005,默认开启,通关剧情第6章,186,1,110610,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
100028,122007,剧情章节,1,0,122006,默认开启,通关剧情第7章,186,1,110710,0,0,0,0,0,91000002,20,91000001,5000,0,0,0,"ui_mgr.openUI(""levelMapUI"")",0
