id,description,maintype,subtype,opacity,scene_tag,open_touch,reset_id,back_id,next_id,open_name,open_event,open_subui,ui_name,node_name,btn_event1,btn_event2,delaytime,showfinger,fingertype,savenow,hide_node,story,pos,add_x,add_y,city_x,city_y,dec
1,选主公,1,2,0,1,0,0,0,2,levelMapUI,0,createplayer,createplayer,"{""pan_main"",""btn_create""}","ui_mgr.openUI(""select_campUI"")",0,0,2,1,2,0,0,0,0,0,0,0,0
2,选阵营,1,2,0,1,0,0,0,3,levelMapUI,0,select_campUI,select_campUI,"{""pan_main"",""btn_ok""}",0,0,0,2,1,2,0,0,0,0,0,0,0,0
3,阵营弹出框,1,2,0,1,0,4,4,4,select_camp_showUI,0,0,select_camp_showUI,this,"ui_mgr.openUI(""levelMapUI"")",0,0,2,1,2,0,0,0,0,0,0,0,0
4,点击第一章,1,1,0,1,1,4,4,5,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,1010001,0,0,0,0,0,0
5,点击左上角快捷移动,1,1,0,4,1,4,4,6,newChapterMainUI,0,newChapterMainUI,newChapterMainUI,"{""pan_main"",""pan_mixin"",""bg""}",0,0,0,1,1,1,0,1010101,0,0,0,0,0,0
6,点击战斗（1-1）,1,1,0,4,1,4,4,7,newChapterFightUI,mod_user.savezy(6),newChapterFightUI,newChapterFightUI,"{""pan_center_right"",""bg"",""pan_fight"",""btn_fight""}",0,0,0,1,1,1,0,1010201,0,0,0,0,0,0
7,技能触发,1,1,0,4,1,4,4,8,0,0,fight_pvpUI,fight_pvpUI,"{""pan_hero"",""item_1"",""item_hero"",""icon_hero""}",0,0,0,1,1,1,0,0,1,840,140,0,0,能量已经蓄满，可以施放大招了！烧焦他们！
8,战斗胜利界面,1,2,0,4,0,4,4,9,fight_winUI,mod_user.savezy(8),0,fight_winUI,this,0,0,0,2,1,1,0,0,0,0,0,0,0,0
9,弹出获得英雄界面,1,2,0,4,0,10,10,11,wujiangzhaomu,0,0,wujiangzhaomu,this,"ui_mgr.openUI(""newChapterMainUI"")",0,0,2,1,2,0,1010401,0,0,0,0,0,0
10,点击第一章（掉线）,1,1,0,1,1,10,10,11,levelMapUI,0,0,levelMapUI,"{""pan_main"",""movePanel"",""map"",""item1"",""icon""}",0,0,0.01,1,1,1,0,0,0,0,0,0,0,0
