id,condition_main,condition_sub,equip_pos,setstep,description,endstep
100,2,110309,0,10001,触发首冲界面/过关谈判,10001
101,0,0,1,10101,拾起白装,11698
102,0,0,2,10201,拾起绿装,11698
103,0,0,3,10301,拾起蓝装,11698
104,0,0,4,10401,拾起紫装,11698
105,0,0,5,10501,拾起橙装,11698
106,0,0,6,10601,拾起红装,11698
107,4,0,1,10701,获得白装,11698
108,4,0,2,10801,获得绿装,11698
109,4,0,3,10901,获得蓝装,11698
110,4,0,4,11001,获得紫装,11698
111,4,0,5,11101,获得橙装,11698
112,4,0,6,11201,获得红装,11698
201,3,38,0,20101,市场分解引导,20111
202,3,21,0,20201,斗技场,20203
203,3,34,0,20301,军团,20302
204,3,15,0,20401,学院,20404
205,3,4,0,20501,宿命,20504
206,3,12,0,20601,每日政务,20612
207,3,44,0,20701,魔宠,20736
208,3,26,0,20801,圣物,20808
209,3,57,0,20901,纹章,20908
210,3,58,0,21001,佣兵,21013
211,3,23,0,21101,巨兽,21105
301,3,22,0,30101,镇魂塔,30103
302,3,42,0,30201,日常试炼,30204
303,3,16,0,30301,魔龙洞窟,30314
304,3,27,0,30401,时空秘境,30406
305,3,24,0,30501,地下城,30503
401,3,69,0,40101,赏金,40103
