id,name,level,png,pngname,npc,text,npctext,n1,x1,n2,x2,n3,x3,monster1,hp1,monster2,hp2,monster3,hp3,monster4,hp4,att1,item1,att2,item2,att3,item3
1,年轻船长,820001,1001,年轻船长,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,10,91000025,80,0,0,8200001,2000000,0,0,0,0,0,0,200,80001,3000,80013,10000,80025
2,死亡骑士,820002,1002,死亡骑士,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,10,91000025,85,0,0,8200002,5000000,0,0,0,0,0,0,200,80002,3000,80014,10000,80026
3,恶魔法师,820003,1003,恶魔法师,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,10,91000025,90,0,0,8200003,9000000,0,0,0,0,0,0,200,80003,3000,80015,10000,80027
4,骷髅战士,820004,1004,骷髅战士,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,20,91000025,95,0,0,8200004,13000000,0,0,0,0,0,0,200,80004,3000,80016,10000,80028
5,兽人战士,820005,1005,兽人战士,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,20,91000025,100,0,0,8200005,17000000,0,0,0,0,0,0,200,80005,3000,80017,10000,80029
6,恶灵法师,820006,1006,恶灵法师,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,20,91000025,105,0,0,8200006,22000000,0,0,0,0,0,0,200,80006,3000,80018,10000,80030
7,恶魔术士,820007,1007,恶魔术士,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,30,91000025,110,0,0,8200007,30000000,0,0,0,0,0,0,200,80007,3000,80019,10000,80031
8,黑暗羽翼,820008,2001,黑暗羽翼,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,30,91000025,115,0,0,8200008,40000000,0,0,0,0,0,0,200,80008,3000,80020,10000,80032
9,战争女神,820009,2002,战争女神,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,30,91000025,120,0,0,8200009,60000000,0,0,0,0,0,0,200,80009,3000,80021,10000,80033
10,暗黑法师,820010,2003,暗黑法师,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,40,91000025,125,0,0,8200010,90000000,0,0,0,0,0,0,200,80010,3000,80022,10000,80034
11,巨人首领,820011,2005,巨人首领,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,40,91000025,130,0,0,8200011,150000000,0,0,0,0,0,0,200,80011,3000,80023,10000,80035
12,人类牧师,820012,2006,人类牧师,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,40,91000025,135,0,0,8200012,200000000,0,0,0,0,0,0,200,80012,3000,80024,10000,80036
13,灵龙公主,820013,2008,灵龙公主,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,50,91000025,140,0,0,8200013,300000000,0,0,0,0,0,0,200,82113,3000,82213,10000,82313
14,牛头酋长,820014,3001,牛头酋长,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,50,91000025,145,0,0,8200014,400000000,0,0,0,0,0,0,200,82114,3000,82214,10000,82314
15,羚羊武士,820015,3002,羚羊武士,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,50,91000025,150,0,0,8200015,500000000,0,0,0,0,0,0,200,82115,3000,82215,10000,82315
16,暗之守卫,820016,3003,暗之守卫,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,60,91000025,155,0,0,8200016,600000000,0,0,0,0,0,0,200,82116,3000,82216,10000,82316
17,精灵法师,820017,3004,精灵法师,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,60,91000025,160,0,0,8200017,800000000,0,0,0,0,0,0,200,82117,3000,82217,10000,82317
18,异国浪客,820018,3005,异国浪客,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,60,91000025,165,0,0,8200018,1000000000,0,0,0,0,0,0,200,82118,3000,82218,10000,82318
19,黑暗降临,820019,3007,黑暗降临,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,70,91000025,170,0,0,8200019,1400000000,0,0,0,0,0,0,200,82119,3000,82219,10000,82319
20,黑暗行者,820020,3008,黑暗行者,我是李达康，你打我我抓你！,为了GDP，必须努力发展建设！不说多至少要完成一个小目标，比如说1个亿！,绞杀敌军,91000002,70,91000025,175,0,0,8200020,2000000000,0,0,0,0,0,0,200,82120,3000,82220,10000,82320
