id,camp,campname,name,type,disappear,ishold,connection1,way_id1,connection2,way_id2,connection3,way_id3,take_num,enemy_group1,enemy_group2,enemy_random2,enemy_time2,enemy_group3,enemy_random3,enemy_time3,building_model,pos_x,pos_y
2001,3,联邦,北郡墓地,1,0,0,2002,3,2004,1,0,0,0,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1905,266
2002,3,联邦,暴风哨站,2,0,1,2001,4,2003,5,2006,7,12000,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1628,166
2003,3,联邦,黎明庇护所,2,0,1,2002,6,2007,9,0,0,12000,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1364,256
2004,3,联邦,永夜岗哨,2,0,1,2001,2,2005,13,2006,12,12000,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1963,482
2005,3,联邦,圣光之愿庇护所,2,0,1,2004,14,2007,15,0,0,12000,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1707,544
2006,3,联邦,寒风小径,2,0,1,2002,8,2004,11,2007,17,12000,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1672,369
2007,3,联邦,西部厄运要塞,3,0,1,2003,10,2005,16,2006,18,24000,1,2,30,1,3,20,1,building_gsdb_elong_01.png,1376,515
3001,2,帝国,丧钟墓地,1,0,0,3002,19,3004,27,0,0,0,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1790,1215
3002,2,帝国,黑石哨站,2,0,1,3001,20,3003,21,3006,23,12000,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1889,991
3003,2,帝国,雷斧堡垒,2,0,1,3002,22,3007,25,0,0,12000,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1674,836
3004,2,帝国,铸魔岗哨,2,0,1,3001,28,3005,29,3006,31,12000,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1472,1213
3005,2,帝国,战歌堡垒,2,0,1,3004,30,3007,33,0,0,12000,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1220,1058
3006,2,帝国,石爪小径,2,0,1,3002,24,3004,32,3007,35,12000,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1606,1031
3007,2,帝国,东部厄运要塞,3,0,1,3003,26,3005,34,3006,36,24000,1,2,30,1,3,20,1,building_gsdb_diguo_01.png,1373,856
1001,1,教廷,坠星墓地,1,0,0,1002,37,1004,45,0,0,0,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,310,473
1002,1,教廷,迷雾岗哨,2,0,1,1001,38,1003,39,1006,41,12000,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,378,745
1003,1,教廷,守望者圣殿,2,0,1,1002,40,1007,43,0,0,12000,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,667,832
1004,1,教廷,时光哨站,2,0,1,1001,46,1005,47,1006,49,12000,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,510,307
1005,1,教廷,羽月圣殿,2,0,1,1004,48,1007,51,0,0,12000,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,803,358
1006,1,教廷,病木小径,2,0,1,1002,42,1004,50,1007,53,12000,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,589,574
1007,1,教廷,北部厄运要塞,3,0,1,1003,44,1005,52,1006,54,24000,1,2,30,1,3,20,1,building_gsdb_diguo_02.png,863,629
4001,0,0,孤山宝藏,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,building_gsdb_baozang.png,1151,689
5001,0,0,拦路恶龙,5,1,0,0,0,0,0,0,0,5000,4,4,30,1,4,20,1,building_gsdb_elong_01.png,0,0
