id,sort,step,activity,backicon,nameicon,txt,tasktypes,n1,n2,n3,n4,item1,num1,item2,num2,item3,num3,item4,num4,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,cost,sale,fund,power,start,continued,cd,show,coctime,renovate,reset,status,touch
100010001,1,1,每日福利,bg_huodong_qr2.png,开服狂欢,充值1次6元档(不含幸运礼包),73,1,6,0,0,91000001,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,1,1,1
100010002,1,1,每日福利,bg_huodong_qr2.png,开服狂欢,登录游戏,129,1,0,0,0,30101000,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,1,1,1
100020001,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 16分,68,16,0,0,0,91000007,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,1,1,1
100020002,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 20分,68,20,0,0,0,91000007,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,1,1,1
100020003,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 30分,68,30,0,0,0,91000007,70,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,1,1,1
100020004,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 40分,68,40,0,0,0,91000007,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,1,1,1
100020005,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 50分,68,50,0,0,0,91000007,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,1,86400,86400,0,1,1,1
100020006,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 60分,68,60,0,0,0,91000007,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020007,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 70分,68,70,0,0,0,91000007,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020008,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 80分,68,80,0,0,0,91000007,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020009,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 90分,68,90,0,0,0,91000007,130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020010,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 100分,68,100,0,0,0,91000007,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020011,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 110分,68,110,0,0,0,91000007,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020012,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 120分,68,120,0,0,0,91000007,160,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020013,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 130分,68,130,0,0,0,91000007,170,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100020014,1,2,天下会武,bg_huodong_qr2.png,开服狂欢,天下会武积分达到 140分,68,140,0,0,0,91000007,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,2,86400,86400,0,1,1,1
100030001,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 90,125,1,98,0,0,91000001,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030002,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 100,125,1,109,0,0,91000001,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030003,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 110,125,1,120,0,0,91000001,200000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030004,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 120,125,1,131,0,0,91000001,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030005,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 130,125,1,142,0,0,91000001,400000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030006,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 140,125,1,153,0,0,91000001,1000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030007,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 150,125,1,164,0,0,91000001,2000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
100030008,1,3,神器强化,bg_huodong_qr2.png,开服狂欢,神器最高等级达到 160,125,1,175,0,0,91000001,5000000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,604800,0,86400,86400,0,0,1,1
