id,Resources,body,type,timetype,timevalue,open,condition,name,dec,sort
1002,clord1002,blord1002,1,0,0,0,0,初始男头像,创建男角色时赠送,1
1003,clord1003,blord1003,1,0,0,0,0,初始女头像,创建女角色时赠送,2
10001001,hero1001,0,1,0,0,1,1001,海军总帅,拥有海军总帅解锁,3
10001002,hero1002,0,1,0,0,1,1002,仲裁官,拥有仲裁官解锁,4
10001003,hero1003,0,1,0,0,1,1003,天怒战姬,拥有天怒战姬解锁,5
10001004,hero1004,0,1,0,0,1,1004,雷天使,拥有雷天使解锁,6
10001005,hero1005,0,1,0,0,1,1005,爆裂队长,拥有爆裂队长解锁,7
10001006,hero1006,0,1,0,0,1,1006,收割者,拥有收割者解锁,8
10001007,hero1007,0,1,0,0,1,1007,灾祸使者,拥有灾祸使者解锁,9
10001008,hero1008,0,1,0,0,1,1008,唤魂妖姬,拥有唤魂妖姬解锁,10
10001009,hero1009,0,1,0,0,1,1009,黑暗主教,拥有黑暗主教解锁,11
10001010,hero1010,0,1,0,0,1,1010,灵翼刺客,拥有灵翼刺客解锁,12
10001011,hero1011,0,1,0,0,1,1011,影之牙,拥有影之牙解锁,13
10002001,hero2001,0,1,0,0,1,2001,暮光骑士,拥有暮光骑士解锁,14
10002002,hero2002,0,1,0,0,1,2002,众神之剑,拥有众神之剑解锁,15
10002003,hero2003,0,1,0,0,1,2003,通灵师,拥有通灵师解锁,16
10002004,hero2004,0,1,0,0,1,2004,精灵妖狐,拥有精灵妖狐解锁,17
10002005,hero2005,0,1,0,0,1,2005,部族勇士,拥有部族勇士解锁,18
10002006,hero2006,0,1,0,0,1,2006,圣殿统帅,拥有圣殿统帅解锁,19
10002007,hero2007,0,1,0,0,1,2007,力天使,拥有力天使解锁,20
10002008,hero2008,0,1,0,0,1,2008,风暴之眼,拥有风暴之眼解锁,21
10002009,hero2009,0,1,0,0,1,2009,影术士,拥有影术士解锁,22
10002010,hero2010,0,1,0,0,1,2010,熔岩斗士,拥有熔岩斗士解锁,23
10002011,hero2011,0,1,0,0,1,2011,疗天使,拥有疗天使解锁,24
10003001,hero3001,0,1,0,0,1,3001,火焰领主,拥有火焰领主解锁,25
10003002,hero3002,0,1,0,0,1,3002,黑羽游侠,拥有黑羽游侠解锁,26
10003003,hero3003,0,1,0,0,1,3003,魅魔女王,拥有魅魔女王解锁,27
10003004,hero3004,0,1,0,0,1,3004,凤凰之心,拥有凤凰之心解锁,28
10003005,hero3005,0,1,0,0,1,3005,刀魂,拥有刀魂解锁,29
10003006,hero3006,0,1,0,0,1,3006,部族贤者,拥有部族贤者解锁,30
10003007,hero3007,0,1,0,0,1,3007,灵界大帝,拥有灵界大帝解锁,31
10003008,hero3008,0,1,0,0,1,3008,觅血恶魔,拥有觅血恶魔解锁,32
10003009,hero3009,0,1,0,0,1,3009,夺灵者,拥有夺灵者解锁,33
10003010,hero3010,0,1,0,0,1,3010,堕落天使,拥有堕落天使解锁,34
10003011,hero3011,0,1,0,0,1,3011,烈火精灵,拥有烈火精灵解锁,35
10004001,hero4001,0,1,0,0,1,4001,幻影猎人,拥有幻影猎人解锁,36
10004002,hero4002,0,1,0,0,1,4002,雷霆之王,拥有雷霆之王解锁,37
10004003,hero4003,0,1,0,0,1,4003,圣光祭司,拥有圣光祭司解锁,38
10004004,hero4004,0,1,0,0,1,4004,巫毒之手,拥有巫毒之手解锁,39
10004005,hero4005,0,1,0,0,1,4005,兽群领主,拥有兽群领主解锁,40
10004006,hero4006,0,1,0,0,1,4006,混沌法师,拥有混沌法师解锁,41
10004007,hero4007,0,1,0,0,1,4007,猎魔人,拥有猎魔人解锁,42
10004008,hero4008,0,1,0,0,1,4008,仙林女神,拥有仙林女神解锁,43
10004009,hero4009,0,1,0,0,1,4009,女伯爵,拥有女伯爵解锁,44
10004010,hero4010,0,1,0,0,1,4010,元素魔女,拥有元素魔女解锁,45
10004011,hero4011,0,1,0,0,1,4011,水天使,拥有水天使解锁,46
10003012,hero3012,0,1,0,0,1,3012,冰霜射手,拥有冰霜射手解锁,47
10005001,beast01,0,1,0,0,1,5001,蜘蛛,激活巨兽蜘蛛解锁,48
10005002,beast02,0,1,1,2678400,1,5002,狮鹫,激活巨兽狮鹫解锁,49
10005003,beast03,0,1,1,2678400,1,5003,狮蝎,激活巨兽狮蝎解锁,50
10005004,beast04,0,1,1,2678400,1,5004,奇美拉,激活巨兽奇美拉解锁,51
10005005,beast05,0,1,1,2678400,1,5005,牛头怪,激活巨兽牛头怪解锁,52
10005006,beast06,0,1,1,2678400,1,5006,九头蛇,激活巨兽九头蛇解锁,53
10005007,beast07,0,1,1,2678400,1,5007,红龙,激活巨兽红龙解锁,54
1000,frame1000,0,2,0,0,0,0,魔法伊始,创建角色时赠送,1
30000007,frame0,0,2,0,0,1,5001,青铜巨兽边框,激活巨兽蜘蛛解锁,2
30000008,frame1,0,2,1,2678400,1,5002,白银巨兽边框,激活巨兽狮鹫解锁,3
30000009,frame2,0,2,1,2678400,1,5003,黄金巨兽边框,激活巨兽狮蝎解锁,4
30000010,frame3,0,2,1,2678400,1,5004,铂金巨兽边框,激活巨兽奇美拉解锁,5
30000011,frame4,0,2,1,2678400,1,5005,钻石巨兽边框,激活巨兽牛头怪解锁,6
30000012,frame5,0,2,1,2678400,1,5006,大师巨兽边框,激活巨兽九头蛇解锁,7
30000013,frame6,0,2,1,2678400,1,5007,王者巨兽边框,激活巨兽红龙解锁,8
