heroid,heroname,normalattack,manualskill,awakenskill,smallskill,bigskill,attackround1,attackround2,attackround3,attackround4,attackround5,attackround6,attackround7,attackround8
1001,海军总帅,100100,100104,100104,100100,0,100100,100101,100100,100102,100100,100101,100100,100102
1002,仲裁官,100200,100204,100204,100200,0,100200,100201,100202,100203,100200,100201,100202,100203
1003,天怒战姬,100300,100304,100304,100300,0,100300,100302,100300,100303,100300,100302,100300,100303
1004,雷天使,100400,100404,100404,100400,0,100400,100401,100400,100402,100400,100401,100400,100402
1005,爆裂队长,100500,100504,100504,100500,0,100500,100501,100500,100502,100500,100503,100500,100501
1006,收割者,100600,100604,100604,100600,0,100600,100601,100600,100602,100600,100601,100600,100602
1007,灾祸使者,100700,100704,100704,100700,0,100700,100700,100700,100701,100700,100700,100700,100701
1008,唤魂妖姬,100800,100804,100804,100800,0,100800,100801,100800,100802,100800,100801,100800,100802
1009,黑暗主教,100900,100904,100904,100900,0,100900,100901,100900,100902,100900,100901,100900,100902
1010,灵翼刺客,101000,101004,101004,101000,0,101000,101000,101000,101001,101000,101000,101000,101001
1011,影之牙,101100,101104,101104,101100,0,101100,101100,101100,101101,101100,101100,101100,101101
2001,暮光骑士,200100,200104,200104,200100,0,200100,200101,200100,200102,200100,200101,200100,200102
2002,众神之剑,200200,200204,200204,200200,0,200200,200200,200200,200201,200200,200200,200200,200201
2003,通灵师,200300,200304,200304,200300,0,200300,200301,200300,200302,200300,200301,200300,200302
2004,精灵妖狐,200400,200404,200404,200400,0,200400,200400,200400,200400,200400,200400,200400,200400
2005,部族勇士,200500,200504,200504,200500,0,200500,200500,200500,200502,200500,200500,200500,200502
2006,圣殿统帅,200600,200604,200604,200600,0,200600,200600,200600,200601,200600,200600,200600,200601
2007,力天使,200700,200704,200704,200700,0,200700,200700,200700,200700,200700,200700,200700,200700
2008,风暴之眼,200800,200804,200804,200800,0,200800,200800,200800,200801,200800,200800,200800,200801
2009,影术士,200900,200904,200904,200900,0,200900,200900,200900,200901,200900,200900,200900,200901
2010,熔岩斗士,201000,201004,201004,201000,0,201000,201001,201000,201000,201000,201001,201000,201000
2011,疗天使,201100,201104,201104,201100,0,201100,201101,201100,201102,201100,201101,201100,201102
3001,火焰领主,300100,300104,300104,300100,0,300100,300101,300100,300103,300100,300101,300100,300103
3002,黑羽游侠,300200,300204,300204,300200,0,300200,300201,300200,300202,300200,300201,300200,300202
3003,魅魔女王,300300,300304,300304,300300,0,300300,300301,300302,300303,300300,300301,300302,300303
3004,凤凰之心,300400,300404,300404,300400,0,300400,300400,300400,300401,300400,300400,300400,300401
3005,刀魂,300500,300504,300504,300500,0,300500,300501,300500,300502,300500,300501,300500,300502
3006,部族贤者,300600,300604,300604,300600,0,300600,300600,300600,300601,300600,300600,300600,300601
3007,灵界大帝,300700,300704,300704,300700,0,300700,300700,300700,300703,300700,300700,300700,300703
3008,觅血恶魔,300800,300804,300804,300800,0,300800,300800,300800,300801,300800,300800,300800,300801
3009,夺灵者,300900,300904,300904,300900,0,300900,300900,300900,300901,300900,300900,300900,300901
3010,堕落天使,301000,301004,301004,301000,0,301000,301000,301000,301005,301000,301000,301000,301005
3011,烈火精灵,301100,301104,301104,301100,0,301100,301100,301100,301101,301100,301100,301100,301101
3012,冰霜射手,301200,301204,301204,301200,0,301200,301200,301200,301201,301200,301200,301200,301201
3013,影魔,301300,301304,301304,301300,0,301300,301300,301300,301300,301300,301300,301300,301300
4001,幻影猎人,400100,400104,400104,400100,0,400100,400100,400100,400100,400100,400100,400100,400100
4002,雷霆之王,400200,400204,400204,400200,0,400200,400201,400200,400202,400200,400201,400200,400202
4003,圣光祭司,400300,400304,400304,400300,0,400300,400301,400300,400302,400300,400301,400300,400302
4004,巫毒之手,400400,400404,400404,400400,0,400400,400400,400400,400402,400400,400400,400400,400402
4005,兽群领主,400500,400504,400504,400500,0,400500,400501,400500,400503,400500,400501,400500,400503
4006,混沌法师,400600,400604,400604,400600,0,400600,400601,400600,400601,400600,400601,400600,400601
4007,猎魔人,400700,400704,400704,400700,0,400700,400701,400700,400702,400700,400701,400700,400702
4008,仙林女神,400800,400804,400804,400800,0,400800,400801,400800,400802,400800,400801,400800,400802
4009,女伯爵,400900,400904,400904,400900,0,400900,400900,400900,400901,400900,400900,400900,400901
4010,元素魔女,401000,401004,401004,401000,0,401000,401001,401000,401002,401000,401001,401000,401002
4011,水天使,401100,401104,401104,401100,0,401100,401100,401101,401100,401100,401100,401101,401100
5001,冰霜蛛怪,500100,500104,500104,500100,0,500100,500100,500100,500100,500100,500100,500100,500100
5002,狮鹫,500200,500204,500204,500200,0,500200,500200,500200,500200,500200,500200,500200,500200
5003,狮蝎,500300,500304,500304,500300,0,500300,500300,500300,500300,500300,500300,500300,500300
5004,奇美拉,500400,500404,500404,500400,0,500400,500400,500400,500400,500400,500400,500400,500400
5005,牛头,500500,500504,500504,500500,0,500500,500500,500500,500500,500500,500500,500500,500500
5006,九头蛇,500600,500604,500604,500600,0,500600,500600,500600,500600,500600,500600,500600,500600
5007,红龙史矛革,500700,500704,500704,500700,0,500700,500700,500700,500700,500700,500700,500700,500700
10001,近战佣兵通用,1000001,0,0,0,0,1000001,1000001,1000001,1000001,1000001,1000001,1000001,1000001
10002,远程佣兵通用,1000002,0,0,0,0,1000002,1000002,1000002,1000002,1000002,1000002,1000002,1000002
10003,法系远程通用,1000003,0,0,0,0,1000003,1000003,1000003,1000003,1000003,1000003,1000003,1000003
110100,步兵,110100,0,0,0,0,110100,110100,110100,110100,110100,110100,110100,110100
110101,近卫军,110101,0,0,0,0,110101,110101,110101,110101,110101,110101,110101,110101
110200,弩手,110200,0,0,0,0,110200,110200,110200,110200,110200,110200,110200,110200
110201,神射手,110201,0,0,0,0,110201,110201,110201,110201,110201,110201,110201,110201
110300,法师,110300,0,0,0,0,110300,110300,110300,110300,110300,110300,110300,110300
110301,大法师,110300,0,0,0,0,110300,110300,110300,110300,110300,110300,110300,110300
110400,十字军,110400,0,0,0,0,110400,110400,110400,110400,110400,110400,110400,110400
110401,圣堂武士,110401,0,0,0,0,110401,110401,110401,110401,110401,110401,110401,110401
110500,祭祀,110500,0,0,0,0,110500,110500,110500,110500,110500,110500,110500,110500
110501,圣裁官,110501,0,0,0,0,110501,110501,110501,110501,110501,110501,110501,110501
110600,骑士,110600,0,0,0,0,110600,110600,110600,110600,110600,110600,110600,110600
110601,圣骑士,110601,0,0,0,0,110601,110601,110601,110601,110601,110601,110601,110601
110700,天使,110700,0,0,0,0,110700,110700,110700,110700,110700,110700,110700,110700
110701,大天使,110701,0,0,0,0,110701,110701,110701,110701,110701,110701,110701,110701
210100,骷髅战士,210100,0,0,0,0,210100,210100,210100,210100,210100,210100,210100,210100
210101,骷髅勇士,210101,0,0,0,0,210101,210101,210101,210101,210101,210101,210101,210101
210200,骸骨弓手,210200,0,0,0,0,210200,210200,210200,210200,210200,210200,210200,210200
210201,骸骨猎手,210201,0,0,0,0,210201,210201,210201,210201,210201,210201,210201,210201
210300,幽魂,210300,0,0,0,0,210300,210300,210300,210300,210300,210300,210300,210300
210301,恶灵,210300,0,0,0,0,210300,210300,210300,210300,210300,210300,210300,210300
210400,吸血鬼,210400,0,0,0,0,210400,210400,210400,210400,210400,210400,210400,210400
210401,吸血男爵,210401,0,0,0,0,210401,210401,210401,210401,210401,210401,210401,210401
210500,幽魂,210500,0,0,0,0,210500,210500,210500,210500,210500,210500,210500,210500
210501,死神,210501,0,0,0,0,210501,210501,210501,210501,210501,210501,210501,210501
210600,死亡骑士,210600,0,0,0,0,210600,210600,210600,210600,210600,210600,210600,210600
210601,恐怖骑士,210601,0,0,0,0,210601,210601,210601,210601,210601,210601,210601,210601
210700,鬼龙,210700,0,0,0,0,210700,210700,210700,210700,210700,210700,210700,210700
210701,幽灵龙,210701,0,0,0,0,210701,210701,210701,210701,210701,210701,210701,210701
310100,堡垒战士,310100,0,0,0,0,310100,310100,310100,310100,310100,310100,310100,310100
310101,堡垒卫士,310101,0,0,0,0,310101,310101,310101,310101,310101,310101,310101,310101
310200,火枪手,310200,0,0,0,0,310200,310200,310200,310200,310200,310200,310200,310200
310201,狙击手,310201,0,0,0,0,310201,310201,310201,310201,310201,310201,310201,310201
310300,战熊,310300,0,0,0,0,310300,310300,310300,310300,310300,310300,310300,310300
310301,精锐战熊,310300,0,0,0,0,310300,310300,310300,310300,310300,310300,310300,310300
310400,地神像,310400,0,0,0,0,310400,310400,310400,310400,310400,310400,310400,310400
310401,地神兵,310401,0,0,0,0,310401,310401,310401,310401,310401,310401,310401,310401
310500,符文术士,310500,0,0,0,0,310500,310500,310500,310500,310500,310500,310500,310500
310501,符文祭祀,310501,0,0,0,0,310501,310501,310501,310501,310501,310501,310501,310501
310600,火巨灵,310600,0,0,0,0,310600,310600,310600,310600,310600,310600,310600,310600
310601,炽炎巨灵,310601,0,0,0,0,310601,310601,310601,310601,310601,310601,310601,310601
310700,熔岩蜥蜴,310700,0,0,0,0,310700,310700,310700,310700,310700,310700,310700,310700
310701,熔岩巨龙,310701,0,0,0,0,310701,310701,310701,310701,310701,310701,310701,310701
410100,林妖,410100,0,0,0,0,410100,410100,410100,410100,410100,410100,410100,410100
410101,林仙,410101,0,0,0,0,410101,410101,410101,410101,410101,410101,410101,410101
410200,花妖,410200,0,0,0,0,410200,410200,410200,410200,410200,410200,410200,410200
410201,花仙,410201,0,0,0,0,410201,410201,410201,410201,410201,410201,410201,410201
410300,精灵猎人,410300,0,0,0,0,410300,410300,410300,410300,410300,410300,410300,410300
410301,精灵游侠,410301,0,0,0,0,410301,410301,410301,410301,410301,410301,410301,410301
410400,德鲁伊,410400,0,0,0,0,410400,410400,410400,410400,410400,410400,410400,410400
410401,大德鲁伊,410401,0,0,0,0,410401,410401,410401,410401,410401,410401,410401,410401
410500,树精,410500,0,0,0,0,410500,410500,410500,410500,410500,410500,410500,410500
410501,远古树精,410501,0,0,0,0,410501,410501,410501,410501,410501,410501,410501,410501
410600,独角兽,410600,0,0,0,0,410600,410600,410600,410600,410600,410600,410600,410600
