buffid,buffname,bufftype,timebase,timeadd,takeeffect,takeeffectnum,overlapnum,limitbuff,cleanbuff,benefit,effectid,effecttype1,effectbase1,effectadd1,effecttype2,effectbase2,effectadd2,effecttype3,effectbase3,effectadd3,effecttype4,effectbase4,effectadd4
13041,魔法燃烧DOT,1,4000,0,1,1000,1,0,0,2,10050107,2008,-100,0,0,0,0,0,0,0,0,0,0
22061,勇气护盾物理格挡盾,0,8000,0,0,0,0,0,0,1,20060402,15,10000,0,0,0,0,0,0,0,0,0,0
12101,践踏昏迷,1,1000,0,0,0,0,0,0,2,10015,1006,1,0,0,0,0,0,0,0,0,0,0
22102,被动增加格挡,0,1800000,0,0,0,0,0,0,1,0,15,1000,0,0,0,0,0,0,0,0,0,0
23121,瞄准加暴击,1,6000,0,0,0,0,0,0,1,30020204,16,2000,0,0,0,0,0,0,0,0,0,0
23122,敏锐被动加暴击,0,1800000,0,0,0,0,0,0,1,0,16,1000,0,0,0,0,0,0,0,0,0,0
24011,流血增加物理伤害,0,1800000,0,0,0,0,0,0,1,0,32,2000,0,0,0,0,0,0,0,0,0,0
24012,狂徒增加最大生命值,0,1800000,0,0,0,0,0,0,1,0,6,1000,0,0,0,0,0,0,0,0,0,0
14013,流血DOT,1,4000,0,1,1000,1,0,0,2,20100104,2008,-200,0,0,0,0,0,0,0,0,0,0
14014,昏迷4S,1,4000,0,0,0,0,0,0,2,10015,1006,4,0,0,0,0,0,0,0,0,0,0
11101,邪恶攻击物理易伤30%,1,6000,0,0,0,0,0,0,2,20100104,23,-3000,0,0,0,0,0,0,0,0,0,0
21102,物理穿透,0,1800000,0,0,0,0,0,0,1,0,19,500,0,0,0,0,0,0,0,0,0,0
14091,燃烧DOT,1,6000,0,1,1000,1,0,0,2,40090102,2008,-100,0,0,0,0,0,0,0,0,0,0
14093,全部易伤25%,1,8000,0,0,0,0,0,0,1,0,25,-2500,0,0,0,0,0,0,0,0,0,0
13061,增加200能量,1,1000,0,0,0,1,0,0,1,10003,2001,200,0,0,0,0,0,0,0,0,0,0
23062,伤害减免10%,0,1800000,0,0,0,0,0,0,1,0,25,1000,0,0,0,0,0,0,0,0,0,0
13063,魔法伤害增加20%,1,4000,0,0,0,0,0,0,1,0,33,2000,0,0,0,0,0,0,0,0,0,0
13081,降低2%基础属性5层,1,15000,0,0,0,5,0,0,1,0,0,-200,0,1,-200,0,2,-200,0,0,0,0
23082,物理伤害增加10%,0,1800000,0,0,0,0,0,0,1,0,32,1000,0,0,0,0,0,0,0,0,0,0
13083,20%重伤3层,1,15000,0,0,0,3,0,0,1,0,66,2000,0,0,0,0,0,0,0,0,0,0
21071,每秒回能量,1,6000,0,1,1000,1,0,0,1,10003,2001,50,0,0,0,0,0,0,0,0,0,0
21072,魔法伤害增加10%,0,1800000,0,0,0,0,0,0,1,0,33,1000,0,0,0,0,0,0,0,0,0,0
13111,魔法燃烧DOT,1,4000,0,1,1000,1,0,0,2,10050107,2008,-100,0,0,0,0,0,0,0,0,0,0
23112,反伤,0,1800000,0,0,0,0,0,0,1,0,2004,500,0,0,0,0,0,0,0,0,0,0
14021,中断技能,1,50,0,0,0,0,0,0,2,10015,1006,0.05,0,0,0,0,0,0,0,0,0,0
14022,昏迷2S,1,2000,0,0,0,0,0,0,2,10015,1006,2,0,0,0,0,0,0,0,0,0,0
24023,增伤60%,0,1800000,0,0,0,0,0,0,1,0,31,6000,0,0,0,0,0,0,0,0,0,0
14024,昏迷4S,1,4000,0,0,0,0,0,0,2,10015,1006,4,0,0,0,0,0,0,0,0,0,0
14101,魔法伤害减免降低20%,1,8000,0,0,0,0,0,0,2,10008,24,-2000,0,0,0,0,0,0,0,0,0,0
14102,降低双攻双防,1,8000,0,0,0,10,0,0,2,10008,107,-100,0,108,-100,0,109,-100,0,110,-100,0
21111,魔法伤害增加20%,1,7000,0,0,0,0,0,0,1,0,33,2000,0,0,0,0,0,0,0,0,0,0
