id,hero_name,fullname,hero_type,fight_index,hero_camp,hero_gender,positioning,deblock_type1,deblock_value1,debris_type1,debris_value1,attacktype,hero_arms,hero_sort,hidden,hero_main_skill,hero_attack,ragerate,cablerange,first_arm,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11,getsound,posesound,attacksound,gethitsound,deadsound,png,spine,size,core_equip_type1,core_equip_type2,core_equip_type3,initialanger,divinity_mode,divinity_awaken,point1,point2,point3,point4,point5
1001,海洋之狼,辛达,1,5,1,1,近战|物理|输出,12100101,60,12100101,60,0,1,1,0,100104,1001,3000,5000,50100001,6,3230,7,157,8,107,9,0,10,127,29,0,30,64,11,20000,12,90,0,0,99,120000,Hero/1001_get,Hero/1001_pose,0,0,Hero/1001_die,bg_wujiangjiemian_01,Artbeijing_01,100,1,0,0,0,1,2,101001,200001,200002,200003,200004
1002,仲裁官,艾伦,1,5,2,1,近战|神术|辅助,12100201,60,12100201,60,2,1,2,0,100204,1002,3000,5000,50100001,6,2915,7,154,8,64,9,0,10,141,29,153,30,108,11,20000,12,90,0,0,99,120000,Hero/1002_get,Hero/1002_pose,0,0,Hero/1002_die,bg_wujiangjiemian_01,Artbeijing_02,100,2,6,5,500,2,2,101002,200001,200002,200003,200004
1003,战争女神,加百列,1,6,3,2,近战|神术|输出,12100301,100,12100301,100,2,1,3,0,100304,1003,3000,5000,50100001,6,22666,7,1128,8,483,9,0,10,950,29,1144,30,940,11,20000,12,90,0,0,99,850000,Hero/1003_get,Hero/1003_pose,0,0,Hero/1003_die,bg_wujiangjiemian_01,Artbeijing_03,100,5,0,0,500,1,3,101003,200011,200012,200013,200014
1004,雷神,雷米尔,1,6,4,1,远程|神术|辅助,12100401,100,12100401,100,2,2,4,0,100404,1004,3000,5000,50100003,6,15275,7,2090,8,287,9,0,10,572,29,2447,30,359,11,20000,12,90,0,0,99,850000,Hero/1004_get,Hero/1004_pose,0,0,Hero/1004_die,bg_wujiangjiemian_01,Artbeijing_12,100,5,6,0,500,2,3,101004,200011,200012,200013,200014
1005,爆裂队长,伊尔,1,5,5,1,远程|物理|输出,12100501,60,12100501,60,0,2,5,0,100504,1005,3000,5000,50100002,6,2077,7,318,8,53,9,0,10,84,29,0,30,42,11,20000,12,90,0,0,99,120000,Hero/1005_get,Hero/1005_pose,0,0,Hero/1005_die,bg_wujiangjiemian_01,Artbeijing_02,100,1,0,0,0,1,2,101005,200001,200002,200003,200004
1006,收割者,卡戎,1,5,6,1,远程|魔法|辅助,12100601,60,12100601,60,1,2,6,0,100604,1006,3000,5000,50100003,6,2822,7,371,8,53,9,1008,10,135,29,0,30,55,11,20000,12,90,0,0,99,170000,Hero/1006_get,Hero/1006_pose,0,0,Hero/1006_die,bg_wujiangjiemian_01,Artbeijing_03,100,3,6,0,0,2,2,101006,200001,200002,200003,200004
1007,灾祸使者,尤达,1,4,1,1,远程|魔法|输出,12100701,40,12100701,40,1,2,7,0,100704,1007,3000,5000,50100003,6,1267,7,167,8,25,9,433,10,64,29,0,30,25,11,20000,12,90,0,0,99,76000,Hero/1007_get,Hero/1007_pose,0,0,Hero/1007_die,bg_wujiangjiemian_01,Artbeijing_04,100,3,0,0,0,1,1,101007,200001,200002,200003,200004
1008,唤灵妖姬,莉莉丝,1,5,2,2,远程|神术|辅助,12100801,60,12100801,60,2,2,8,0,100804,1008,3000,5000,50100003,6,3072,7,408,8,63,9,0,10,130,29,474,30,80,11,20000,12,90,0,0,99,170000,Hero/1008_get,Hero/1008_pose,0,0,Hero/1008_die,bg_wujiangjiemian_02,Artbeijing_01,100,5,6,0,500,2,2,101008,200001,200002,200003,200004
1009,堕落天使,安蒙,1,6,3,1,远程|神术|输出,12100901,100,12100901,100,2,2,9,0,100904,1009,3000,5000,50100003,6,14941,7,2100,8,267,9,0,10,550,29,2482,30,346,11,20000,12,90,0,0,99,850000,Hero/1009_get,Hero/1009_pose,0,0,Hero/1009_die,bg_wujiangjiemian_01,Artbeijing_03,100,5,0,0,500,1,3,101009,200011,200012,200013,200014
1010,灵翼刺客,塞拉,1,4,4,2,近战|物理|输出,12101001,40,12101001,40,0,1,10,0,101004,1010,3000,5000,50100001,6,2208,7,101,8,70,9,0,10,84,29,0,30,47,11,20000,12,90,0,0,99,76000,Hero/1010_get,Hero/1010_pose,0,0,Hero/1010_die,bg_wujiangjiemian_02,Artbeijing_05,100,1,0,0,0,2,1,101010,200001,200002,200003,200004
