fate_num,main_hero,name,hero_1,hero_2,hero_3,fate_type,fate_parm1,fate_parm2,fate_parm3,attribute1,value1,attribute_txt1,attribute2,value2,story_id
100101,1001,商业往来,4009,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
100102,1001,打家劫舍,3006,1002,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
100103,1001,风流往事,4001,3003,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
100201,1002,死对头,3006,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
100202,1002,老朋友,4001,1005,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
100203,1002,好搭档,3012,3003,0,0,0,0,0,130,500,神术防御+5%,99,100000,0
100301,1003,追求极致,3005,3009,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
100302,1003,圣徒,1002,2009,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
100303,1003,天启之战,1005,4004,1009,0,0,0,0,130,500,神术防御+5%,99,100000,0
100401,1004,自负的堕天使,1011,3005,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
100402,1004,雷米尔的过去,1008,2003,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
100403,1004,黑暗同盟,3009,3007,3010,0,0,0,0,130,500,神术防御+5%,99,100000,0
100501,1005,王牌搭档,1010,0,0,0,0,0,0,107,500,物理攻击+5%,99,100000,0
100502,1005,头号目标,4009,3009,0,0,0,0,0,107,500,物理攻击+5%,99,100000,0
100503,1005,狩猎愉快,4001,4002,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
100601,1006,黑暗魔法,1007,3009,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
100602,1006,灵魂摆渡,1011,4005,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
100603,1006,丧钟军团,3007,3006,4007,0,0,0,0,110,500,魔法防御+5%,99,100000,0
100701,1007,来自异世界,4001,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
100702,1007,灼热的以太,2010,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
100703,1007,怨恨之刺,4008,3012,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
100801,1008,追击者,1010,1002,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
100802,1008,重返人间,3002,3007,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
100803,1008,黑暗密语,3009,1007,1009,0,0,0,0,130,500,神术防御+5%,99,100000,0
100901,1009,黑暗降临,1002,4010,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
100902,1009,傀儡爪牙,1011,3007,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
100903,1009,日月无光,3002,1008,1003,0,0,0,0,130,500,神术防御+5%,99,100000,0
101001,1010,宿敌,4009,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
101002,1010,猎杀名单,3008,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
101003,1010,神秘药剂,3006,4010,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
101101,1011,与虎谋皮,4009,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
101102,1011,技艺切磋,1010,3005,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
101103,1011,无处可藏,3012,3002,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
200101,2001,昔日同伴,1010,3005,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200102,2001,弑父之仇,1011,3007,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200103,2001,英雄之殇,3009,4009,4007,0,0,0,0,108,500,物理防御+5%,99,100000,0
200201,2002,驱逐出境,3001,3003,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200202,2002,守护之光,1002,2009,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200203,2002,分裂,2008,4006,4011,0,0,0,0,130,500,神术防御+5%,99,100000,0
200301,2003,纯洁之灵,4008,3009,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
200302,2003,污浊之灵,1006,1008,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
200303,2003,预言,1007,2010,2011,0,0,0,0,130,500,神术防御+5%,99,100000,0
200401,2004,林中伙伴,4008,0,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
200402,2004,踏上旅途,2006,0,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
200403,2004,自然的馈赠,4008,3006,0,0,0,0,0,130,500,神术防御+5%,99,100000,0
200501,2005,钢铁之男,4008,3003,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200502,2005,难题,3002,2008,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200503,2005,无可匹敌,1005,3012,4003,0,0,0,0,108,500,物理防御+5%,99,100000,0
200601,2006,冒险团队,3004,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200602,2006,光与暗,1007,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200603,2006,勇者之心,2010,4009,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
200701,2007,无尽追猎,3008,1005,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200702,2007,厌魔者,3009,4004,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
200703,2007,诅咒血脉,3002,3006,4007,0,0,0,0,110,500,魔法防御+5%,99,100000,0
200801,2008,北岭之战,3012,3002,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
200802,2008,魔法之争,4010,1008,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
200803,2008,奥术守护者,3003,1010,4007,0,0,0,0,110,500,魔法防御+5%,99,100000,0
200901,2009,流浪法师,3008,1005,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
200902,2009,原力奥秘,4010,1006,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
200903,2009,异界宗主,3003,2010,4011,0,0,0,0,110,500,魔法防御+5%,99,100000,0
201001,2010,位面战争,4001,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
201002,2010,弱点研究,1010,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
201003,2010,异界入侵者,3001,2006,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
201101,2011,迷途之人,1001,3003,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
201102,2011,狂乱的灵魂,3003,4005,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
201103,2011,怜悯众生,2007,3006,1004,0,0,0,0,130,500,神术防御+5%,99,100000,0
300101,3001,熔岩之血,3008,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300102,3001,传统技艺,1007,3005,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300103,3001,恶性相吸,4009,3009,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
300201,3002,一生之敌,3012,0,0,0,0,0,0,107,500,物理攻击+5%,99,100000,0
300202,3002,罗丝之眼,4001,4010,0,0,0,0,0,107,500,物理攻击+5%,99,100000,0
300203,3002,黑暗教条,4009,4006,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
300301,3003,下位恶魔,1007,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
300302,3003,魅力秘诀,4009,3002,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
300303,3003,她们的秘密,1010,1011,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
300401,3004,似曾相识,4010,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
300402,3004,冒险之旅,3006,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
300403,3004,可靠的伙伴,2006,1010,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
300501,3005,一决胜负,4001,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300502,3005,刀随影动,1010,1011,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300503,3005,电光火石,3002,1005,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
300601,3006,逃脱大师,1010,0,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
300602,3006,跨位面交易,4001,0,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
300603,3006,奸商,1001,2010,0,0,0,0,0,130,500,神术防御+5%,99,100000,0
300701,3007,邪恶盟友,4009,3002,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300702,3007,永生之法,3005,4004,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300703,3007,左膀右臂,1005,1007,4007,0,0,0,0,108,500,物理防御+5%,99,100000,0
300801,3008,不可侵犯,4008,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300802,3008,罗丝之血,4009,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
300803,3008,放逐,3012,3009,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
300901,3009,各取所需,3006,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
300902,3009,灵魂掠夺,1010,3001,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
300903,3009,出卖灵魂,3006,3003,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
301001,3010,灵魂之火,4010,3002,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
301002,3010,末日审判,2001,4002,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
301003,3010,堕落天使,1011,3011,4003,0,0,0,0,130,500,神术防御+5%,99,100000,0
301101,3011,热力四射,2010,4010,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
301102,3011,好奇心,1001,2001,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
301103,3011,生存法则,1002,3008,3010,0,0,0,0,110,500,魔法防御+5%,99,100000,0
301201,3012,万恶之源,4009,0,0,0,0,0,0,107,500,物理攻击+5%,99,100000,0
301202,3012,狙击手,3008,0,0,0,0,0,0,107,500,物理攻击+5%,99,100000,0
301203,3012,宿敌交锋,3002,4001,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
400101,4001,星界交流,3004,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400102,4001,目标一致,3012,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400103,4001,秩序之源,1002,4008,0,0,0,0,0,108,500,物理防御+5%,99,100000,0
400201,4002,敌人与朋友,3012,1011,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400202,4002,法术绝缘体,3003,2003,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400203,4002,不可饶恕,3002,1007,1004,0,0,0,0,110,500,魔法防御+5%,99,100000,0
400301,4003,异界行者,3003,3001,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400302,4003,祝福之光,4010,2008,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400303,4003,恶魔爪牙,4004,2005,3010,0,0,0,0,130,500,神术防御+5%,99,100000,0
400401,4004,部族勇士,3006,3005,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400402,4004,铁桶头,1005,2009,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400403,4004,坚如磐石,2005,3006,1003,0,0,0,0,108,500,物理防御+5%,99,100000,0
400501,4005,蛮族本色,4008,3003,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400502,4005,钢铁之躯,3009,2008,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400503,4005,王牌搭档,1005,4001,4003,0,0,0,0,108,500,物理防御+5%,99,100000,0
400601,4006,毁灭之触,1007,1001,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
400602,4006,混沌之力,1002,2009,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
400603,4006,神魔入侵,3005,2010,2011,0,0,0,0,130,500,神术防御+5%,99,100000,0
400701,4007,夜幕降临,3002,1011,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400702,4007,诅咒之血,3009,4004,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400703,4007,宿命之战,3005,3007,3010,0,0,0,0,130,500,神术防御+5%,99,100000,0
400801,4008,森林之敌,2010,0,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
400802,4008,仙林之友,3012,0,0,0,0,0,0,129,500,神术攻击+5%,99,100000,0
400803,4008,精灵之友,2004,3003,0,0,0,0,0,130,500,神术防御+5%,99,100000,0
400901,4009,血之契约,3008,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400902,4009,末日使者,1007,0,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
400903,4009,黑暗之女,3003,3002,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
401001,4010,学院派,3004,0,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
401002,4010,惩戒恶魔,1007,1002,0,0,0,0,0,109,500,魔法攻击+5%,99,100000,0
401003,4010,特殊手腕,1010,1011,0,0,0,0,0,110,500,魔法防御+5%,99,100000,0
401101,4011,冰封之心,1005,1001,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
401102,4011,永冻的大地,3007,1006,0,0,0,0,0,106,500,活力等级+5%,99,100000,0
401103,4011,众神之战,2003,4006,2002,0,0,0,0,130,500,神术防御+5%,99,100000,0
