skill_id,skill_name,type_show,skill_level,skill_mer,skill_china,skill_description,skill_value_type1,skill_count1,skill_value_type2,skill_count2,skill_value_type3,skill_count3,skill_value_type4,skill_count4,skill_add_type,skill_add_value,skill_type,skill_sub_type,attack_before,attack_after,skill_range,skill_scope,skill_scope2,skill_object,skill_energy,buff_type1,buff_pro1,buff_type2,buff_pro2,buff_type3,buff_pro3,lua_name,skill_icon,storageeffect,sound,hit_sound,skill_sound,showpanel,blacktime,lighteffect,storageturn,army_effecttype_skill,army_effect_skill,army_effect_skill_speed,showtop_effect,attack_chant
100100,普攻,物理,1,1,普通攻击,对目标军团造成一次物理伤害,1001,-5000,0,0,0,0,0,0,0,0,0,0,300,500,40,0,0,1,0,0,0,0,0,0,0,a100100,100100,0,Skill/sword,0,0,0,0,0,0,0,0,0,0,0
100101,骷髅旗,物理,1,1,物理技能,在自身周围召唤骷髅旗，每秒恢复4%生命，持续5秒,0,0,0,0,0,0,0,0,0,0,3,0,300,500,0,0,0,0,0,21011,10000,0,0,0,0,a100101,100101,0,0,0,0,0,0,0,0,0,0,0,4444,0
100102,小花招,物理,1,1,物理技能,增加自身物理暴击率100%，持续4秒,0,0,0,0,0,0,0,0,0,0,3,0,300,500,0,0,0,0,0,21012,10000,0,0,0,0,a100102,100102,0,0,0,0,0,0,0,0,0,0,0,4444,0
100103,投机者,被动,1,1,被动触发技能,杀死对手后能量全满,0,0,0,0,0,0,0,0,0,0,2,0,300,500,0,0,0,0,0,0,0,0,0,0,0,p100103,100103,0,0,0,0,0,0,0,0,0,0,0,0,0
100104,飞翔的辛达,物理,1,1,物理技能,乘幽灵船冲撞敌方生命最低的部队，对目标及其周围造成250%物理伤害，并有50%几率使其昏迷2秒,1001,15000,0,0,0,0,0,0,0,0,3,0,300,500,500,800,0,1,0,11014,5000,0,0,0,0,a100104,100104,3333,Skill/1001_final,0,Hero/VO_1001_final,5,0,0,0,0,0,0,0,0
100200,普攻,物理,1,1,普通攻击,对目标军团造成一次物理伤害,1001,-5000,0,0,0,0,0,0,0,0,0,0,300,500,40,0,0,1,0,0,0,0,0,0,0,a100200,100200,0,Skill/hammer,0,0,0,0,0,0,0,0,0,0,0
100201,裁决,神术,1,1,神术技能,对目标军团造成190%神术伤害,1001,9000,0,0,0,0,0,0,0,0,8,0,300,500,60,0,0,1,0,0,0,0,0,0,0,a100201,100201,0,Skill/hammer,0,0,0,0,0,0,0,0,0,4444,0
100202,援助,神术,1,1,神术技能,对本方随机部队恢复190%神术生命,1001,9000,0,0,0,0,0,0,0,0,8,0,300,500,60,500,0,1,0,0,0,0,0,0,0,a100202,100202,0,0,0,0,0,0,0,0,0,0,0,4444,0
100203,惩罚,被动,1,1,被动触发技能,受到伤害时，对目标反伤5%神术伤害，持续6秒,2,1,0,0,0,0,0,0,0,0,2,0,300,500,0,0,0,0,0,21021,10000,0,0,0,0,p100203,100203,0,0,0,0,0,0,0,0,0,0,0,0,0
100204,神圣庇护,神术,1,1,神术技能,为己方全体部队施加一个自身10%最大生命值的护盾，持续12秒,0,0,0,0,0,0,0,0,0,0,8,0,300,500,60,1000,0,1,0,11022,10000,0,0,0,0,a100204,100204,3333,Skill/1002_final,0,Hero/VO_1002_final,4,0,0,0,0,0,0,0,0
100300,普攻,物理,1,1,普通攻击,对目标军团造成一次物理伤害,1001,-5000,0,0,0,0,0,0,0,0,0,0,300,500,40,0,0,1,0,0,0,0,0,0,0,a100300,100300,0,Skill/sword,0,0,0,0,0,0,0,0,0,0,0
100301,清算,被动,1,1,被动触发技能,受到攻击时，额外恢复能量50点,2,1,0,0,0,0,0,0,0,0,2,0,300,500,0,0,0,0,0,0,0,0,0,0,0,p100301,100301,0,0,0,0,0,0,0,0,0,0,0,0,0
