base_id,beauty_id,chapter,chapter_condition,legend_name,chapter_name,level_group
1,5001,1,0,夏梵的意志,难度：天国,500101
2,5001,2,30,夏梵的意志,难度：简单,500102
3,5001,3,35,夏梵的意志,难度：普通,500103
4,5001,4,40,夏梵的意志,难度：困难,500104
5,5001,5,45,夏梵的意志,难度：恶梦,500105
6,5001,6,50,夏梵的意志,难度：地狱,500106
7,5001,7,51,夏梵的意志,难度：残酷,500107
8,5001,8,56,夏梵的意志,难度：绝望,500108
9,5002,1,28,圣光方舟,难度：天国,500201
10,5002,2,34,圣光方舟,难度：简单,500202
11,5002,3,39,圣光方舟,难度：普通,500203
12,5002,4,44,圣光方舟,难度：困难,500204
13,5002,5,49,圣光方舟,难度：恶梦,500205
14,5002,6,54,圣光方舟,难度：地狱,500206
15,5002,7,55,圣光方舟,难度：残酷,500207
16,5002,8,60,圣光方舟,难度：绝望,500208
17,5003,1,38,极寒之风,难度：天国,500301
18,5003,2,43,极寒之风,难度：简单,500302
19,5003,3,48,极寒之风,难度：普通,500303
20,5003,4,53,极寒之风,难度：困难,500304
21,5003,5,58,极寒之风,难度：恶梦,500305
22,5003,6,63,极寒之风,难度：地狱,500306
23,5003,7,64,极寒之风,难度：残酷,500307
24,5003,8,66,极寒之风,难度：绝望,500308
25,5004,1,41,寂静之月,难度：天国,500401
26,5004,2,46,寂静之月,难度：简单,500402
27,5004,3,51,寂静之月,难度：普通,500403
28,5004,4,56,寂静之月,难度：困难,500404
29,5004,5,61,寂静之月,难度：恶梦,500405
30,5004,6,66,寂静之月,难度：地狱,500406
31,5004,7,71,寂静之月,难度：残酷,500407
32,5004,8,76,寂静之月,难度：绝望,500408
33,5005,1,42,旅法师传说,难度：天国,500501
34,5005,2,47,旅法师传说,难度：简单,500502
35,5005,3,52,旅法师传说,难度：普通,500503
36,5005,4,57,旅法师传说,难度：困难,500504
37,5005,5,62,旅法师传说,难度：恶梦,500505
38,5005,6,67,旅法师传说,难度：地狱,500506
39,5005,7,72,旅法师传说,难度：残酷,500507
40,5005,8,77,旅法师传说,难度：绝望,500508
41,5006,1,43,阿祖斯日记,难度：天国,500601
42,5006,2,48,阿祖斯日记,难度：简单,500602
43,5006,3,53,阿祖斯日记,难度：普通,500603
44,5006,4,58,阿祖斯日记,难度：困难,500604
45,5006,5,63,阿祖斯日记,难度：恶梦,500605
46,5006,6,68,阿祖斯日记,难度：地狱,500606
47,5006,7,73,阿祖斯日记,难度：残酷,500607
48,5006,8,78,阿祖斯日记,难度：绝望,500608
49,5007,1,44,耐瑟的智慧,难度：天国,500701
50,5007,2,49,耐瑟的智慧,难度：简单,500702
51,5007,3,54,耐瑟的智慧,难度：普通,500703
52,5007,4,59,耐瑟的智慧,难度：困难,500704
53,5007,5,64,耐瑟的智慧,难度：恶梦,500705
54,5007,6,69,耐瑟的智慧,难度：地狱,500706
55,5007,7,74,耐瑟的智慧,难度：残酷,500707
56,5007,8,79,耐瑟的智慧,难度：绝望,500708
