base_id,group,level_name,level_index,level,item1,num1,item2,num2,item3,num3,describe,descriptiont,picture
1,500101,寓言,1,901101,79500101,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
2,500101,万世之战,2,901102,79500102,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
3,500101,盟友,3,901103,79500103,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
4,500101,君王之泪,4,901104,79500104,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
5,500101,银龙倒影,5,901105,79500105,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
6,500101,加冕,6,901106,79500106,3,80000011,3,80500101,2,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
7,500102,寓言,1,901201,79500101,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
8,500102,万世之战,2,901202,79500102,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
9,500102,盟友,3,901203,79500103,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
10,500102,君王之泪,4,901204,79500104,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
11,500102,银龙倒影,5,901205,79500105,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
12,500102,加冕,6,901206,79500106,4,80000011,5,80500101,4,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
13,500103,寓言,1,901301,79500101,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
14,500103,万世之战,2,901302,79500102,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
15,500103,盟友,3,901303,79500103,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
16,500103,君王之泪,4,901304,79500104,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
17,500103,银龙倒影,5,901305,79500105,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
18,500103,加冕,6,901306,79500106,7,80000011,8,80500101,6,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
19,500104,寓言,1,901401,79500101,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
20,500104,万世之战,2,901402,79500102,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
21,500104,盟友,3,901403,79500103,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
22,500104,君王之泪,4,901404,79500104,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
23,500104,银龙倒影,5,901405,79500105,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
24,500104,加冕,6,901406,79500106,8,80000011,11,80500101,7,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
25,500105,寓言,1,901501,79500101,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
26,500105,万世之战,2,901502,79500102,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
27,500105,盟友,3,901503,79500103,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
28,500105,君王之泪,4,901504,79500104,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
29,500105,银龙倒影,5,901505,79500105,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
30,500105,加冕,6,901506,79500106,11,80000011,14,80500101,10,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
31,500106,寓言,1,901601,79500101,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
32,500106,万世之战,2,901602,79500102,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
33,500106,盟友,3,901603,79500103,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
34,500106,君王之泪,4,901604,79500104,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
35,500106,银龙倒影,5,901605,79500105,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
36,500106,加冕,6,901606,79500106,14,80000011,18,80500101,13,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
37,500107,寓言,1,901701,79500101,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
38,500107,万世之战,2,901702,79500102,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
39,500107,盟友,3,901703,79500103,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
40,500107,君王之泪,4,901704,79500104,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
41,500107,银龙倒影,5,901705,79500105,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
42,500107,加冕,6,901706,79500106,18,80000011,23,80500101,16,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
43,500108,寓言,1,901801,79500101,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
44,500108,万世之战,2,901802,79500102,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
45,500108,盟友,3,901803,79500103,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
46,500108,君王之泪,4,901804,79500104,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
47,500108,银龙倒影,5,901805,79500105,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
48,500108,加冕,6,901806,79500106,23,80000011,29,80500101,21,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
49,500201,天际线,1,902101,79500201,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
50,500201,光之国度,2,902102,79500202,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
51,500201,魔法道标,3,902103,79500203,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
52,500201,奥德赛,4,902104,79500204,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
53,500201,灯塔,5,902105,79500205,3,80000011,2,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
54,500201,沉默,6,902106,79500206,3,80000011,3,80500201,2,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
55,500202,天际线,1,902201,79500201,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
56,500202,光之国度,2,902202,79500202,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
57,500202,魔法道标,3,902203,79500203,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
58,500202,奥德赛,4,902204,79500204,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
59,500202,灯塔,5,902205,79500205,4,80000011,3,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
60,500202,沉默,6,902206,79500206,4,80000011,5,80500201,4,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
61,500203,天际线,1,902301,79500201,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
62,500203,光之国度,2,902302,79500202,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
63,500203,魔法道标,3,902303,79500203,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
64,500203,奥德赛,4,902304,79500204,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
65,500203,灯塔,5,902305,79500205,7,80000011,4,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
66,500203,沉默,6,902306,79500206,7,80000011,8,80500201,6,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
67,500204,天际线,1,902401,79500201,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
68,500204,光之国度,2,902402,79500202,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
69,500204,魔法道标,3,902403,79500203,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
70,500204,奥德赛,4,902404,79500204,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
71,500204,灯塔,5,902405,79500205,8,80000011,7,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
72,500204,沉默,6,902406,79500206,8,80000011,11,80500201,7,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
73,500205,天际线,1,902501,79500201,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
74,500205,光之国度,2,902502,79500202,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
75,500205,魔法道标,3,902503,79500203,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
76,500205,奥德赛,4,902504,79500204,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
77,500205,灯塔,5,902505,79500205,11,80000011,8,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
78,500205,沉默,6,902506,79500206,11,80000011,14,80500201,10,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
79,500206,天际线,1,902601,79500201,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
80,500206,光之国度,2,902602,79500202,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
81,500206,魔法道标,3,902603,79500203,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
82,500206,奥德赛,4,902604,79500204,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
83,500206,灯塔,5,902605,79500205,14,80000011,11,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
84,500206,沉默,6,902606,79500206,14,80000011,18,80500201,13,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
85,500207,天际线,1,902701,79500201,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
86,500207,光之国度,2,902702,79500202,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
87,500207,魔法道标,3,902703,79500203,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
88,500207,奥德赛,4,902704,79500204,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
89,500207,灯塔,5,902705,79500205,18,80000011,14,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
90,500207,沉默,6,902706,79500206,18,80000011,23,80500201,16,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
91,500208,天际线,1,902801,79500201,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
92,500208,光之国度,2,902802,79500202,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
93,500208,魔法道标,3,902803,79500203,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
94,500208,奥德赛,4,902804,79500204,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
95,500208,灯塔,5,902805,79500205,23,80000011,17,91000001,100000,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
96,500208,沉默,6,902806,79500206,23,80000011,29,80500201,21,180秒通关,报~~~主公！有人要来跟你抢女人！,plogo982
