type,rank,item_id1,num1,item_id2,num2,item_id3,num3,item_id4,num4,mail_title,mail_txt
1,1,30101000,150,0,0,0,0,0,0,获取体力排行奖励,恭喜你，本次在诸神的祝福，获取体力次数排名第一，获得以下奖励。
1,2,30101000,100,0,0,0,0,0,0,获取体力排行奖励,恭喜你，本次在诸神的祝福，获取体力次数排名第二，获得以下奖励。
1,3,30101000,50,0,0,0,0,0,0,获取体力排行奖励,恭喜你，本次在诸神的祝福，获取体力次数排名第三，获得以下奖励。
2,1,91000001,600000,0,0,0,0,0,0,获取金币排行奖励,恭喜你，本次在神奇的炼金所，获取金币次数排名第一，获得以下奖励。
2,2,91000001,400000,0,0,0,0,0,0,获取金币排行奖励,恭喜你，本次在神奇的炼金所，获取金币次数排名第二，获得以下奖励。
2,3,91000001,200000,0,0,0,0,0,0,获取金币排行奖励,恭喜你，本次在神奇的炼金所，获取金币次数排名第三，获得以下奖励。
4,1,12100101,3,0,0,0,0,0,0,获取军令排行奖励,恭喜你，本次在内政厅兵部尚书处，获取行动力次数排名第一，获得以下奖励。
4,2,12100101,2,0,0,0,0,0,0,获取军令排行奖励,恭喜你，本次在内政厅兵部尚书处，获取行动力次数排名第二，获得以下奖励。
4,3,12100101,1,0,0,0,0,0,0,获取军令排行奖励,恭喜你，本次在内政厅兵部尚书处，获取行动力次数排名第三，获得以下奖励。
3,1,12100101,45,0,0,0,0,0,0,获取兵符排行奖励,恭喜你，本次在内政厅三军统领处，获取兵符次数排名第一，获得以下奖励。
3,2,12100101,30,0,0,0,0,0,0,获取兵符排行奖励,恭喜你，本次在内政厅三军统领处，获取兵符次数排名第二，获得以下奖励。
3,3,12100101,15,0,0,0,0,0,0,获取兵符排行奖励,恭喜你，本次在内政厅三军统领处，获取兵符次数排名第三，获得以下奖励。
5,1,12100101,5,0,0,0,0,0,0,获取弓兵训练点排行奖励,恭喜你，本次在内政厅大将军处，获取弓兵训练点次数排名第三，获得以下奖励。
5,2,12100101,3,0,0,0,0,0,0,获取弓兵训练点排行奖励,恭喜你，本次在内政厅大将军处，获取弓兵训练点次数排名第三，获得以下奖励。
5,3,12100101,1,0,0,0,0,0,0,获取弓兵训练点排行奖励,恭喜你，本次在内政厅大将军处，获取弓兵训练点次数排名第三，获得以下奖励。
6,1,12100101,5,0,0,0,0,0,0,获取骑兵训练点排行奖励,恭喜你，本次在内政厅大将军处，获取骑兵训练点次数排名第三，获得以下奖励。
6,2,12100101,3,0,0,0,0,0,0,获取骑兵训练点排行奖励,恭喜你，本次在内政厅大将军处，获取骑兵训练点次数排名第三，获得以下奖励。
6,3,12100101,1,0,0,0,0,0,0,获取骑兵训练点排行奖励,恭喜你，本次在内政厅大将军处，获取骑兵训练点次数排名第三，获得以下奖励。
8,1,12100101,10,0,0,0,0,0,0,获取宝石袋排行奖励,恭喜你，本次在内政厅宝石商人处，获取宝石袋次数排名第三，获得以下奖励。
8,2,12100101,8,0,0,0,0,0,0,获取宝石袋排行奖励,恭喜你，本次在内政厅宝石商人处，获取宝石袋次数排名第二，获得以下奖励。
8,3,12100101,5,0,0,0,0,0,0,获取宝石袋排行奖励,恭喜你，本次在内政厅宝石商人处，获取宝石袋次数排名第一，获得以下奖励。
