id,attribute_list_group,index,weight,attribute_type1,attribute_valve1,attribute_type2,attribute_valve2
1,1,1,1,106,100,99,50000
2,1,2,1,50,200,99,50000
3,1,3,1,51,200,99,50000
4,1,4,1,92,200,99,50000
5,1,5,1,53,200,99,50000
6,1,6,1,54,200,99,50000
7,1,7,1,91,200,99,50000
8,1,8,1,13,100,99,50000
9,1,9,1,14,100,99,50000
10,1,10,1,107,100,99,50000
11,1,11,1,108,100,99,50000
12,1,12,1,109,100,99,50000
13,1,13,1,110,100,99,50000
14,1,14,1,129,100,99,50000
15,1,15,1,130,100,99,50000
16,2,1,1,106,200,99,100000
17,2,2,1,50,400,99,100000
18,2,3,1,51,400,99,100000
19,2,4,1,92,400,99,100000
20,2,5,1,53,400,99,100000
21,2,6,1,54,400,99,100000
22,2,7,1,91,400,99,100000
23,2,8,1,13,200,99,100000
24,2,9,1,14,200,99,100000
25,2,10,1,107,200,99,100000
26,2,11,1,108,200,99,100000
27,2,12,1,109,200,99,100000
28,2,13,1,110,200,99,100000
29,2,14,1,129,200,99,100000
30,2,15,1,130,200,99,100000
31,3,1,1,106,300,99,150000
32,3,2,1,50,600,99,150000
33,3,3,1,51,600,99,150000
34,3,4,1,92,600,99,150000
35,3,5,1,53,600,99,150000
36,3,6,1,54,600,99,150000
37,3,7,1,91,600,99,150000
38,3,8,1,13,300,99,150000
39,3,9,1,14,300,99,150000
40,3,10,1,107,300,99,150000
41,3,11,1,108,300,99,150000
42,3,12,1,109,300,99,150000
43,3,13,1,110,300,99,150000
44,3,14,1,129,300,99,150000
45,3,15,1,130,300,99,150000
46,4,1,1,106,500,99,250000
47,4,2,1,50,1000,99,250000
48,4,3,1,51,1000,99,250000
49,4,4,1,92,1000,99,250000
50,4,5,1,53,1000,99,250000
51,4,6,1,54,1000,99,250000
52,4,7,1,91,1000,99,250000
53,4,8,1,13,500,99,250000
54,4,9,1,14,500,99,250000
55,4,10,1,107,500,99,250000
56,4,11,1,108,500,99,250000
57,4,12,1,109,500,99,250000
58,4,13,1,110,500,99,250000
59,4,14,1,129,500,99,250000
60,4,15,1,130,500,99,250000
