id,name,parm1,system,describe1,describe2
1,Orange_WarHorse_1,15100101,随机橙马合成,合成橙马,消耗橙色战马碎片道具ID
2,Orange_WarHorse_2,50,随机橙马合成,合成橙马,消耗橙色战马碎片数量
3,Orange_WarHorse_3,99997,随机橙马合成,合成橙马,合成时，从该掉落组中选取1个战马
4,Orange_Surprised_1,10,随机橙马合成,多少次必得,每抽取X次
5,Orange_Surprised_2,99998,随机橙马合成,多少次必得,每抽到第X次，在掉落组中抽取1次，然后在重新从X开始计数
6,4_Orange_WarHorse_1,3,合成4星橙马,合成4星橙马,需要X星战马
7,4_Orange_WarHorse_2,5,合成4星橙马,合成4星橙马,需要X星战马，X个
8,4_Orange_WarHorse_3,15100104,合成4星橙马,合成4星橙马,需要材料A
9,4_Orange_WarHorse_4,100,合成4星橙马,合成4星橙马,需要材料A数量
10,4_Orange_WarHorse_5,99999,合成4星橙马,合成4星橙马,点击合成后，走itembaggroup
11,4_Orange_WarHorse_6,5,合成4星橙马,合成4星橙马,需要X星战马的品质
12,5_Orange_WarHorse_1,4,合成5星橙马,合成5星橙马,需要X星战马
13,5_Orange_WarHorse_2,4,合成5星橙马,合成5星橙马,需要X星战马，X个
14,5_Orange_WarHorse_3,15100104,合成5星橙马,合成5星橙马,需要材料A
15,5_Orange_WarHorse_4,500,合成5星橙马,合成5星橙马,需要材料A数量
16,5_Orange_WarHorse_5,100000,合成5星橙马,合成5星橙马,点击合成后，走itembaggroup
17,5_Orange_WarHorse_6,5,合成5星橙马,合成5星橙马,需要X星战马的品质
18,Ordinary_Horse_1,1001,召唤普通野马,普通野马ID,0
19,Ordinary_Horse_2,ma1001.png,召唤普通野马,野马模型,0
20,Ordinary_Horse_3,普通野马,召唤普通野马,普通野马名字,0
21,Ordinary_Horse_4,44500106,召唤普通野马,图标资源,0
22,Advanced_Horse_1,1002,召唤高级野马,高级野马ID,0
23,Advanced_Horse_2,ma1002.png,召唤高级野马,高级野马模型,0
24,Advanced_Horse_3,高级野马,召唤高级野马,高级野马名字,0
25,Advanced_Horse_4,44500106,召唤高级野马,图标资源,0
26,Horse_Num_1,25,相马N次获得道具,召唤次数,0
27,Horse_Num_2,15100105,相马N次获得道具,获得召唤令,0
28,Clear_WarHorse_1,15100104,战马洗练,战马洗练,消耗材料ID
29,Clear_WarHorse_2,20,战马洗练,战马洗练,消耗数量
30,Switch_WarHorse_1,15100103,战马转换,战马转换,消耗材料ID
31,Switch_WarHorse_2,100,战马转换,战马转换,消耗数量
