id,name,type,item_id,item_num,lv,cost_item,cost_num
1,龙族血脉,1,14400101,1,1,91000030,50
2,泰坦之力,1,14400201,1,1,91000030,50
3,神盾护体,1,14400301,1,1,91000030,50
4,魔力奔腾,1,14400401,1,1,91000030,50
5,元素铠甲,1,14400501,1,1,91000030,50
6,心灵控制,1,14400601,1,1,91000030,50
7,灵魂结界,1,14400701,1,1,91000030,50
8,远古体魄,1,14400801,1,1,91000030,50
9,无敌战技,1,14400901,1,1,91000030,50
10,不朽皮肤,1,14401001,1,1,91000030,50
11,魔力之躯,1,14401101,1,1,91000030,50
12,魔法亲和,1,14401201,1,1,91000030,50
13,心灵压制,1,14401301,1,1,91000030,50
14,灵魂封闭,1,14401401,1,1,91000030,50
15,战兽王,1,14401501,1,1,91000030,50
16,符文经验,2,91000027,200,1,91000030,50
