id,upgrade_model_group,level,cost_item,cost_num,decompose_item,decompose_num,value,attribute_type1,attribute_value1
1001,61,1,91000027,25,91000027,25,700,99,14000
1002,61,2,91000027,50,91000027,50,1400,99,28000
1003,61,3,91000027,100,91000027,100,2100,99,42000
1004,61,4,91000027,200,91000027,200,2810,99,56200
1005,61,5,91000027,400,91000027,400,4410,99,88200
1006,61,6,91000027,800,91000027,800,7070,99,141400
1007,61,7,91000027,1200,91000027,1600,10560,99,211200
1008,61,8,91000027,1600,91000027,2800,15030,99,300600
1009,61,9,91000027,2000,91000027,4400,20640,99,412800
1010,61,10,91000027,2600,91000027,6400,27560,99,551200
1011,61,11,91000027,3200,91000027,9000,36010,99,720200
1012,61,12,91000027,3800,91000027,12200,46210,99,924200
1013,61,13,91000027,4400,91000027,16000,58440,99,1168800
1014,61,14,91000027,5000,91000027,20400,73030,99,1460600
1015,61,15,91000027,6000,91000027,25400,90310,99,1806200
1016,61,16,91000027,7000,91000027,31400,110710,99,2214200
1017,61,17,91000027,8000,91000027,38400,134680,99,2693600
1018,61,18,91000027,9000,91000027,46400,162770,99,3255400
1019,61,19,91000027,10000,91000027,55400,195570,99,3911400
1020,61,20,0,0,91000027,65400,233780,99,4675600
2001,62,1,91000027,50,91000027,50,1400,99,28000
2002,62,2,91000027,100,91000027,100,2810,99,56200
2003,62,3,91000027,200,91000027,200,4210,99,84200
2004,62,4,91000027,400,91000027,400,5610,99,112200
2005,62,5,91000027,800,91000027,800,8830,99,176600
2006,62,6,91000027,1600,91000027,1600,14130,99,282600
2007,62,7,91000027,2400,91000027,3200,21120,99,422400
2008,62,8,91000027,3200,91000027,5600,30070,99,601400
2009,62,9,91000027,4000,91000027,8800,41280,99,825600
2010,62,10,91000027,5200,91000027,12800,55130,99,1102600
2011,62,11,91000027,6400,91000027,18000,72010,99,1440200
2012,62,12,91000027,7600,91000027,24400,92420,99,1848400
2013,62,13,91000027,8800,91000027,32000,116890,99,2337800
2014,62,14,91000027,10000,91000027,40800,146050,99,2921000
2015,62,15,91000027,12000,91000027,50800,180620,99,3612400
2016,62,16,91000027,14000,91000027,62800,221420,99,4428400
2017,62,17,91000027,16000,91000027,76800,269370,99,5387400
2018,62,18,91000027,18000,91000027,92800,325540,99,6510800
2019,62,19,91000027,20000,91000027,110800,391140,99,7822800
2020,62,20,0,0,91000027,130800,467560,99,9351200
3001,63,1,91000027,100,91000027,100,2100,99,42000
3002,63,2,91000027,200,91000027,200,4210,99,84200
3003,63,3,91000027,400,91000027,400,6310,99,126200
3004,63,4,91000027,800,91000027,800,8420,99,168400
3005,63,5,91000027,1600,91000027,1600,13240,99,264800
3006,63,6,91000027,3200,91000027,3200,21200,99,424000
3007,63,7,91000027,4800,91000027,6400,31680,99,633600
3008,63,8,91000027,6400,91000027,11200,45100,99,902000
3009,63,9,91000027,8000,91000027,17600,61930,99,1238600
3010,63,10,91000027,10400,91000027,25600,82690,99,1653800
3011,63,11,91000027,12800,91000027,36000,108020,99,2160400
3012,63,12,91000027,15200,91000027,48800,138630,99,2772600
3013,63,13,91000027,17600,91000027,64000,175340,99,3506800
3014,63,14,91000027,20000,91000027,81600,219080,99,4381600
3015,63,15,91000027,24000,91000027,101600,270930,99,5418600
3016,63,16,91000027,28000,91000027,125600,332120,99,6642400
3017,63,17,91000027,32000,91000027,153600,404050,99,8081000
3018,63,18,91000027,36000,91000027,185600,488300,99,9766000
3019,63,19,91000027,40000,91000027,221600,586710,99,11734200
3020,63,20,0,0,91000027,261600,701330,99,14026600
4001,64,1,91000027,200,91000027,200,3510,99,70200
4002,64,2,91000027,400,91000027,400,7010,99,140200
4003,64,3,91000027,800,91000027,800,10520,99,210400
4004,64,4,91000027,1600,91000027,1600,14030,99,280600
4005,64,5,91000027,3200,91000027,3200,22070,99,441400
4006,64,6,91000027,6400,91000027,6400,35330,99,706600
4007,64,7,91000027,9600,91000027,12800,52800,99,1056000
4008,64,8,91000027,12800,91000027,22400,75170,99,1503400
4009,64,9,91000027,16000,91000027,35200,103210,99,2064200
4010,64,10,91000027,20800,91000027,51200,137820,99,2756400
4011,64,11,91000027,25600,91000027,72000,180030,99,3600600
4012,64,12,91000027,30400,91000027,97600,231050,99,4621000
4013,64,13,91000027,35200,91000027,128000,292230,99,5844600
4014,64,14,91000027,40000,91000027,163200,365130,99,7302600
4015,64,15,91000027,48000,91000027,203200,451560,99,9031200
4016,64,16,91000027,56000,91000027,251200,553540,99,11070800
4017,64,17,91000027,64000,91000027,307200,673410,99,13468200
4018,64,18,91000027,72000,91000027,371200,813840,99,16276800
4019,64,19,91000027,80000,91000027,443200,977850,99,19557000
4020,64,20,0,0,91000027,523200,1168890,99,23377800
5001,71,1,91000027,25,91000027,25,70,99,7000
5002,71,2,91000027,50,91000027,50,140,99,14000
5003,71,3,91000027,100,91000027,100,210,99,21000
5004,71,4,91000027,200,91000027,200,281,99,28100
5005,71,5,91000027,400,91000027,400,440,99,44000
5006,71,6,91000027,800,91000027,800,710,99,71000
5007,71,7,91000027,1200,91000027,1600,1060,99,106000
5008,71,8,91000027,1600,91000027,2800,1500,99,150000
5009,71,9,91000027,2000,91000027,4400,2060,99,206000
5010,71,10,91000027,2600,91000027,6400,2760,99,276000
5011,71,11,91000027,3200,91000027,9000,3600,99,360000
5012,71,12,91000027,3800,91000027,12200,4620,99,462000
5013,71,13,91000027,4400,91000027,16000,5840,99,584000
5014,71,14,91000027,5000,91000027,20400,7300,99,730000
5015,71,15,91000027,6000,91000027,25400,9030,99,903000
5016,71,16,91000027,7000,91000027,31400,11070,99,1107000
5017,71,17,91000027,8000,91000027,38400,13470,99,1347000
5018,71,18,91000027,9000,91000027,46400,16280,99,1628000
5019,71,19,91000027,10000,91000027,55400,19560,99,1956000
5020,71,20,0,0,91000027,65400,23380,99,2338000
6001,72,1,91000027,50,91000027,50,140,99,14000
6002,72,2,91000027,100,91000027,100,280,99,28000
6003,72,3,91000027,200,91000027,200,420,99,42000
6004,72,4,91000027,400,91000027,400,560,99,56000
6005,72,5,91000027,800,91000027,800,880,99,88000
6006,72,6,91000027,1600,91000027,1600,1410,99,141000
6007,72,7,91000027,2400,91000027,3200,2110,99,211000
6008,72,8,91000027,3200,91000027,5600,3010,99,301000
6009,72,9,91000027,4000,91000027,8800,4130,99,413000
6010,72,10,91000027,5200,91000027,12800,5510,99,551000
6011,72,11,91000027,6400,91000027,18000,7200,99,720000
6012,72,12,91000027,7600,91000027,24400,9240,99,924000
6013,72,13,91000027,8800,91000027,32000,11690,99,1169000
6014,72,14,91000027,10000,91000027,40800,14610,99,1461000
6015,72,15,91000027,12000,91000027,50800,18060,99,1806000
6016,72,16,91000027,14000,91000027,62800,22140,99,2214000
6017,72,17,91000027,16000,91000027,76800,26940,99,2694000
6018,72,18,91000027,18000,91000027,92800,32550,99,3255000
6019,72,19,91000027,20000,91000027,110800,39110,99,3911000
6020,72,20,0,0,91000027,130800,46760,99,4676000
7001,73,1,91000027,100,91000027,100,210,99,21000
7002,73,2,91000027,200,91000027,200,420,99,42000
7003,73,3,91000027,400,91000027,400,630,99,63000
7004,73,4,91000027,800,91000027,800,840,99,84000
7005,73,5,91000027,1600,91000027,1600,1320,99,132000
7006,73,6,91000027,3200,91000027,3200,2120,99,212000
7007,73,7,91000027,4800,91000027,6400,3170,99,317000
7008,73,8,91000027,6400,91000027,11200,4510,99,451000
7009,73,9,91000027,8000,91000027,17600,6190,99,619000
7010,73,10,91000027,10400,91000027,25600,8270,99,827000
7011,73,11,91000027,12800,91000027,36000,10800,99,1080000
7012,73,12,91000027,15200,91000027,48800,13860,99,1386000
7013,73,13,91000027,17600,91000027,64000,17530,99,1753000
7014,73,14,91000027,20000,91000027,81600,21910,99,2191000
7015,73,15,91000027,24000,91000027,101600,27090,99,2709000
7016,73,16,91000027,28000,91000027,125600,33210,99,3321000
7017,73,17,91000027,32000,91000027,153600,40400,99,4040000
7018,73,18,91000027,36000,91000027,185600,48830,99,4883000
7019,73,19,91000027,40000,91000027,221600,58670,99,5867000
7020,73,20,0,0,91000027,261600,70130,99,7013000
8001,74,1,91000027,200,91000027,200,350,99,35000
8002,74,2,91000027,400,91000027,400,700,99,70000
8003,74,3,91000027,800,91000027,800,1050,99,105000
8004,74,4,91000027,1600,91000027,1600,1400,99,140000
8005,74,5,91000027,3200,91000027,3200,2210,99,221000
8006,74,6,91000027,6400,91000027,6400,3530,99,353000
8007,74,7,91000027,9600,91000027,12800,5280,99,528000
8008,74,8,91000027,12800,91000027,22400,7520,99,752000
8009,74,9,91000027,16000,91000027,35200,10320,99,1032000
8010,74,10,91000027,20800,91000027,51200,13780,99,1378000
8011,74,11,91000027,25600,91000027,72000,18000,99,1800000
8012,74,12,91000027,30400,91000027,97600,23100,99,2310000
8013,74,13,91000027,35200,91000027,128000,29220,99,2922000
8014,74,14,91000027,40000,91000027,163200,36510,99,3651000
8015,74,15,91000027,48000,91000027,203200,45160,99,4516000
8016,74,16,91000027,56000,91000027,251200,55350,99,5535000
8017,74,17,91000027,64000,91000027,307200,67340,99,6734000
8018,74,18,91000027,72000,91000027,371200,81380,99,8138000
8019,74,19,91000027,80000,91000027,443200,97780,99,9778000
8020,74,20,0,0,91000027,523200,116890,99,11689000
9001,91,1,91000027,25,91000027,25,140,99,7000
9002,91,2,91000027,50,91000027,50,280,99,14000
9003,91,3,91000027,100,91000027,100,420,99,21000
9004,91,4,91000027,200,91000027,200,560,99,28000
9005,91,5,91000027,400,91000027,400,880,99,44000
9006,91,6,91000027,800,91000027,800,1410,99,70500
9007,91,7,91000027,1200,91000027,1600,2110,99,105500
9008,91,8,91000027,1600,91000027,2800,3010,99,150500
9009,91,9,91000027,2000,91000027,4400,4130,99,206500
9010,91,10,91000027,2600,91000027,6400,5510,99,275500
9011,91,11,91000027,3200,91000027,9000,7200,99,360000
9012,91,12,91000027,3800,91000027,12200,9240,99,462000
9013,91,13,91000027,4400,91000027,16000,11690,99,584500
9014,91,14,91000027,5000,91000027,20400,14610,99,730500
9015,91,15,91000027,6000,91000027,25400,18060,99,903000
9016,91,16,91000027,7000,91000027,31400,22140,99,1107000
9017,91,17,91000027,8000,91000027,38400,26940,99,1347000
9018,91,18,91000027,9000,91000027,46400,32550,99,1627500
9019,91,19,91000027,10000,91000027,55400,39110,99,1955500
9020,91,20,0,0,91000027,65400,46760,99,2338000
10001,92,1,91000027,50,91000027,50,280,99,14000
10002,92,2,91000027,100,91000027,100,560,99,28000
10003,92,3,91000027,200,91000027,200,840,99,42000
10004,92,4,91000027,400,91000027,400,1120,99,56000
10005,92,5,91000027,800,91000027,800,1770,99,88500
10006,92,6,91000027,1600,91000027,1600,2830,99,141500
10007,92,7,91000027,2400,91000027,3200,4220,99,211000
10008,92,8,91000027,3200,91000027,5600,6010,99,300500
10009,92,9,91000027,4000,91000027,8800,8260,99,413000
10010,92,10,91000027,5200,91000027,12800,11030,99,551500
10011,92,11,91000027,6400,91000027,18000,14400,99,720000
10012,92,12,91000027,7600,91000027,24400,18480,99,924000
10013,92,13,91000027,8800,91000027,32000,23380,99,1169000
10014,92,14,91000027,10000,91000027,40800,29210,99,1460500
10015,92,15,91000027,12000,91000027,50800,36120,99,1806000
10016,92,16,91000027,14000,91000027,62800,44280,99,2214000
10017,92,17,91000027,16000,91000027,76800,53870,99,2693500
10018,92,18,91000027,18000,91000027,92800,65110,99,3255500
10019,92,19,91000027,20000,91000027,110800,78230,99,3911500
10020,92,20,0,0,91000027,130800,93510,99,4675500
11001,93,1,91000027,100,91000027,100,420,99,21000
11002,93,2,91000027,200,91000027,200,840,99,42000
11003,93,3,91000027,400,91000027,400,1260,99,63000
11004,93,4,91000027,800,91000027,800,1680,99,84000
11005,93,5,91000027,1600,91000027,1600,2650,99,132500
11006,93,6,91000027,3200,91000027,3200,4240,99,212000
11007,93,7,91000027,4800,91000027,6400,6340,99,317000
11008,93,8,91000027,6400,91000027,11200,9020,99,451000
11009,93,9,91000027,8000,91000027,17600,12390,99,619500
11010,93,10,91000027,10400,91000027,25600,16540,99,827000
11011,93,11,91000027,12800,91000027,36000,21600,99,1080000
11012,93,12,91000027,15200,91000027,48800,27730,99,1386500
11013,93,13,91000027,17600,91000027,64000,35070,99,1753500
11014,93,14,91000027,20000,91000027,81600,43820,99,2191000
11015,93,15,91000027,24000,91000027,101600,54190,99,2709500
11016,93,16,91000027,28000,91000027,125600,66420,99,3321000
11017,93,17,91000027,32000,91000027,153600,80810,99,4040500
11018,93,18,91000027,36000,91000027,185600,97660,99,4883000
11019,93,19,91000027,40000,91000027,221600,117340,99,5867000
11020,93,20,0,0,91000027,261600,140270,99,7013500
12001,94,1,91000027,200,91000027,200,700,99,35000
12002,94,2,91000027,400,91000027,400,1400,99,70000
12003,94,3,91000027,800,91000027,800,2100,99,105000
12004,94,4,91000027,1600,91000027,1600,2810,99,140500
12005,94,5,91000027,3200,91000027,3200,4410,99,220500
12006,94,6,91000027,6400,91000027,6400,7070,99,353500
12007,94,7,91000027,9600,91000027,12800,10560,99,528000
12008,94,8,91000027,12800,91000027,22400,15030,99,751500
12009,94,9,91000027,16000,91000027,35200,20640,99,1032000
12010,94,10,91000027,20800,91000027,51200,27560,99,1378000
12011,94,11,91000027,25600,91000027,72000,36010,99,1800500
12012,94,12,91000027,30400,91000027,97600,46210,99,2310500
12013,94,13,91000027,35200,91000027,128000,58440,99,2922000
12014,94,14,91000027,40000,91000027,163200,73030,99,3651500
12015,94,15,91000027,48000,91000027,203200,90310,99,4515500
12016,94,16,91000027,56000,91000027,251200,110710,99,5535500
12017,94,17,91000027,64000,91000027,307200,134680,99,6734000
12018,94,18,91000027,72000,91000027,371200,162770,99,8138500
12019,94,19,91000027,80000,91000027,443200,195570,99,9778500
12020,94,20,0,0,91000027,523200,233780,99,11689000
13001,1061,1,91000027,25,91000027,25,5,99,7000
13002,1061,2,91000027,50,91000027,50,7,99,14000
13003,1061,3,91000027,100,91000027,100,10,99,21000
13004,1061,4,91000027,200,91000027,200,12,99,28000
13005,1061,5,91000027,400,91000027,400,14,99,44000
13006,1061,6,91000027,800,91000027,800,17,99,70500
13007,1061,7,91000027,1200,91000027,1600,19,99,105500
13008,1061,8,91000027,1600,91000027,2800,22,99,150500
13009,1061,9,91000027,2000,91000027,4400,24,99,206500
13010,1061,10,91000027,2600,91000027,6400,26,99,275500
13011,1061,11,91000027,3200,91000027,9000,29,99,360000
13012,1061,12,91000027,3800,91000027,12200,34,99,462000
13013,1061,13,91000027,4400,91000027,16000,38,99,584500
13014,1061,14,91000027,5000,91000027,20400,43,99,730500
13015,1061,15,91000027,6000,91000027,25400,48,99,903000
13016,1061,16,91000027,7000,91000027,31400,53,99,1107000
13017,1061,17,91000027,8000,91000027,38400,58,99,1347000
13018,1061,18,91000027,9000,91000027,46400,62,99,1627500
13019,1061,19,91000027,10000,91000027,55400,72,99,1955500
13020,1061,20,0,0,91000027,65400,86,99,2338000
14001,1062,1,91000027,50,91000027,50,24,99,14000
14002,1062,2,91000027,100,91000027,100,36,99,28000
14003,1062,3,91000027,200,91000027,200,48,99,42000
14004,1062,4,91000027,400,91000027,400,60,99,56000
14005,1062,5,91000027,800,91000027,800,72,99,88500
14006,1062,6,91000027,1600,91000027,1600,84,99,141500
14007,1062,7,91000027,2400,91000027,3200,96,99,211000
14008,1062,8,91000027,3200,91000027,5600,108,99,300500
14009,1062,9,91000027,4000,91000027,8800,120,99,413000
14010,1062,10,91000027,5200,91000027,12800,132,99,551500
14011,1062,11,91000027,6400,91000027,18000,144,99,720000
14012,1062,12,91000027,7600,91000027,24400,168,99,924000
14013,1062,13,91000027,8800,91000027,32000,192,99,1169000
14014,1062,14,91000027,10000,91000027,40800,216,99,1460500
14015,1062,15,91000027,12000,91000027,50800,240,99,1806000
