id,lv,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10,base_type11,base_value11
5001,1,6,3000,7,200,8,100,9,400,10,200,29,200,30,100,11,20000,12,90,43,0,99,150000,1500
5001,2,6,3240,7,216,8,108,9,432,10,216,29,216,30,108,11,20000,12,90,43,0,99,162000,1620
5001,3,6,3480,7,232,8,116,9,464,10,232,29,232,30,116,11,20000,12,90,43,0,99,174000,1740
5001,4,6,3750,7,250,8,125,9,500,10,250,29,250,30,125,11,20000,12,90,43,0,99,187500,1875
5001,5,6,4050,7,270,8,135,9,540,10,270,29,270,30,135,11,20000,12,90,43,0,99,202500,2025
5001,6,6,4350,7,290,8,145,9,580,10,290,29,290,30,145,11,20000,12,90,43,0,99,217500,2175
5001,7,6,4680,7,312,8,156,9,624,10,312,29,312,30,156,11,20000,12,90,43,0,99,234000,2340
5001,8,6,5040,7,336,8,168,9,672,10,336,29,336,30,168,11,20000,12,90,43,0,99,252000,2520
5001,9,6,5430,7,362,8,181,9,724,10,362,29,362,30,181,11,20000,12,90,43,0,99,271500,2715
5001,10,6,5850,7,390,8,195,9,780,10,390,29,390,30,195,11,20000,12,90,43,0,99,292500,2925
5001,11,6,6300,7,420,8,210,9,840,10,420,29,420,30,210,11,20000,12,90,43,0,99,315000,3150
5001,12,6,6780,7,452,8,226,9,904,10,452,29,452,30,226,11,20000,12,90,43,0,99,339000,3390
5001,13,6,7320,7,488,8,244,9,976,10,488,29,488,30,244,11,20000,12,90,43,0,99,366000,3660
5001,14,6,7890,7,526,8,263,9,1052,10,526,29,526,30,263,11,20000,12,90,43,0,99,394500,3945
5001,15,6,8520,7,568,8,284,9,1136,10,568,29,568,30,284,11,20000,12,90,43,0,99,426000,4260
5001,16,6,9180,7,612,8,306,9,1224,10,612,29,612,30,306,11,20000,12,90,43,0,99,459000,4590
5001,17,6,9900,7,660,8,330,9,1320,10,660,29,660,30,330,11,20000,12,90,43,0,99,495000,4950
5001,18,6,10680,7,712,8,356,9,1424,10,712,29,712,30,356,11,20000,12,90,43,0,99,534000,5340
5001,19,6,11520,7,768,8,384,9,1536,10,768,29,768,30,384,11,20000,12,90,43,0,99,576000,5760
5001,20,6,12420,7,828,8,414,9,1656,10,828,29,828,30,414,11,20000,12,90,43,0,99,621000,6210
5001,21,6,13410,7,894,8,447,9,1788,10,894,29,894,30,447,11,20000,12,90,43,0,99,670500,6705
5001,22,6,14460,7,964,8,482,9,1928,10,964,29,964,30,482,11,20000,12,90,43,0,99,723000,7230
5001,23,6,15600,7,1040,8,520,9,2080,10,1040,29,1040,30,520,11,20000,12,90,43,0,99,780000,7800
5001,24,6,16830,7,1122,8,561,9,2244,10,1122,29,1122,30,561,11,20000,12,90,43,0,99,841500,8415
5001,25,6,18150,7,1210,8,605,9,2420,10,1210,29,1210,30,605,11,20000,12,90,43,0,99,907500,9075
5001,26,6,19590,7,1306,8,653,9,2612,10,1306,29,1306,30,653,11,20000,12,90,43,0,99,979500,9795
5001,27,6,21150,7,1410,8,705,9,2820,10,1410,29,1410,30,705,11,20000,12,90,43,0,99,1057500,10575
5001,28,6,22830,7,1522,8,761,9,3044,10,1522,29,1522,30,761,11,20000,12,90,43,0,99,1141500,11415
5001,29,6,24630,7,1642,8,821,9,3284,10,1642,29,1642,30,821,11,20000,12,90,43,0,99,1231500,12315
