itemid,itemname,mode,type,order,icon,txt,aindex,bindex,condition,show,levelid
12100101,海洋之狼魂石,2,2,1,0,关卡掉落,0,0,0,40-10,114010
12100101,海洋之狼魂石,2,1,2,0,秘境商店,0,shop_mainUI.show(enShopType.enST_YuanZheng),return mod_base.issysopen(41),秘境商店购买,0
12100201,仲裁官魂石,2,2,1,0,关卡掉落,0,0,0,28-10 泰拉之影,112810
12100201,仲裁官魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12100401,破誓者魂石,1,1,1,0,贵族13礼包,0,"ui_mgr.openUI(""vipUI"",enOpenUIType.EUIT_ListType,13)",0,购买贵族13礼包,0
12100501,爆裂队长魂石,2,2,1,0,关卡掉落,0,0,0,36-10,113610
12100501,爆裂队长魂石,2,1,2,0,军团商店,0,shop_mainUI.show(enShopType.enST_GongXian),return mod_base.issysopen(39),军团商店购买,0
12100601,收割者魂石,1,1,1,0,斗技商店,0,shop_mainUI.show(enShopType.enST_ShenQi),return mod_base.issysopen(21),斗技商店购买,0
12100701,灾祸使者魂石,2,2,1,0,关卡掉落,0,0,0,14-10 矮人英雄,111410
12100701,灾祸使者魂石,2,2,2,0,关卡掉落,0,0,0,26-10 深渊双子,112610
12100701,灾祸使者魂石,2,2,3,0,关卡掉落,0,0,0,42-10,114210
12100701,灾祸使者魂石,2,1,4,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12100801,唤魂妖姬魂石,2,2,1,0,关卡掉落,0,0,0,45-10,114510
12100801,唤魂妖姬魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12101001,灵翼刺客魂石,2,2,1,0,关卡掉落,0,0,0,10-10 猩红之王,111010
12101001,灵翼刺客魂石,2,2,2,0,关卡掉落,0,0,0,21-10 亡灵骑士,112110
12101001,灵翼刺客魂石,2,2,3,0,关卡掉落,0,0,0,34-10,113410
12101001,灵翼刺客魂石,2,1,4,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12101101,影之牙魂石,2,2,1,0,关卡掉落,0,0,0,16-10 阿卡拉,111610
12101101,影之牙魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12200101,暮光骑士魂石,1,1,1,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12200301,通灵师魂石,1,1,1,0,镇魂商店,0,shop_mainUI.show(enShopType.enST_ZhenHun),return mod_base.issysopen(22),镇魂商店购买,0
12200401,精灵妖狐魂石,2,2,1,0,关卡掉落,0,0,0,2-8 暮光骑士,110210
12200401,精灵妖狐魂石,2,2,2,0,关卡掉落,0,0,0,8-10 死灵大帝,110810
12200401,精灵妖狐魂石,2,1,3,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12200501,荒漠可汗魂石,1,1,1,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12200601,圣殿先锋魂石,2,2,1,0,关卡掉落,0,0,0,3-10 受惑国王,110310
12200601,圣殿先锋魂石,2,2,2,0,关卡掉落,0,0,0,9-10 骑士之魂,110910
12200601,圣殿先锋魂石,2,1,3,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12200701,恶魔猎人魂石,1,1,1,0,贵族9礼包,0,"ui_mgr.openUI(""vipUI"",enOpenUIType.EUIT_ListType,9)",0,购买贵族9礼包,0
12200801,风暴之眼魂石,1,1,1,0,秘境商店,0,shop_mainUI.show(enShopType.enST_YuanZheng),return mod_base.issysopen(41),秘境商店购买,0
12200901,原力法师魂石,1,1,1,0,军团商店,0,shop_mainUI.show(enShopType.enST_GongXian),return mod_base.issysopen(39),军团商店购买,0
12201001,熔岩斗士魂石,2,2,1,0,关卡掉落,0,0,0,4-10 幕后之人,110410
12201001,熔岩斗士魂石,2,2,2,0,关卡掉落,0,0,0,17-10 终战,111710
12201001,熔岩斗士魂石,2,2,3,0,关卡掉落,0,0,0,29-10 深渊决战,112910
12201001,熔岩斗士魂石,2,2,4,0,关卡掉落,0,0,0,46-10,114610
12201001,熔岩斗士魂石,2,1,5,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300101,火焰领主魂石,2,2,1,0,关卡掉落,0,0,0,33-10,113310
12300101,火焰领主魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300201,黑羽之箭魂石,2,2,1,0,关卡掉落,0,0,0,44-10,114410
12300201,黑羽之箭魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300301,魅魔女王魂石,2,2,1,0,关卡掉落,0,0,0,48-10,114810
12300301,魅魔女王魂石,2,1,2,0,高级召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,高级召唤获得,0
12300401,凤凰之心魂石,2,2,1,0,关卡掉落,0,0,0,1-5 佣兵头领,110105
12300401,凤凰之心魂石,2,2,2,0,关卡掉落,0,0,0,7-10 蛮族之王,110710
12300401,凤凰之心魂石,2,1,3,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300501,刀魂魂石,2,2,1,0,关卡掉落,0,0,0,20-10 冰晶天使,112010
12300501,刀魂魂石,2,1,2,0,召唤,0,"ui_mgr.openUI(""summon_hallUI"")",0,召唤获得,0
12300601,部族贤者魂石,2,2,1,0,关卡掉落,0,0,0,12-10 恶魔领主,111210
12300601,部族贤者魂石,2,2,2,0,关卡掉落,0,0,0,23-10 火焰领主,112310
