levelid,judgelevel,icon,picture,coldtime,force_limit,win,lose,maxchance,minchance,reduce,levelindex,refresh1,refresh2,refresh3,refresh4,servernum,chaptername,descriptiont,physicalstrength,teamexp,rareloot1,rareloot2,rareloot3,loot1,loot2,loot3,loot4,npcteam,npclv,npcicon1,npcname1,npcicon2,npcname2,npcicon3,npcname3,npcicon4,npcname4,npcicon5,npcname5,drop
300001,200104,0,0,20,10000,100,80,90,60,200,1,110000,150000,200000,0,30,永夜地牢,,10,10,20000011,0,0,91000001,21000011,0,0,永夜地牢的守军,10,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10001
300002,200204,0,0,20,10000,100,80,90,60,200,2,110000,150000,200000,0,30,龙穴宝库,,10,10,20000012,0,0,91000001,21000012,0,0,龙穴宝库的守军,15,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10002
300003,200304,0,0,20,10000,100,80,90,60,200,3,110000,150000,200000,0,30,疯语祭坛,,10,10,20000013,0,0,91000001,21000013,0,0,疯语祭坛的守军,20,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10003
300004,200404,0,0,20,10000,100,80,90,60,200,4,110000,150000,200000,0,30,蜘蛛巢穴,,10,10,20000014,0,0,91000001,21000014,0,0,蜘蛛巢穴的守军,25,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10004
300005,200504,0,0,20,10000,100,80,90,60,200,5,110000,150000,200000,0,30,黑色大厅,,10,10,20000015,0,0,91000001,21000015,0,0,黑色大厅的守军,30,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10005
300006,200604,0,0,20,10000,100,80,90,60,200,6,110000,150000,200000,0,30,亡语学院,,10,10,20000016,0,0,91000001,21000016,0,0,亡语学院的守军,35,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10006
300007,200704,0,0,20,20000,100,80,90,60,200,7,110000,150000,200000,0,30,火神殿,,10,10,20000101,0,0,91000001,21000101,0,0,火神殿的守军,40,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10007
300008,200804,0,0,20,20000,100,80,90,60,200,8,110000,150000,200000,0,30,黑暗王座,,10,10,20000102,0,0,91000001,21000102,0,0,黑暗王座的守军,45,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10008
300009,200904,0,0,20,20000,100,80,90,60,200,9,110000,150000,200000,0,30,血腥地窖,,10,10,20000103,0,0,91000001,21000103,0,0,血腥地窖的守军,50,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10009
300010,201004,0,0,20,20000,100,80,90,60,200,10,110000,150000,200000,0,30,迷宫中心,,10,10,20000104,0,0,91000001,21000104,0,0,迷宫中心的守军,55,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10010
300011,201104,0,0,20,20000,100,80,90,60,200,11,110000,150000,200000,0,30,夺魂陵寝,,10,10,20000105,0,0,91000001,21000105,0,0,夺魂陵寝的守军,60,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10011
300012,201204,0,0,20,20000,100,80,90,60,200,12,110000,150000,200000,0,30,深渊神殿,,10,10,20000106,0,0,91000001,21000106,0,0,深渊神殿的守军,65,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,1001,防守部队,10012
