levelid,item1,probability1,protection1,item2,probability2,protection2,item3,num3,probability3,item4,num4,probability4,item5,num5,probability5,item6,num6,probability6,lotteryid1,lotteryid2,lotteryid3,bag1,bagprobability1,bag2,bagprobability2,bag3,bagprobability3,bag4,bagprobability4,bag5,bagprobability5,indexes1,indexes2,condition1,condition2
4001010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4002010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4008010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4006010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4003010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4027010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4026010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4021010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110101,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,1001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1200010),return mod_base.getPassLv(1)
110102,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1200020),return mod_base.getPassLv(1)
110103,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,2001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1200030),return mod_base.getPassLv(1)
110104,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,3001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1200040),return mod_base.getPassLv(1)
110105,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,12300401,1,2500,0,0,0,7001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1200060),return mod_base.getPassLv(2)
110201,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,4001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201010),return mod_base.getPassLv(1)
110202,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,4001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201020),return mod_base.getPassLv(1)
110203,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,4001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201030),return mod_base.getPassLv(1)
110204,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,5001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201040),return mod_base.getPassLv(2)
110205,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,5001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201050),return mod_base.getPassLv(2)
110206,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,5001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201060),return mod_base.getPassLv(2)
110207,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201070),return mod_base.getPassLv(2)
110208,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201080),return mod_base.getPassLv(2)
110209,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,6001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201090),return mod_base.getPassLv(3)
110210,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,12200401,1,2500,0,0,0,8001,0,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1201100),return mod_base.getPassLv(3)
110301,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,1002,1001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202010),return mod_base.getPassLv(3)
110302,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,1002,1001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202020),return mod_base.getPassLv(3)
110303,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,1002,1001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202030),return mod_base.getPassLv(3)
110304,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,2002,2001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202040),return mod_base.getPassLv(3)
110305,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,2002,2001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202050),return mod_base.getPassLv(3)
110306,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,2002,2001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202060),return mod_base.getPassLv(10)
110307,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,3002,3001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202070),return mod_base.getPassLv(10)
110308,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,3002,3001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202080),return mod_base.getPassLv(10)
110309,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,0,0,0,0,0,0,3002,3001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202090),return mod_base.getPassLv(10)
110310,0,0,0,0,0,0,91000001,500,10000,30101000,1,5000,12200601,1,2500,0,0,0,7002,7001,0,0,0,0,0,0,0,0,0,0,0,src/ui/newPathWayUI,newPathWayUI.Open_FengDi(),return mod_pass.isPassLevel(1202100),return mod_base.getPassLv(10)
