monsterid,name,level,camp,type,heroattackcycle,soldier,soldierattackcycle,cablerange,ragevalue,heromodel,soldiermodel,herobuff,awakenlevel,killanger,heromodelsize,soldiermodelsize,soldiersnumber,base_type1,base_value1,base_type2,base_value2,base_type3,base_value3,base_type4,base_value4,base_type5,base_value5,base_type6,base_value6,base_type7,base_value7,base_type8,base_value8,base_type9,base_value9,base_type10,base_value10
1010101,骷髅战士,1,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,500,7,20,8,0,9,40,10,0,29,15,30,0,0,0
1010301,骸骨弓手,3,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,600,7,26,8,0,9,52,10,0,29,15,30,0,0,0
1010302,精灵妖狐,3,4,1,2004,52010102,2004,15000,800,2004,52010102,0,0,200,130,60,70,11,20000,12,90,6,600,7,26,8,0,9,52,10,0,29,15,30,0,0,0
1010401,骷髅战士,4,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,1000,7,26,8,0,9,52,10,0,29,14,30,0,0,0
1010402,碎颅者,4,1,1,4004,52020101,4004,15000,800,4004,52020101,0,0,200,130,60,70,11,20000,12,90,6,2500,7,60,8,0,9,120,10,0,29,14,30,0,0,0
1010501,骸骨弓手,5,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,890,7,30,8,0,9,60,10,0,29,15,30,0,0,0
1010502,荒漠可汗,5,5,1,2005,52020101,2005,15000,800,2005,52020101,0,0,200,130,60,70,11,20000,12,90,6,3000,7,70,8,0,9,140,10,0,29,30,30,0,0,0
1020101,步兵,6,1,1,110110,52010101,1101,15000,0,1101,52010101,0,0,200,100,60,70,11,20000,12,90,6,890,7,24,8,0,9,33.599999999999994,10,0,29,14,30,0,0,0
1020102,海洋之狼,6,1,1,1001,52010101,1001,15000,800,1001,52010101,0,0,200,130,60,70,11,20000,12,90,6,6000,7,56,8,0,9,78.39999999999999,10,0,29,14,30,0,0,0
1020301,骷髅战士,6,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,5000,7,40,8,0,9,56,10,0,29,14,30,0,0,0
1020302,幽魂,6,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,3000,7,80,8,0,9,112,10,0,29,14,30,0,0,0
1020401,弩手,7,1,1,110210,52010102,1102,15000,0,1102,52010102,0,0,200,100,60,70,11,20000,12,90,6,4000,7,40,8,0,9,56,10,0,29,14,30,0,0,0
1020402,圣光祭司,7,1,1,4003,52010101,4003,15000,400,4003,52010101,0,0,200,130,60,70,11,20000,12,90,6,20000,7,80,8,0,9,112,10,0,29,200,30,0,0,0
1020501,骸骨弓手,7,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,4000,7,64,8,0,9,89.6,10,0,29,15,30,0,0,0
1020502,影之牙,7,4,1,1011,52010101,1011,15000,800,1011,52010101,0,0,200,130,60,70,11,20000,12,90,6,15000,7,96,8,0,9,134.39999999999998,10,0,29,15,30,0,0,0
1020601,阿克曼尼,8,1,2,5001,52010102,5001,25000,800,5001,52010102,0,0,200,200,60,0,11,20000,12,90,6,60000,7,160,8,0,9,224,10,0,29,110,30,0,0,0
1020801,骷髅战士,8,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,7000,7,48,8,0,9,67.19999999999999,10,0,29,26,30,0,0,0
1020802,幽魂,8,2,1,210300,52020103,2103,15000,0,2103,52020103,0,0,200,100,60,70,11,20000,12,90,6,5000,7,72,8,0,9,100.8,10,0,29,26,30,0,0,0
1020901,堡垒战士,9,3,1,310110,52030102,3101,15000,0,3101,52030102,0,0,200,100,60,70,11,20000,12,90,6,6000,7,64,8,0,9,89.6,10,0,29,25,30,0,0,0
1020902,火枪手,9,3,1,310210,52030101,3102,15000,0,3102,52030101,0,0,200,100,60,70,11,20000,12,90,6,4000,7,96,8,0,9,134.39999999999998,10,0,29,25,30,0,0,0
1020903,爆裂队长,9,3,1,1005,52010102,1005,15000,800,1005,52010102,0,0,200,130,60,70,11,20000,12,90,6,12000,7,160,8,0,9,224,10,0,29,25,30,0,0,0
1021001,骷髅战士,9,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,5000,7,56,8,0,9,78.39999999999999,10,0,29,26,30,0,0,0
1021002,骸骨弓手,10,2,1,210210,52020102,2102,15000,0,2102,52020102,0,0,200,100,60,70,11,20000,12,90,6,4000,7,80,8,0,9,112,10,0,29,26,30,0,0,0
1021003,暮光骑士,10,6,1,2001,52010101,2001,15000,800,2001,52010101,0,0,200,130,60,70,11,20000,12,90,6,15000,7,128,8,0,9,179.2,10,0,29,73,30,0,0,0
1030101,堡垒战士,11,3,1,310110,52030102,3101,15000,0,3101,52030102,0,0,200,100,60,70,11,20000,12,90,6,15000,7,64,8,0,9,89.6,10,0,29,129.6,30,0,0,0
1030102,爆裂队长,11,3,1,1005,52010102,1005,15000,800,1005,52010102,0,0,200,130,60,70,11,20000,12,90,6,20000,7,96,8,0,9,134.39999999999998,10,0,29,129.6,30,0,0,0
1030103,战术塔,11,1,4,0,0,0,0,0,0,0,0,0,0,100,0,0,11,0,12,0,6,500,7,96,8,0,9,134.39999999999998,10,0,29,129.6,30,0,0,0
1030301,堡垒战士,11,3,1,310110,52030102,3101,15000,0,3101,52030102,0,0,200,100,60,70,11,20000,12,90,6,11000,7,80,8,0,9,134.39999999999998,10,0,29,129.6,30,0,0,0
1030302,火枪手,11,3,1,310210,52030101,3102,15000,0,3102,52030101,0,0,200,100,60,70,11,20000,12,90,6,8000,7,120,8,0,9,175,10,0,29,129.6,30,0,0,0
1030303,战术塔,11,1,4,0,0,0,0,0,0,0,0,0,0,100,0,0,11,0,12,0,6,500,7,160,8,0,9,224,10,0,29,129.6,30,0,0,0
1030401,骷髅战士,11,2,1,210110,52020101,2101,15000,0,2101,52020101,0,0,200,100,60,70,11,20000,12,90,6,15000,7,64,8,0,9,89.6,10,0,29,129.6,30,0,0,0
1030402,灾祸使者,11,6,1,1007,52010103,1007,15000,800,1007,52010103,0,0,200,130,60,70,11,20000,12,90,6,17000,7,96,8,0,9,168,10,0,29,129.6,30,0,0,0
1030501,阿克曼尼,11,1,2,5001,52010102,5001,25000,800,5001,52010102,0,0,200,200,60,0,11,20000,12,90,6,40000,7,320,8,0,9,448,10,0,29,128,30,0,0,0
1030502,爆裂队长,11,3,1,1005,52010102,1005,15000,800,1005,52010102,0,0,200,130,60,70,11,20000,12,90,6,40000,7,192,8,0,9,268.79999999999995,10,0,29,128,30,0,0,0
1030601,海德拉,12,1,2,5006,52010102,5006,25000,800,5006,52010102,0,0,200,200,60,0,11,20000,12,90,6,100000,7,80,8,0,9,70,10,0,29,100,30,0,0,0
1030801,堡垒战士,12,3,1,310110,52030102,3101,15000,0,3101,52030102,0,0,200,100,60,70,11,20000,12,90,6,24000,7,153.60000000000002,8,0,9,215.04,10,0,29,128,30,0,0,0
