levelid,group,group_name,pointX,pointY,mapid,picid,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15
10001,1,泰拉之谜,400,1080,5,1,29,379,156,202,389,208,558,311,545,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10002,1,泰拉之谜,620,950,10,2,308,348,464,390,561,490,650,368,551,256,367,192,196,167,46,174,18,325,174,448,0,0,0,0,0,0,0,0,0,0
10003,1,泰拉之谜,450,850,15,3,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10004,1,泰拉之谜,150,790,15,3,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10005,1,泰拉之谜,660,750,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10006,1,泰拉之谜,570,580,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10007,1,泰拉之谜,450,455,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10008,1,泰拉之谜,200,520,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10009,1,泰拉之谜,350,685,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10010,1,泰拉之谜,50,630,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10011,1,泰拉之谜,200,100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10012,1,泰拉之谜,420,280,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10013,1,泰拉之谜,780,375,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10014,1,泰拉之谜,850,150,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10015,1,泰拉之谜,980,500,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10016,1,泰拉之谜,1190,400,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10017,1,泰拉之谜,1320,135,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10018,1,泰拉之谜,1540,285,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10019,1,泰拉之谜,1400,580,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10020,1,泰拉之谜,1700,515,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10021,1,泰拉之谜,1780,655,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10022,1,泰拉之谜,1960,760,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10023,1,泰拉之谜,1970,380,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10024,1,泰拉之谜,1970,230,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10025,1,泰拉之谜,1700,100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10026,1,泰拉之谜,1900,960,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10027,1,泰拉之谜,1500,1000,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10028,1,泰拉之谜,1650,890,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10029,1,泰拉之谜,1400,1100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10030,1,泰拉之谜,1060,1100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10031,2,万世之战,400,1080,5,1,29,379,156,202,389,208,558,311,545,458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10032,2,万世之战,620,950,10,2,308,348,464,390,561,490,650,368,551,256,367,192,196,167,46,174,18,325,174,448,0,0,0,0,0,0,0,0,0,0
10033,2,万世之战,450,850,15,3,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10034,2,万世之战,150,790,15,3,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10035,2,万世之战,660,750,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10036,2,万世之战,570,580,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10037,2,万世之战,450,455,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10038,2,万世之战,200,520,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10039,2,万世之战,350,685,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10040,2,万世之战,50,630,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10041,2,万世之战,200,100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10042,2,万世之战,420,280,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10043,2,万世之战,780,375,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10044,2,万世之战,850,150,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10045,2,万世之战,980,500,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10046,2,万世之战,1190,400,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10047,2,万世之战,1320,135,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10048,2,万世之战,1540,285,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10049,2,万世之战,1400,580,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10050,2,万世之战,1700,515,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10051,2,万世之战,1780,655,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10052,2,万世之战,1960,760,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10053,2,万世之战,1970,380,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10054,2,万世之战,1970,230,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10055,2,万世之战,1700,100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10056,2,万世之战,1900,960,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10057,2,万世之战,1500,1000,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10058,2,万世之战,1650,890,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10059,2,万世之战,1400,1100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
10060,2,万世之战,1060,1100,15,2,180,450,80,437,0,329,0,197,94,181,196,167,305,195,423,207,513,244,599,278,653,413,561,487,410,490,477,380,306,348
