id,nextid,dec,toucheffect,record,n1,n2,n3,n4,n5,n6,n7,n8,n9,n10,n11,n12
1,2,等待,1,1,2,0,0,0,0,0,0,0,0,0,0,0
2,3,移动,2,1,100,100,0,0,0,0,0,0,0,0,0,0
3,4,传送,3,1,50,50,0,0,0,0,0,0,0,0,0,0
4,5,击飞,4,1,80,80,0,0,0,0,0,0,0,0,0,0
5,6,提交道具,5,1,91000001,100,0,0,0,0,0,0,0,0,0,0
6,7,物件状态变化,6,1,model_building_1001,0,0,0,0,0,0,0,0,0,0,0
7,8,播放视频文件,7,0,mp4_1001,0,0,0,0,0,0,0,0,0,0,0
8,9,弹出剧情对话,8,0,10010301,0,0,0,0,0,0,0,0,0,0,0
9,0,弹出图片,9,0,1," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 4} )",picture_1001,0,0,0,0,0,0,0,0,0
15,12,弹出购买界面,9,1,3," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 6} )",21,0,0,0,0,0,0,0,0,0
16,0,弹出任务界面,9,1,4," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 7} )",获得xxx,17,0,0,0,0,0,0,0,0
17,14,读条,12,0,5,0,0,0,0,0,0,0,0,0,0,0
18,15,获得道具,13,1,91000001,100,0,0,0,0,0,0,0,0,0,0
19,0,播放特效,14,0,1,effect_1001,1,effect_1002,0,0,0,0,0,0,0,0
20,0,进入战斗,10,1,110101,0,0,0,0,0,0,0,0,0,0,0
21,0,隐藏,11,1,0,0,0,0,0,0,0,0,0,0,0,0
22,0,显示,11,1,1,0,0,0,0,0,0,0,0,0,0,0
101,0,获得金币1,13,1,91000001,3000,0,0,0,0,0,0,0,0,0,0
102,0,获得金币2,13,1,91000001,6000,0,0,0,0,0,0,0,0,0,0
103,0,获得金币3,13,1,91000001,9000,0,0,0,0,0,0,0,0,0,0
104,0,获得金币4,13,1,91000001,12000,0,0,0,0,0,0,0,0,0,0
105,0,获得金币5,13,1,91000001,15000,0,0,0,0,0,0,0,0,0,0
111,0,获得钻石1,13,1,91000002,10,0,0,0,0,0,0,0,0,0,0
112,0,获得钻石2,13,1,91000002,20,0,0,0,0,0,0,0,0,0,0
113,0,获得钻石3,13,1,91000002,30,0,0,0,0,0,0,0,0,0,0
114,0,获得钻石4,13,1,91000002,40,0,0,0,0,0,0,0,0,0,0
115,0,获得钻石5,13,1,91000002,50,0,0,0,0,0,0,0,0,0,0
116,0,获得体力,13,1,91000003,6,0,0,0,0,0,0,0,20500240,0,0
121,0,装备2-1,13,1,20000011,1,0,0,0,0,0,0,0,0,0,0
122,0,装备2-2,13,1,20000012,1,0,0,0,0,0,0,0,0,0,0
123,0,装备2-3,13,1,20000013,1,0,0,0,0,0,0,0,0,0,0
124,0,装备2-4,13,1,20000014,1,0,0,0,0,0,0,0,0,0,0
125,0,装备2-5,13,1,20000015,1,0,0,0,0,0,0,0,0,0,0
126,0,装备2-6,13,1,20000016,1,0,0,0,0,0,0,0,0,0,0
161,0,装备6-1,13,1,20100001,1,0,0,0,0,0,0,0,0,0,0
162,0,装备6-2,13,1,20100002,1,0,0,0,0,0,0,0,0,0,0
163,0,装备6-3,13,1,20100003,1,0,0,0,0,0,0,0,0,0,0
164,0,装备6-4,13,1,20100004,1,0,0,0,0,0,0,0,0,0,0
165,0,装备6-5,13,1,20100005,1,0,0,0,0,0,0,0,0,0,0
166,0,装备6-6,13,1,20100006,1,0,0,0,0,0,0,0,0,0,0
171,0,入场剧情,8,1,1205,0,0,0,0,0,0,0,0,0,0,0
175,0,1-1战斗,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 5} )",110101,0,0,0,0,0,0,0,0,0
180,0,1-2谈判,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 5} )",110103,0,0,0,0,0,0,0,0,0
185,0,1-3战斗,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 5} )",110104,0,0,0,0,0,0,0,0,0
190,0,1-4搜索,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 5} )",110102,0,0,0,0,0,0,0,0,0
192,0,搜索完毕,8,0,1415,0,0,0,0,0,0,0,0,0,0,0
195,0,1-5打BOSS,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 5} )",110105,0,0,0,0,0,0,0,0,0
196,0,章节完成剧情,8,0,1050201,0,0,0,0,0,0,0,0,0,0,0
197,198,走进传送门,2,0,63,16,0,0,0,0,0,0,0,0,0,0
198,0,章节完成,16,0,1,levelMapUI,0,第一章完成,0,0,0,0,0,0,0,0
205,0,2-1战斗抢主城,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 5} )",110201,0,0,0,0,0,0,0,0,0
207,0,进城,16,1,1,0,0,0,0,0,0,0,0,0,0,0
210,0,2-2搜索,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 6} )",110202,0,0,0,0,0,0,0,0,0
215,0,搜索完毕,8,1,1415,0,0,0,0,0,0,0,0,0,0,0
220,221,2-2战斗,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 7} )",110203,0,0,0,0,0,0,0,0,0
221,0,2-2战斗结束剧情,8,0,2020201,0,0,0,0,0,0,0,0,0,0,0
223,0,主城宝物剧情,8,1,2020301,0,0,0,0,0,0,0,0,0,0,0
230,0,2-3支线谈判,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 8} )",110204,0,0,0,0,0,0,0,0,0
240,0,2-4战斗,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 9} )",110205,0,0,0,0,0,0,0,0,0
250,0,2-6巨兽战,9,1,2," ui_mgr.openUI( ""hero_systemUI"",enOpenUIType.EUIT_ListType,{_viewFlag = 10} )",110206,0,0,0,0,0,0,0,0,0
