id,sort,chapter,type,dec,titlet,begin,txt,thingid,explore,item1,num1,item2,num2,item3,num3,item4,num4
1,1,1,1,"        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。",1-1 营救骑士,尊敬的领主大人：,\n    兽人佣兵俘虏了埃西尔的同伴，我们得想办法救出他。,105,0,0,0,0,0,0,0,0,0
2,2,1,1,"        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。",1-2 精灵狐妖,尊敬的领主大人：,\n    我们找到了埃西尔的最后一名同伴。,110,0,0,0,0,0,0,0,0,0
3,3,1,1,"        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。",1-3 突围,尊敬的领主大人：,\n    敌人堵在了必经之路上，看来只能强行突破了。,120,0,0,0,0,0,0,0,0,0
4,4,1,1,"        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。",1-4 搜索遗迹,尊敬的领主大人：,\n    前方有一座遗迹，似乎是万世之战时期的产物！,130,0,0,0,0,0,0,0,0,0
5,5,1,1,"        我们的故乡遭到暗灵入侵，先王陨落……我们好不容易从王城撤离，却又在这片山谷遭遇伏击。\n        必须尽快离开这里，寻求其他城邦的援助。",1-5 兽人头领,尊敬的领主大人：,\n    消灭兽人佣兵的头领，夺取他们的船只！,140,0,0,0,0,0,0,0,0,0
6,1,1,2,拾取金币,拾取金币,0,0,106,100,91000001,100,0,0,0,0,0,0
7,1,2,1,"        通过这座雪山，就能到达矮人的王国。",2-1 新主城,尊敬的领主大人：,\n    传说中的山中女妖出现了。,201,0,0,0,0,0,0,0,0,0
8,2,2,1,"        通过这座雪山，就能到达矮人的王国。",2-2 旗帜,尊敬的领主大人：,\n    一伙劫匪拦在路中，看样子是准备趁雪打劫。,203,0,0,0,0,0,0,0,0,0
9,3,2,1,"        通过这座雪山，就能到达矮人的王国。",2-4 亡者,尊敬的领主大人：,\n    上古时代的灵魂被困于此，终日不得安息。,205,0,0,0,0,0,0,0,0,0
10,4,2,1,"        通过这座雪山，就能到达矮人的王国。",2-6 圣物,尊敬的领主大人：,\n    这群古老的战士似乎一直在守护这种神圣的山峰。,208,0,0,0,0,0,0,0,0,0
11,5,2,1,"        通过这座雪山，就能到达矮人的王国。",2-8 追击者,尊敬的领主大人：,\n    她曾经是神山的守护者，如今已经彻底迷失了自我。,210,0,0,0,0,0,0,0,0,0
12,1,2,2,2-3 圣者遗物,2-3 圣者遗物,0,0,204,30,91000001,100,0,0,0,0,0,0
13,2,2,2,2-5 雪山遗迹,2-5 雪山遗迹,0,0,207,30,91000001,100,0,0,0,0,0,0
14,3,2,2,2-7 矮人国王,2-7 矮人国王,0,0,209,40,91000001,100,0,0,0,0,0,0
15,1,3,1,"        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。",3-1 矮人头领,尊敬的领主大人：,\n    矮人头领出现了。,301,0,0,0,0,0,0,0,0,0
16,2,3,1,"        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。",3-3 受惑矮人,尊敬的领主大人：,\n    我们得知有部分矮人被迷惑了。,303,0,0,0,0,0,0,0,0,0
17,3,3,1,"        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。",3-5 魔迷心窍,尊敬的领主大人：,\n    原来迷惑矮人的是魅魔。,305,0,0,0,0,0,0,0,0,0
18,4,3,1,"        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。",3-8 失去理智,尊敬的领主大人：,\n    这群古老的矮人因为恶魔而失去了理智。,308,0,0,0,0,0,0,0,0,0
19,5,3,1,"        我们到达了矮人的王国，但这里似乎酝酿着一个巨大的阴谋。",3-10 受惑国王,尊敬的领主大人：,\n    连国王也被迷惑了，寻找神器的道路越来越凶险。,310,0,0,0,0,0,0,0,0,0
20,1,3,2,3-2 遗迹,3-2 遗迹,0,0,302,20,91000001,100,0,0,0,0,0,0
21,2,3,2,3-4 谈判,3-4 谈判,0,0,304,20,91000001,100,0,0,0,0,0,0
22,3,3,2,3-6 多头蛇,3-6 多头蛇,0,0,306,20,91000001,100,0,0,0,0,0,0
23,4,3,2,3-7 遗迹,3-7 遗迹,0,0,307,20,91000001,100,0,0,0,0,0,0
24,5,3,2,3-9 谈判,3-9 谈判,0,0,309,20,91000001,100,0,0,0,0,0,0
25,1,4,1,"        穿过北岭前往赫利海姆，却没料到我们在这里遭到兽人佣兵的袭击。",4-1 唤灵妖姬,尊敬的领主大人：,\n    唤灵妖姬出现了，但她不该出现在这里。,401,0,0,0,0,0,0,0,0,0
