id,lotteryid,description,chance,type,groupid,groupwt,itemid,itemdes,itemwt,min,max
1,1000,test,5000,1,101,600,72000004,大闸蟹,40,1,9
2,1000,test,0,1,101,0,72000004,大闸蟹,30,10,19
3,1000,test,0,1,101,0,72000004,大闸蟹,20,20,20
4,1000,test,0,1,102,400,91000002,钻石100,40,100,199
5,1000,test,0,1,102,0,91000002,钻石200,30,200,299
6,1000,test,0,1,102,0,91000002,钻石500,20,500,500
7,1001,普通关卡-1种1阶,10000,1,101,100,30101001,地元素粉尘,100,1,2
8,1002,普通关卡-1种2阶,10000,1,101,100,30101002,地元素粉尘+1,100,1,2
9,1003,普通关卡-1种3阶,10000,1,101,100,30101003,地元素粉尘+2,100,1,2
10,1004,普通关卡-1种4阶,10000,1,101,100,30101004,地元素碎片,100,1,2
11,1005,普通关卡-1种5阶,10000,1,101,100,30101005,地元素碎片+1,100,1,2
12,1006,普通关卡-1种6阶,10000,1,101,100,30101006,地元素碎片+2,100,1,2
13,1007,普通关卡-1种7阶,10000,1,101,100,30101007,地元素碎块,100,1,2
14,1008,普通关卡-1种8阶,10000,1,101,100,30101008,地元素碎块+1,100,1,2
15,1009,普通关卡-1种9阶,10000,1,101,100,30101009,地元素碎块+2,100,1,2
16,1010,普通关卡-1种10阶,10000,1,101,100,30101010,地元素晶体,100,1,2
17,1011,普通关卡-1种11阶,10000,1,101,100,30101011,地元素晶体+1,100,1,2
18,1012,普通关卡-1种12阶,10000,1,101,100,30101012,地元素晶体+2,100,1,2
19,1013,普通关卡-1种13阶,10000,1,101,100,30101013,地元素原石,100,1,2
20,1014,普通关卡-1种14阶,10000,1,101,100,30101014,地元素原石+1,100,1,2
21,1015,普通关卡-1种15阶,10000,1,101,100,30101015,地元素原石+2,100,1,2
22,1016,普通关卡-1种16阶,10000,1,101,100,30101016,地元素宝石,100,1,2
23,1017,普通关卡-1种17阶,10000,1,101,100,30101017,地元素宝石+1,100,1,2
24,1018,普通关卡-1种18阶,10000,1,101,100,30101018,地元素宝石+2,100,1,2
25,2001,普通关卡-2种1阶,10000,1,101,100,30102001,水元素粉尘,100,1,2
26,2002,普通关卡-2种2阶,10000,1,101,100,30102002,水元素粉尘+1,100,1,2
27,2003,普通关卡-2种3阶,10000,1,101,100,30102003,水元素粉尘+2,100,1,2
