n4,id,type,show,sort,item,num,value,luckadd,lucktarget1,luckvalue1,lucktarget2,luckvalue2
1,1,1,1,1,12400101,2,240,10,2000,240,5000,240
1,2,0,0,2,78000105,10,1141,10,2000,1138,5000,1138
1,3,0,1,3,81900021,5,500,10,2000,500,5000,500
1,4,0,0,4,81800011,1,750,10,2000,750,5000,750
1,5,1,1,5,44400104,1,200,10,2000,200,5000,200
1,6,0,0,6,81800012,1,750,10,2000,750,5000,750
1,7,0,1,7,81900001,30,500,10,2000,500,5000,500
1,8,0,0,8,78000106,10,1139,10,2000,1138,5000,1138
1,9,1,1,9,12400101,120,1,-5000,2000,4,5000,4
1,10,0,0,10,78000107,10,1139,10,2000,1138,5000,1138
1,11,0,1,11,88800015,1,500,10,2000,500,5000,500
1,12,0,0,12,81800013,1,750,10,2000,750,5000,750
1,13,1,1,13,42400104,1,1,-2000,2000,4,5000,4
1,14,0,0,14,81800014,1,750,10,2000,750,5000,750
1,15,0,1,15,91000008,30,500,10,2000,500,5000,500
1,16,0,0,16,78000108,10,1139,10,2000,1138,5000,1138
2,1,1,1,1,12400401,2,240,10,2000,240,5000,240
2,2,0,0,2,78000105,10,1141,10,2000,1138,5000,1138
2,3,0,1,3,81900021,5,500,10,2000,500,5000,500
2,4,0,0,4,81800011,1,750,10,2000,750,5000,750
2,5,1,1,5,44400404,1,200,10,2000,200,5000,200
2,6,0,0,6,81800012,1,750,10,2000,750,5000,750
2,7,0,1,7,81900001,30,500,10,2000,500,5000,500
2,8,0,0,8,78000106,10,1139,10,2000,1138,5000,1138
2,9,1,1,9,12400401,120,1,-5000,2000,4,5000,4
2,10,0,0,10,78000107,10,1139,10,2000,1138,5000,1138
2,11,0,1,11,88800015,1,500,10,2000,500,5000,500
2,12,0,0,12,81800013,1,750,10,2000,750,5000,750
2,13,1,1,13,42400404,1,1,-2000,2000,4,5000,4
2,14,0,0,14,81800014,1,750,10,2000,750,5000,750
2,15,0,1,15,91000008,30,500,10,2000,500,5000,500
2,16,0,0,16,78000108,10,1139,10,2000,1138,5000,1138
