id,mail_title,mail_txt
201,矿点争夺战奖励,本阵营在矿点争夺战中获得第{%d}名，总积分{%d}，获得如下奖励。
202,矿点争夺战奖励,本阵营在矿点争夺战中获得第{%d}名，总积分{%d}，获得如下奖励。
203,矿点争夺战奖励,本阵营在矿点争夺战中获得第{%d}名，总积分{%d}，获得如下奖励。
211,矿点争夺战最佳,恭喜你在矿点争夺战中表现出色！！
301,孤山夺宝名次奖励,恭喜你所属阵营在本次《孤山夺宝》活动中取得第{%d}名的成绩，阵营总荣誉{%d}点，获得如下奖励。
302,孤山夺宝名次奖励,恭喜你所属阵营在本次《孤山夺宝》活动中取得第{%d}名的成绩，阵营总荣誉{%d}点，获得如下奖励。
303,孤山夺宝名次奖励,恭喜你所属阵营在本次《孤山夺宝》活动中取得第{%d}名的成绩，阵营总荣誉{%d}点，获得如下奖励。
101,国战胜利,我方在{%s}争夺战中获胜，所有报名成员获得如下奖励。
102,国战失败,我方在{%s}争夺战中失败，所有报名成员获得如下奖励。
103,连斩排名奖励,您在{%s}争夺战中勇猛无畏，获得连斩第{%d}名，获得如下奖励。
401,军团战胜利,恭喜您的军团击败其他对手，成功占领领地{%s}，并获得如下奖励。
402,军团战失败,很遗憾您的军团在{%s}军团领地争夺战中失败，获得如下奖励。
403,军团战未入选,很遗憾您的军团未能入选{%s}军团领地争夺战，获得如下奖励。
1007,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
2003,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
2004,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
2014,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
2019,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
2024,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
2027,{%s}奖励,恭喜您上榜{%s}榜获得第{%d}名，获得如下奖励。
3001,七日活动累计奖励,"您在七日活动中累计积分{%d},获得{%s},奖励如下。"
