heroid,resindex,bindex0,eindex0,time0,bindex1,eindex1,time1,bindex2,eindex2,time2,bindex3,eindex3,time3,bindex4,eindex4,time4,bindex5,eindex5,time5,bindex6,eindex6,time6,bindex7,eindex7,time7,bindex8,eindex8,time8,bindex9,eindex9,time9,bindex10,eindex10,time10,bindex11,eindex11,time11,bindex12,eindex12,time12,showYPosOffset
1001,101,0,7,150,8,13,100,19,27,150,28,29,100,14,18,100,14,18,100,28,28,100,28,29,100,8,13,100,14,18,100,14,15,500,15,18,100,14,18,100,70
1002,102,0,7,150,8,13,100,22,26,150,27,28,100,14,21,100,14,21,100,27,27,100,27,28,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
1003,103,0,7,150,8,13,100,32,36,150,37,38,100,14,21,100,22,31,100,37,37,100,37,38,100,8,13,100,22,31,100,22,23,500,23,31,100,22,31,100,70
1004,104,0,7,150,8,13,100,20,24,150,25,26,100,14,19,100,14,19,100,25,25,100,25,26,100,8,13,100,14,19,100,14,15,500,15,19,100,14,19,100,70
1005,105,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
1006,106,0,7,150,8,13,100,20,24,150,25,26,100,14,19,100,14,19,100,25,25,100,25,26,100,8,13,100,14,19,100,14,15,500,15,19,100,14,19,100,70
1007,107,0,7,150,8,13,100,29,33,150,34,35,100,14,20,100,21,28,100,34,34,100,34,35,100,8,13,100,21,28,100,21,22,500,22,28,100,21,28,100,70
1008,108,0,7,150,8,13,100,24,28,150,29,30,100,14,23,100,14,23,100,29,29,100,29,30,100,8,13,100,14,23,100,14,15,500,15,23,100,14,23,100,70
1009,109,0,7,150,8,13,100,22,30,150,31,32,100,14,21,100,22,30,100,31,31,100,31,32,100,8,13,100,22,30,100,22,23,500,23,30,100,22,30,100,70
1010,110,0,7,150,8,13,100,24,28,150,29,30,100,14,23,100,14,18,100,29,29,100,29,30,100,8,13,100,14,18,100,14,15,500,15,18,100,14,18,100,70
1011,111,0,7,150,8,13,100,32,36,150,37,38,100,14,22,100,23,31,100,37,37,100,37,38,100,8,13,100,23,31,100,23,24,500,24,31,100,23,31,100,70
2001,201,0,7,150,8,13,100,22,32,150,33,34,100,14,21,100,14,21,100,33,33,100,33,34,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
2002,202,0,7,150,8,13,100,31,35,150,36,37,100,14,22,100,23,30,100,36,36,100,36,37,100,8,13,100,23,30,100,23,24,500,24,30,100,23,30,100,70
2003,203,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
2004,204,0,7,150,8,13,100,28,32,150,33,34,100,14,20,100,21,27,100,33,33,100,33,34,100,8,13,100,21,27,100,21,22,500,22,27,100,21,27,100,70
2005,205,0,7,150,8,13,100,25,29,150,30,31,100,14,24,100,14,24,100,30,30,100,30,31,100,8,13,100,14,24,100,14,15,500,15,24,100,14,24,100,70
2006,206,0,7,150,8,13,100,26,30,150,31,32,100,14,19,100,20,25,100,31,31,100,31,32,100,8,13,100,20,25,100,20,21,500,21,25,100,20,25,100,70
2007,207,0,7,150,8,13,100,28,32,150,33,34,100,14,19,100,20,27,100,33,33,100,33,34,100,8,13,100,20,27,100,20,21,500,21,27,100,20,27,100,70
2008,208,0,7,150,8,13,100,28,32,150,33,34,100,14,20,100,21,27,100,33,33,100,33,34,100,8,13,100,21,27,100,21,22,500,22,27,100,21,27,100,70
2009,209,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
2010,210,0,7,150,8,13,100,22,26,150,27,28,100,14,21,100,14,21,100,27,27,100,27,28,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
2011,211,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
3001,301,0,7,150,8,13,100,25,29,150,30,31,100,14,24,100,14,24,100,30,30,100,30,31,100,8,13,100,14,24,100,14,15,500,15,24,100,14,24,100,70
3002,302,0,7,150,8,13,100,27,31,150,32,33,100,14,19,100,20,26,100,32,32,100,32,33,100,8,13,100,20,26,100,20,21,500,21,26,100,20,26,100,70
3003,303,0,7,150,8,13,100,22,26,150,27,28,100,14,21,100,14,21,100,27,27,100,27,28,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
3004,304,0,7,150,8,13,100,21,25,150,26,27,100,14,20,100,14,20,100,26,26,100,26,27,100,8,13,100,14,20,100,14,15,500,15,20,100,14,20,100,70
3005,305,0,7,150,8,13,100,20,24,150,25,26,100,14,19,100,14,19,100,25,25,100,25,26,100,8,13,100,14,19,100,14,15,500,15,19,100,14,19,100,70
3006,306,0,7,150,8,13,100,30,34,150,35,36,100,14,20,100,21,29,100,35,35,100,35,36,100,8,13,100,21,29,100,21,22,500,22,29,100,21,29,100,70
3007,307,0,7,150,8,13,100,22,26,150,27,28,100,14,21,100,14,21,100,27,27,100,27,28,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
3008,308,0,7,150,8,13,100,22,26,150,27,28,100,14,21,100,14,21,100,27,27,100,27,28,100,8,13,100,14,21,100,14,15,500,15,21,100,14,21,100,70
