arms,armsmod,flyeffect
1101,1101,0
1102,1102,901
1103,1103,901
1104,1104,901
1105,1105,901
1106,1106,901
1201,1201,901
1202,1202,901
1203,1203,901
1204,1204,901
1205,1205,901
1206,1206,901
1301,1301,901
2101,2101,0
2102,2102,0
2103,2103,0
2104,2104,0
2105,2105,0
2106,2106,0
2111,2111,0
2112,2112,0
2201,2201,901
2202,2202,901
2203,2203,901
2204,2204,901
2205,2205,901
2206,2206,901
2301,2301,901
3101,3101,0
3102,3102,0
3103,3103,0
3104,3104,0
3105,3105,0
3106,3106,0
3201,3201,901
3202,3202,0
3203,3203,0
3204,3204,0
3205,3205,0
3206,3206,0
3200,3200,0
3301,3301,901
11,11,901
21,21,901
31,31,0
