id,title_show,title,description,type,show,sort,rmb,diamond,extra,time,vipexp,start,continued,cd,picture,chara_type,text1,text2,givemoneyshow
1,6480钻石,充值6480钻石,需充值648人民币,1,1,8,648,6480,6480,1,6480,0,0,0,icon_vip_01,2,0,0,6480
2,3280钻石,充值3280钻石,需充值328人民币,1,1,7,328,3280,3280,1,3280,0,0,0,icon_vip_02,2,0,0,3280
3,1980钻石,充值1980钻石,需充值198人民币,1,1,6,198,1980,1980,1,1980,0,0,0,icon_vip_03,2,0,0,1980
4,980钻石,充值980钻石,需充值98人民币,1,1,5,98,980,3920,1,980,0,0,0,icon_vip_04,3,0,0,980
5,300钻石,充值300钻石,需充值30人民币,1,1,4,30,300,300,1,300,0,0,0,icon_vip_05,2,0,0,300
6,60钻石,充值60钻石,需充值6人民币,1,1,3,6,60,0,0,60,0,0,0,icon_vip_06,0,0,0,0
7,10000钻石,充值10000钻石,需充值1000人民币,1,0,9,1000,10000,10000,1,10000,0,0,0,icon_vip_01,2,0,0,10000
8,20000钻石,充值20000钻石,需充值2000人民币,1,0,10,2000,20000,20000,1,20000,0,0,0,icon_vip_01,2,0,0,20000
9,30000钻石,充值30000钻石,需充值3000人民币,1,0,11,3000,30000,30000,1,30000,0,0,0,icon_vip_01,2,0,0,30000
10,50000钻石,充值50000钻石,需充值5000人民币,1,0,12,5000,50000,50000,1,50000,0,0,0,icon_vip_01,2,0,0,50000
11,100000钻石,充值100000钻石,需充值10000人民币,1,0,13,10000,100000,100000,1,100000,0,0,0,icon_vip_01,2,0,0,100000
101,超值月卡,充值250钻石,需充值25人民币,2,1,2,25,250,100301,30,250,0,0,0,img_yueka_1,1,0,0,100
102,至尊月卡,充值500钻石,需充值50人民币,2,1,1,50,500,100302,30,500,0,0,0,img_yueka_2,1,0,0,200
201,0钻石,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,60,0,0,0,0,0,0,,0
202,0钻石,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,300,0,0,0,0,0,0,,0
203,0钻石,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,980,0,0,0,0,0,0,,0
204,0钻石,充值1980钻石,需充值198人民币,3,0,0,198,0,0,0,1980,0,0,0,0,0,0,,0
205,0钻石,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,3280,0,0,0,0,0,0,,0
206,0钻石,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,6480,0,0,0,0,0,0,,0
207,0钻石,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,60,0,0,0,0,0,0,,0
208,0钻石,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,300,0,0,0,0,0,0,,0
209,0钻石,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,980,0,0,0,0,0,0,,0
210,0钻石,充值1980钻石,需充值198人民币,3,0,0,198,0,0,0,1980,0,0,0,0,0,0,,0
211,0钻石,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,3280,0,0,0,0,0,0,,0
212,0钻石,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,6480,0,0,0,0,0,0,,0
213,0钻石,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,60,0,0,0,0,0,0,,0
214,0钻石,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,300,0,0,0,0,0,0,,0
215,0钻石,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,980,0,0,0,0,0,0,,0
216,0钻石,充值1980钻石,需充值198人民币,3,0,0,198,0,0,0,1980,0,0,0,0,0,0,,0
217,0钻石,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,3280,0,0,0,0,0,0,,0
218,0钻石,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,6480,0,0,0,0,0,0,,0
219,0钻石,充值60钻石,需充值6人民币,3,0,0,6,0,0,0,60,0,0,0,0,0,0,,0
220,0钻石,充值300钻石,需充值30人民币,3,0,0,30,0,0,0,300,0,0,0,0,0,0,,0
221,0钻石,充值980钻石,需充值98人民币,3,0,0,98,0,0,0,980,0,0,0,0,0,0,,0
222,0钻石,充值1980钻石,需充值198人民币,3,0,0,198,0,0,0,1980,0,0,0,0,0,0,,0
223,0钻石,充值3280钻石,需充值328人民币,3,0,0,328,0,0,0,3280,0,0,0,0,0,0,,0
224,0钻石,充值6480钻石,需充值648人民币,3,0,0,648,0,0,0,6480,0,0,0,0,0,0,,0
225,0钻石,充值500钻石,需充值50人民币,4,0,0,50,0,0,0,0,0,0,0,0,0,0,,0
