id,level,passid,name,islock,icon,storyid,index,arisetype,fly_x,fly_y,move_button_id,inclination,text,story_id,introduction_storyid
1,0,110103,阵容,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,更换英雄在战斗中的位置,0,0
2,0,110104,升星,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,搜集材料，提升武将星级,0,0
3,1,110104,技能,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,英雄技能查看,0,0
4,1,110408,宿命,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,搜集对应的英雄，可以激活缘分,0,0
5,99,0,天赋（暂不引导）,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,激活英雄天赋,0,0
6,0,110203,强化,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,强化装备等级,0,0
7,0,110508,宝石,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,装备镶嵌宝石,0,0
8,0,111004,附魔,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,装备附魔,0,0
9,0,110203,背包,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,背包系统,0,0
10,1,0,世界,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,世界系统,0,0
11,1,0,活动,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,活动系统,0,0
12,0,110203,任务/日常/成长,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,任务系统,0,0
13,10,0,邮件,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,邮件系统,0,0
14,10,0,好友,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,好友系统,0,0
15,0,110403,学院,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,研究科技的位置,0,0
16,0,110508,魔龙洞窟,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,产宝石的位置,0,0
17,0,110308,祭坛,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,产宝石的位置,0,0
18,0,110308,装备分解,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,装备分解,0,0
19,0,110308,英雄碎片分解,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,英雄碎片分解,0,0
20,0,110608,装备重生,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,装备重生,0,0
21,0,110503,斗技场,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,竞技场,0,0
22,0,111004,镇魂塔,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,爬塔,0,0
23,0,110305,巨兽,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,巨兽,0,0
24,0,110405,地下城,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,地下城,0,0
25,1,110405,地下城组队,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,地下城组队,0,0
26,0,110703,圣物,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,圣物,0,0
27,0,110803,时空秘境,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,时空秘境,0,0
28,40,0,时空秘境扫荡,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,时空秘境扫荡,0,0
29,32,0,国家,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,国家,0,0
30,1,0,内政厅,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,内政厅,0,0
31,32,0,战略大厅,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,军机处,0,0
32,32,0,世界形势,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,势力状态,0,0
33,32,0,编年史,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,天下大势,0,0
34,0,110603,军团,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,公会,0,0
35,0,110603,军团副本,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,公会副本,0,0
36,1,0,10次扫荡,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
37,0,110308,商行,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
38,0,110308,勋章,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
39,0,110603,军团商店,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
40,0,110503,斗技场商店,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
41,0,110803,秘境,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
42,0,110605,每日试炼,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
43,-1,0,探险,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
44,0,111605,星界,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
45,0,111605,魔宠契约,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
46,-1,0,暂未用到,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
47,-1,0,弹幕（废弃）,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
48,0,0,聊天入口,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
49,0,0,世界频道,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
50,0,0,国家频道,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
51,0,0,军团频道,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
52,0,0,私聊频道,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
53,0,110808,矿点争夺战,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
54,1,0,红包(不一定用到),0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
55,1,0,世界等级（不一定用到）,0,gnkq_zhengshou_hbss,0,0,0,0,0,0,0,描述空,0,0
