num,name1,name2,name3
1,火羽,圣者,女伯爵
2,战歌,狂人,精灵
3,黑石,霸者,女王
4,荣耀,之箭,歌者
5,火吻,之王,诗人
6,鸦巢,侯爵,黛丝
7,暮光,伯爵,伊莎
8,暗礁,王爵,玛姬
9,铸魔,子爵,切莉
10,月怒,男爵,黛安娜
11,赤毒,先知,卡瑞达
12,霹雳,法师,南茜
13,暗羽,刺客,凯罗尔
14,战锤,狂战,格瑞塔
15,新月,之子,凯莉
16,潮汐,祭司,西尔维
17,黑城,法官,海伦
18,裂石,战士,桑德拉
19,荆棘,牧师,瑞加娜
20,神谕,骑士,芬妮
21,雷霆,仲裁者,艾莉森
22,深沙,巨人,菲奥纳
23,冰风,主教,娜塔莉
24,风暴,巨魔,切尔西
25,炎枪,泰坦,莫琳
26,掠夺,逆熵,沙琳
27,暗锋,地狱,瑞娅
28,暗风,叛逆,洛丽丝
29,月轮,君王,露露
30,黑蛛,领主,莱瑞拉
31,紫罗,之神,桑德拉
32,月冕,游侠,爱沙拉
33,源宫,神剑,丝特拉
34,荒铁,剑客,妮可
35,霜焰,拳师,塞尔玛
36,寒刺,之拳,艾许莉
37,骨刺,之刃,埃拉
38,飞燕,之刀,奥琳娜
39,嘲颅,之剑,玛丽
40,剃骨,之锤,康斯坦
41,蚀骨,之夜,黛米
42,瑟银,之枪,维亚
43,赤槌,执政官,堂娜
44,焚木,神枪,吉莉安
45,暗月,魔君,卡瑞达
46,激流,之戟,埃莉卡
47,星风,之鞭,特蕾西
48,狮鹫,之锤,邦妮
49,狂狼,之枪,莰蒂丝
50,赤酒,之弓,笆笆拉
51,石心,杰克逊,克莉丝
52,猎巫,布伦特,玛米
53,灰烬,亚伦,帕梅拉
54,怒风,布莱恩,斯蒂芬
55,永夜,菲利普,乔斯林
56,丧钟,弗农,席梦娜
57,寒风,范,安德烈
58,黑焰,艾德文,布兰琪
59,蛮锤,杰罗姆,维娜
60,葬影,克拉克,爱得莱
61,幽影,莫尔,卡拉
62,黑谷,塞西尔,柏妮丝
63,黑涧,阿特利,伊芙
