drop_id,drop_group,item_id,role_name,drop_name,drop_cards_num,chance,alert
1,1001,11300701,周泰,橙色卡组,1,0,1
2,1001,11200201,许褚,橙色卡组,1,0,1
3,1001,11100201,张飞,橙色卡组,1,5,1
4,1001,11201001,夏侯惇,橙色卡组,1,5,1
5,1001,11300501,太史慈,橙色卡组,1,5,1
6,1001,11100301,马超,橙色卡组,1,0,1
7,1001,11100101,关羽,橙色卡组,1,5,1
8,1001,11400901,庞德,橙色卡组,1,5,1
9,1001,11200901,曹操,橙色卡组,1,0,1
10,1001,11100901,刘备,橙色卡组,1,5,1
11,1001,11300601,孙权,橙色卡组,1,5,1
12,1001,11200801,郭嘉,橙色卡组,1,0,1
13,1001,11300901,大乔,橙色卡组,1,5,1
14,1001,11301201,步练师,橙色卡组,1,5,1
15,1001,11300201,小乔,橙色卡组,1,5,1
16,1001,11400301,貂蝉,橙色卡组,1,0,1
17,1001,11200601,曹仁,橙色卡组,1,20,1
18,1001,11200501,张辽,橙色卡组,1,20,1
19,1001,11300401,陆逊,橙色卡组,1,20,1
20,1001,11101001,孙尚香,橙色卡组,1,20,1
21,1001,11200101,甄姬,橙色卡组,1,20,1
22,1001,11200301,荀彧,橙色卡组,1,20,1
23,1001,11300301,吕蒙,橙色卡组,1,20,1
24,1001,11100701,庞统,橙色卡组,1,20,1
25,1001,11100501,黄忠,橙色卡组,1,20,1
26,1001,11400801,华佗,橙色卡组,1,20,1
27,1002,11400501,孟获,紫色卡组,1,1,0
28,1002,11300101,高顺,紫色卡组,1,1,0
29,1002,11400201,祝融,紫色卡组,1,1,0
30,1002,11300801,韩当,紫色卡组,1,1,0
31,1002,11400701,华雄,紫色卡组,1,1,0
32,1002,11200401,蔡文姬,紫色卡组,1,1,0
33,1002,11100801,黄月英,紫色卡组,1,1,0
34,1002,11400601,贾诩,紫色卡组,1,1,0
35,1003,11400501,孟获,招募必掉卡组,1,100,0
36,1003,11300101,高顺,招募必掉卡组,1,100,0
37,1003,11400201,祝融,招募必掉卡组,1,100,0
38,1003,11300801,韩当,招募必掉卡组,1,100,0
39,1003,11400701,华雄,招募必掉卡组,1,100,0
40,1003,11200401,蔡文姬,招募必掉卡组,1,100,0
41,1003,11100801,黄月英,招募必掉卡组,1,100,0
42,1003,11400601,贾诩,招募必掉卡组,1,100,0
43,1004,12301201,步练师武魂,招募武魂S组,1,1,0
44,1004,12200601,曹仁武魂,招募武魂S组,1,1,0
45,1004,12200501,张辽武魂,招募武魂S组,1,1,0
46,1004,12300401,陆逊武魂,招募武魂S组,1,1,0
47,1004,12101001,孙尚香武魂,招募武魂S组,1,1,0
48,1004,12200101,甄姬武魂,招募武魂S组,1,1,0
49,1004,12200301,荀彧武魂,招募武魂S组,1,1,0
50,1004,12300301,吕蒙武魂,招募武魂S组,1,1,0
