id,pub_tpye,pub_name,cards_vip_min,cards_vip_max,pay_pub_type,pay_item,pay_item_num,drop_cards_num,drop_group1,drop_group_id1,drop_group2,drop_group_id2,drop_group3,drop_group_id3,drop_group4,chance,certain_times_drop_type,additem_type,additem_num
1,10001,基础召唤-道具-单抽,0,15,1,81400601,1,1,2004,1,2003,0,2002,0,2003,180,10,30101000,2
2,10002,基础召唤-道具-单抽,0,15,1,81400601,1,1,2004,0,2003,1,2002,0,2003,19,10,30101000,2
3,10132,基础召唤-道具-单抽,0,15,1,81400601,1,1,2004,0,2003,0,2002,1,2003,1,10,30101000,2
4,10003,基础召唤-道具-10连抽,0,15,2,81400601,10,10,2004,10,2003,0,2002,0,0,180,0,30101000,20
5,10004,基础召唤-道具-10连抽,0,15,2,81400601,10,10,2004,9,2003,1,2002,0,0,19,0,30101000,20
6,10073,基础召唤-道具-10连抽,0,15,2,81400601,10,10,2004,8,2003,1,2002,1,0,1,0,30101000,20
7,10005,高级召唤-免费-单抽-出9卡-小R,0,15,103,0,0,1,2004,1,2003,0,2002,0,2002,160,10,30101000,10
8,10006,高级召唤-免费-单抽-出8卡-小R,0,15,103,0,0,1,2004,0,2003,1,2002,0,2002,39,10,30101000,10
9,10087,高级召唤-免费-单抽-出8卡-小R,0,15,103,0,0,1,2004,0,2003,0,2002,1,2002,1,10,30101000,10
10,10007,高级召唤-钻石-单抽-出9卡-小R,0,15,203,91000002,300,1,2004,1,2003,0,2002,0,2002,160,10,30101000,10
11,10008,高级召唤-钻石-单抽-出8卡-小R,0,15,203,91000002,300,1,2004,0,2003,1,2002,0,2002,39,10,30101000,10
12,10088,高级召唤-钻石-单抽-出8卡-小R,0,15,203,91000002,300,1,2004,0,2003,0,2002,1,2002,1,10,30101000,10
13,10009,高级召唤-钻石-10抽-小R,0,3,105,91000002,2680,10,2004,8,2003,1,2002,1,0,50,0,30101000,100
14,10010,高级召唤-钻石-10抽-小R,0,3,105,91000002,2680,10,2004,7,2003,2,2002,1,0,20,0,30101000,100
15,10011,高级召唤-钻石-10抽-小R,0,3,105,91000002,2680,10,2004,6,2003,3,2002,1,0,20,0,30101000,100
16,10012,高级召唤-钻石-10抽-小R,0,3,105,91000002,2680,10,2004,7,2003,1,2002,2,0,6,0,30101000,100
17,10013,高级召唤-钻石-10抽-小R,0,3,105,91000002,2680,10,2004,7,2003,1,2002,2,0,2,0,30101000,100
18,10014,高级召唤-钻石-10抽-小R,0,3,105,91000002,2680,10,2004,6,2003,2,2002,2,0,2,0,30101000,100
19,10015,高级召唤-钻石-10抽-中R,4,9,105,91000002,2680,10,2004,8,2003,1,2002,1,0,50,0,30101000,100
20,10016,高级召唤-钻石-10抽-中R,4,9,105,91000002,2680,10,2004,7,2003,2,2002,1,0,20,0,30101000,100
21,10017,高级召唤-钻石-10抽-中R,4,9,105,91000002,2680,10,2004,6,2003,3,2002,1,0,20,0,30101000,100
22,10018,高级召唤-钻石-10抽-中R,4,9,105,91000002,2680,10,2004,7,2003,1,2002,2,0,6,0,30101000,100
23,10019,高级召唤-钻石-10抽-中R,4,9,105,91000002,2680,10,2004,7,2003,1,2002,2,0,2,0,30101000,100
24,10020,高级召唤-钻石-10抽-中R,4,9,105,91000002,2680,10,2004,6,2003,2,2002,2,0,2,0,30101000,100
25,10021,高级召唤-钻石-10抽-大R,10,15,105,91000002,2680,10,2004,8,2003,1,2002,1,0,50,0,30101000,100
26,10022,高级召唤-钻石-10抽-大R,10,15,105,91000002,2680,10,2004,7,2003,2,2002,1,0,20,0,30101000,100
27,10023,高级召唤-钻石-10抽-大R,10,15,105,91000002,2680,10,2004,6,2003,3,2002,1,0,20,0,30101000,100
28,10024,高级召唤-钻石-10抽-大R,10,15,105,91000002,2680,10,2004,7,2003,1,2002,2,0,6,0,30101000,100
29,10025,高级召唤-钻石-10抽-大R,10,15,105,91000002,2680,10,2004,7,2003,1,2002,2,0,2,0,30101000,100
30,10026,高级召唤-钻石-10抽-大R,10,15,105,91000002,2680,10,2004,6,2003,2,2002,2,0,2,0,30101000,100
31,10086,高级召唤-道具-单抽-小R,0,15,3,81400602,1,1,2004,1,2003,0,2002,0,2002,160,10,30101000,10
32,10074,高级召唤-道具-单抽-小R,0,15,3,81400602,1,1,2004,0,2003,1,2002,0,2002,39,10,30101000,10
33,10075,高级召唤-道具-单抽-小R,0,15,3,81400602,1,1,2004,0,2003,0,2002,1,2002,1,10,30101000,10
34,10077,高级召唤-道具-10连-小R,0,3,5,81400602,10,10,2004,9,2003,0,2002,1,0,1,0,30101000,100
35,10078,高级召唤-道具-10连-小R,0,3,5,81400602,10,10,2004,8,2003,1,2002,1,0,8,0,30101000,100
36,10079,高级召唤-道具-10连-小R,0,3,5,81400602,10,10,2004,7,2003,2,2002,1,0,1,0,30101000,100
37,10080,高级召唤-道具-10连-中R,4,9,5,81400602,10,10,2004,9,2003,0,2002,1,0,1,0,30101000,100
38,10081,高级召唤-道具-10连-中R,4,9,5,81400602,10,10,2004,8,2003,1,2002,1,0,8,0,30101000,100
39,10082,高级召唤-道具-10连-中R,4,9,5,81400602,10,10,2004,7,2003,2,2002,1,0,1,0,30101000,100
40,10083,高级召唤-道具-10连-大R,10,15,5,81400602,10,10,2004,9,2003,0,2002,1,0,1,0,30101000,100
41,10084,高级召唤-道具-10连-大R,10,15,5,81400602,10,10,2004,8,2003,1,2002,1,0,8,0,30101000,100
42,10085,高级召唤-道具-10连-大R,10,15,5,81400602,10,10,2004,7,2003,2,2002,1,0,1,0,30101000,100
43,10133,单服限时神将-单抽,0,15,20,91000002,300,1,1004,1,1031,0,1044,0,1043,20,10,0,0
44,10134,单服限时神将-单抽,0,15,20,91000002,300,1,1004,1,1031,0,1044,0,1043,20,10,0,0
45,10135,单服限时神将-单抽,0,15,20,91000002,300,1,1004,0,1031,1,1044,0,1043,16,10,0,0
46,10089,单服限时神将-单抽,0,15,20,91000002,300,1,1004,0,1031,0,1044,1,1043,20,10,0,0
47,10090,单服限时神将-单抽,0,15,20,91000002,300,1,1004,0,1031,0,1044,1,1043,20,10,0,0
48,10091,单服限时神将-单抽,0,15,20,91000002,300,1,1004,0,1031,1,1044,0,1043,4,10,0,0
49,10092,单服限时神将-10连抽,0,15,21,91000002,2700,10,1043,1,1031,1,1044,8,0,1,0,0,0
50,10093,单服限时神将-10连抽,0,15,21,91000002,2700,10,1043,1,1031,1,1044,8,0,1,0,0,0
51,10094,单服限时神将-10连抽,0,15,21,91000002,2700,10,1043,1,1031,0,1044,9,0,1,0,0,0
52,10095,单服限时神将-10连抽,0,15,21,91000002,2700,10,1043,1,1031,0,1044,9,0,1,0,0,0
53,10096,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,1,1031,0,1044,0,1043,4000,10,0,0
54,10097,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,1,1031,0,1044,0,1043,4000,10,0,0
55,10098,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,0,1031,1,1044,0,1043,3200,10,0,0
56,10099,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,0,1031,0,1044,1,1043,4000,10,0,0
57,10100,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,0,1031,0,1044,1,1043,4000,10,0,0
58,10101,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,0,1031,1,1044,0,1043,800,10,0,0
59,10102,跨服限时神将-单抽-周瑜,0,15,22,91000002,300,1,1004,0,1031,0,1045,1,1043,1,10,0,0
60,10103,跨服限时神将-10连抽-周瑜,0,15,23,91000002,2700,10,1043,1,1031,1,1044,8,0,500,0,0,0
61,10104,跨服限时神将-10连抽-周瑜,0,15,23,91000002,2700,10,1043,1,1031,1,1044,8,0,500,0,0,0
62,10105,跨服限时神将-10连抽-周瑜,0,15,23,91000002,2700,10,1043,1,1031,0,1044,9,0,500,0,0,0
63,10106,跨服限时神将-10连抽-周瑜,0,15,23,91000002,2700,10,1043,1,1031,0,1044,9,0,500,0,0,0
64,10107,跨服限时神将-10连抽-周瑜,0,15,23,91000002,2700,10,1045,1,1031,0,1044,9,0,1,0,0,0
65,10108,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,1,1031,0,1044,0,1047,4000,10,0,0
66,10109,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,1,1031,0,1044,0,1047,4000,10,0,0
67,10110,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,0,1031,1,1044,0,1047,3200,10,0,0
68,10111,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,0,1031,0,1044,1,1047,4000,10,0,0
69,10112,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,0,1031,0,1044,1,1047,4000,10,0,0
70,10113,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,0,1031,1,1044,0,1047,800,10,0,0
71,10114,跨服限时神将-单抽-甘宁,0,15,24,91000002,300,1,1004,0,1031,0,1046,1,1047,1,10,0,0
72,10115,跨服限时神将-10连抽-甘宁,0,15,25,91000002,2700,10,1047,1,1031,1,1044,8,0,500,0,0,0
73,10116,跨服限时神将-10连抽-甘宁,0,15,25,91000002,2700,10,1047,1,1031,1,1044,8,0,500,0,0,0
74,10117,跨服限时神将-10连抽-甘宁,0,15,25,91000002,2700,10,1047,1,1031,0,1044,9,0,500,0,0,0
75,10118,跨服限时神将-10连抽-甘宁,0,15,25,91000002,2700,10,1047,1,1031,0,1044,9,0,500,0,0,0
76,10119,跨服限时神将-10连抽-甘宁,0,15,25,91000002,2700,10,1046,1,1031,0,1044,9,0,1,0,0,0
77,10120,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,1,1031,0,1044,0,1049,4000,10,0,0
78,10121,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,1,1031,0,1044,0,1049,4000,10,0,0
79,10122,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,0,1031,1,1044,0,1049,3200,10,0,0
80,10123,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,0,1031,0,1044,1,1049,4000,10,0,0
81,10124,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,0,1031,0,1044,1,1049,4000,10,0,0
82,10125,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,0,1031,1,1044,0,1049,800,10,0,0
83,10126,跨服限时神将-单抽-邓艾,0,15,26,91000002,300,1,1004,0,1031,0,1048,1,1049,1,10,0,0
84,10127,跨服限时神将-10连抽-邓艾,0,15,27,91000002,2700,10,1049,1,1031,1,1044,8,0,500,0,0,0
85,10128,跨服限时神将-10连抽-邓艾,0,15,27,91000002,2700,10,1049,1,1031,1,1044,8,0,500,0,0,0
86,10129,跨服限时神将-10连抽-邓艾,0,15,27,91000002,2700,10,1049,1,1031,0,1044,9,0,500,0,0,0
87,10130,跨服限时神将-10连抽-邓艾,0,15,27,91000002,2700,10,1049,1,1031,0,1044,9,0,500,0,0,0
88,10131,跨服限时神将-10连抽-邓艾,0,15,27,91000002,2700,10,1048,1,1031,0,1044,9,0,1,0,0,0
89,10027,比武-单抽-小R-先锋,0,3,6,91000007,300,6,1008,1,1011,1,1032,4,1005,1,120,0,0
90,10028,比武-单抽-小R-先锋,0,3,6,91000007,300,6,1008,1,1011,1,1032,4,1005,1,120,0,0
91,10029,比武-单抽-中R-先锋,4,9,6,91000007,300,6,1008,1,1011,0,1032,5,1005,1,120,0,0
92,10030,比武-单抽-中R-先锋,4,9,6,91000007,300,6,1008,1,1011,0,1032,5,1005,1,120,0,0
93,10031,比武-单抽-大R-先锋,10,15,6,91000007,300,6,1008,0,1011,0,1032,6,1005,1,120,0,0
94,10032,比武-单抽-大R-先锋,10,15,6,91000007,300,6,1008,0,1011,0,1032,6,1005,1,120,0,0
95,10033,比武-单抽-小R-后援,0,3,7,91000007,300,6,1009,1,1012,1,1032,4,1007,1,120,0,0
96,10034,比武-单抽-小R-后援,0,3,7,91000007,300,6,1009,1,1012,1,1032,4,1007,1,120,0,0
97,10035,比武-单抽-中R-后援,4,9,7,91000007,300,6,1009,1,1012,0,1032,5,1007,1,120,0,0
98,10036,比武-单抽-中R-后援,4,9,7,91000007,300,6,1009,1,1012,0,1032,5,1007,1,120,0,0
99,10037,比武-单抽-大R-后援,10,15,7,91000007,300,6,1009,0,1012,0,1032,6,1007,1,120,0,0
100,10038,比武-单抽-大R-后援,10,15,7,91000007,300,6,1009,0,1012,0,1032,6,1007,1,120,0,0
101,10039,比武-单抽-小R-中军,0,3,8,91000007,300,6,1010,1,1013,1,1032,4,1006,1,120,0,0
102,10040,比武-单抽-小R-中军,0,3,8,91000007,300,6,1010,1,1013,1,1032,4,1006,1,120,0,0
103,10041,比武-单抽-中R-中军,4,9,8,91000007,300,6,1010,1,1013,0,1032,5,1006,1,120,0,0
104,10042,比武-单抽-中R-中军,4,9,8,91000007,300,6,1010,1,1013,0,1032,5,1006,1,120,0,0
