id,type,row,rcolor,gcolor,bcolor,instruction,fontsize
1,1,1,288,182,54,美人玩法说明：,24
2,1,2,243,220,180,1.招募美人需要达成相应的条件。,20
3,1,3,243,220,180,2.消耗金币，钻石或珠宝可以提升美人的好感度。,20
4,1,4,243,220,180,3.好感度达标后可进阶好感等级。,20
5,1,5,243,220,180,4.每次培养均会增加一定幸运值，并有一定概率获得多倍暴击。,20
6,1,6,243,220,180,5.幸运值达到100后，下次任意培养必定获得10倍好感度并扣除100幸运值。,20
7,1,7,243,220,180,6.培养美人可提升不同系统的战力。培养越高附加属性越强。,20
8,1,9,243,220,180,7.美人附加属性可叠加，解锁的美人越多，队伍战力越强。,20
9,2,1,288,182,54,属性点说明：,24
10,2,2,243,220,180,1.每种士兵类型对应一种属性点。,20
11,2,3,243,220,180,2.在征战的兵种试炼中可以获得对应的属性点。,20
12,2,4,243,220,180,3.远征的宝箱中能够获得属性点。,20
13,2,5,243,220,180,4.其他活动中也能获得属性点，敬请期待。,20
14,3,1,288,182,54,金币挑战说明：,24
15,3,2,243,220,180,1.每日开放。,20
16,3,3,243,220,180,2.主公等级18级以上可参加。,20
17,3,4,243,220,180,3.每日凌晨5点重置挑战次数。,20
18,3,5,243,220,180,4.掉落物品可以出售获得大量金币。,20
19,4,1,288,182,54,经验挑战说明：,24
20,4,2,243,220,180,1.每日开放。,20
21,4,3,243,220,180,2.主公等级18级以上可参加。,20
22,4,4,243,220,180,3.每日凌晨5点重置挑战次数。,20
23,4,5,243,220,180,4.完成挑战可获得大量经验道具。,20
24,5,1,288,182,54,幻象挑战说明：,24
25,5,2,243,220,180,1.每日开放。,20
26,5,3,243,220,180,2.主公等级36级以上可参加，每日凌晨5点重置挑战次数。,20
27,5,4,243,220,180,3.选择与敌方相同英雄有惊喜。,20
28,5,5,243,220,180,4.完成挑战可获得大量美人培养道具。,20
29,6,1,288,182,54,步兵试炼说明：,24
30,6,2,243,220,180,1.每周一，四，日开放。,20
31,6,3,243,220,180,2.主公等级32级以上可参加。,20
32,6,4,243,220,180,3.每日凌晨5点重置挑战次数。,20
33,6,5,243,220,180,4.完成挑战可获大量步兵属性点，用于提升步兵军阵属性。,20
34,7,1,288,182,54,骑兵试炼说明：,24
35,7,2,243,220,180,1.每周二，六，日开放。,20
36,7,3,243,220,180,2.主公等级32级以上可参加。,20
37,7,4,243,220,180,3.每日凌晨5点重置挑战次数。,20
