id,gourp,level,type,parm1,parm2,parm3,parm4,attribute_type1,value1,attribute_type2,value2,player_level,cost_id,cost_num,complete_time,describe,label
1,42,0,0,0,0,0,0,106,0,99,0,0,91000033,10,60,0,1
2,42,1,0,0,0,0,0,106,100,99,50000,0,91000033,100,600,0,1
3,42,2,0,0,0,0,0,106,150,99,75000,17,91000033,300,1800,0,1
4,42,3,0,0,0,0,0,106,200,99,100000,19,91000033,600,3600,0,1
5,42,4,0,0,0,0,0,106,250,99,125000,21,91000033,900,5400,0,1
6,42,5,0,0,0,0,0,106,300,99,150000,23,91000033,1200,7200,0,1
7,42,6,0,0,0,0,0,106,350,99,175000,25,91000033,1800,10800,0,1
8,42,7,0,0,0,0,0,106,400,99,200000,27,91000033,2400,14400,0,1
9,42,8,0,0,0,0,0,106,450,99,225000,29,91000033,3000,18000,0,1
10,42,9,0,0,0,0,0,106,500,99,250000,31,91000033,3600,21600,0,1
11,42,10,0,0,0,0,0,106,570,99,285000,33,91000033,4800,28800,0,1
12,42,11,0,0,0,0,0,106,620,99,310000,35,91000033,6000,36000,0,1
13,42,12,0,0,0,0,0,106,670,99,335000,37,91000033,7200,43200,0,1
14,42,13,0,0,0,0,0,106,730,99,365000,39,91000033,8400,50400,0,1
15,42,14,0,0,0,0,0,106,790,99,395000,41,91000033,9600,57600,0,1
16,42,15,0,0,0,0,0,106,850,99,425000,43,91000033,11400,68400,0,1
17,42,16,0,0,0,0,0,106,910,99,455000,45,91000033,13200,79200,0,1
18,42,17,0,0,0,0,0,106,970,99,485000,47,91000033,15000,90000,0,1
19,42,18,0,0,0,0,0,106,1040,99,520000,49,91000033,16800,100800,0,1
20,42,19,0,0,0,0,0,106,1110,99,555000,51,91000033,18600,111600,0,1
21,42,20,0,0,0,0,0,106,1180,99,590000,53,91000033,21000,126000,0,1
22,42,21,0,0,0,0,0,106,1250,99,625000,55,91000033,23400,140400,0,1
23,42,22,0,0,0,0,0,106,1330,99,665000,57,91000033,25800,154800,0,1
24,42,23,0,0,0,0,0,106,1400,99,700000,59,91000033,28200,169200,0,1
25,42,24,0,0,0,0,0,106,1480,99,740000,61,91000033,30600,183600,0,1
26,42,25,0,0,0,0,0,106,1570,99,785000,63,91000033,33000,198000,0,1
27,42,26,0,0,0,0,0,106,1650,99,825000,65,91000033,35400,212400,0,1
28,42,27,0,0,0,0,0,106,1730,99,865000,67,91000033,37800,226800,0,1
29,42,28,0,0,0,0,0,106,1820,99,910000,69,91000033,40200,241200,0,1
30,42,29,0,0,0,0,0,106,1910,99,955000,71,91000033,42600,255600,0,1
31,42,30,0,0,0,0,0,106,2000,99,1000000,73,91000033,0,0,0,1
32,51,0,0,0,0,0,0,107,0,99,0,0,91000033,10,60,0,1
33,51,1,0,0,0,0,0,107,100,99,50000,0,91000033,100,600,0,1
34,51,2,0,0,0,0,0,107,150,99,75000,17,91000033,300,1800,0,1
35,51,3,0,0,0,0,0,107,200,99,100000,19,91000033,600,3600,0,1
36,51,4,0,0,0,0,0,107,250,99,125000,21,91000033,900,5400,0,1
37,51,5,0,0,0,0,0,107,300,99,150000,23,91000033,1200,7200,0,1
38,51,6,0,0,0,0,0,107,350,99,175000,25,91000033,1800,10800,0,1
39,51,7,0,0,0,0,0,107,400,99,200000,27,91000033,2400,14400,0,1
40,51,8,0,0,0,0,0,107,450,99,225000,29,91000033,3000,18000,0,1
41,51,9,0,0,0,0,0,107,500,99,250000,31,91000033,3600,21600,0,1
42,51,10,0,0,0,0,0,107,570,99,285000,33,91000033,4800,28800,0,1
43,51,11,0,0,0,0,0,107,620,99,310000,35,91000033,6000,36000,0,1
44,51,12,0,0,0,0,0,107,670,99,335000,37,91000033,7200,43200,0,1
45,51,13,0,0,0,0,0,107,730,99,365000,39,91000033,8400,50400,0,1
46,51,14,0,0,0,0,0,107,790,99,395000,41,91000033,9600,57600,0,1
47,51,15,0,0,0,0,0,107,850,99,425000,43,91000033,11400,68400,0,1
48,51,16,0,0,0,0,0,107,910,99,455000,45,91000033,13200,79200,0,1
49,51,17,0,0,0,0,0,107,970,99,485000,47,91000033,15000,90000,0,1
50,51,18,0,0,0,0,0,107,1040,99,520000,49,91000033,16800,100800,0,1
