id,sort,step,activity,item1,item2,item3,item4,item5,item6,item7,item8,item9,item10,item11,item12,item13,item14,item15
1,2,1,每日福利,12300201,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,累计充值,60000200,60000214,0,0,0,0,0,0,0,0,0,0,0,0,0
3,2,3,每日目标,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4,2,4,半价抢购,60000246,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,2,5,商会返利,20000101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,3,1,每日福利,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,3,2,累计充值,91000001,60000222,0,0,0,0,0,0,0,0,0,0,0,0,0
8,3,3,每日目标,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,3,4,半价抢购,60000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,3,5,商会返利,60000224,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,4,1,每日福利,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,4,2,累计充值,91000035,60000214,0,0,0,0,0,0,0,0,0,0,0,0,0
13,4,3,每日目标,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,4,4,半价抢购,10101006,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,4,5,商会返利,60000214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,5,1,每日福利,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,5,2,累计充值,91000031,60000224,0,0,0,0,0,0,0,0,0,0,0,0,0
18,5,3,每日目标,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,5,4,半价抢购,91000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,5,5,商会返利,91000031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,6,1,每日福利,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,6,2,累计充值,15100101,91000001,0,0,0,0,0,0,0,0,0,0,0,0,0
23,6,3,每日目标,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,6,4,半价抢购,15100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6,5,商会返利,15100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,7,1,每日福利,12200101,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0
27,7,2,累计充值,15100101,91000027,0,0,0,0,0,0,0,0,0,0,0,0,0
28,7,3,每日目标,91000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,7,4,半价抢购,15100101,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,7,5,商会返利,91000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0
