id,type,grid,itemid,itemname,itemnumber,weightfunction,currency,cost_item1,cost_num1,teamlvmax,guild_limit,prestige_limit,item_id,recommend,discount
1,1,1,30101000,星魂,5,1,1,91000032,75,0,0,0,91000032,0,0
2,1,2,30101001,地元素粉尘,5,2,1,91000032,75,0,0,0,91000032,0,0
3,1,2,30101002,地元素粉尘+1,5,2,1,91000032,100,0,0,0,91000032,0,0
4,1,2,30101003,地元素粉尘+2,5,2,1,91000032,125,0,0,0,91000032,0,0
5,1,2,30101004,地元素碎片,5,2,1,91000032,150,0,0,0,91000032,0,0
6,1,2,30101005,地元素碎片+1,5,2,1,91000032,175,0,0,0,91000032,0,0
7,1,2,30101006,地元素碎片+2,5,1,1,91000032,200,0,0,0,91000032,0,0
8,1,2,30101007,地元素碎块,5,1,1,91000032,225,0,0,0,91000032,0,0
9,1,2,30101008,地元素碎块+1,5,1,1,91000032,250,0,0,0,91000032,0,0
10,1,2,30101009,地元素碎块+2,5,1,1,91000032,275,0,0,0,91000032,0,0
11,1,2,30101010,地元素晶体,5,1,1,91000032,300,0,0,0,91000032,0,0
12,1,2,30102001,水元素粉尘,5,2,1,91000032,75,0,0,0,91000032,0,0
13,1,2,30102002,水元素粉尘+1,5,2,1,91000032,100,0,0,0,91000032,0,0
14,1,2,30102003,水元素粉尘+2,5,2,1,91000032,125,0,0,0,91000032,0,0
15,1,2,30102004,水元素碎片,5,2,1,91000032,150,0,0,0,91000032,0,0
16,1,2,30102005,水元素碎片+1,5,2,1,91000032,175,0,0,0,91000032,0,0
17,1,2,30102006,水元素碎片+2,5,1,1,91000032,200,0,0,0,91000032,0,0
18,1,2,30102007,水元素碎块,5,1,1,91000032,225,0,0,0,91000032,0,0
19,1,2,30102008,水元素碎块+1,5,1,1,91000032,250,0,0,0,91000032,0,0
20,1,2,30102009,水元素碎块+2,5,1,1,91000032,275,0,0,0,91000032,0,0
21,1,2,30102010,水元素晶体,5,1,1,91000032,300,0,0,0,91000032,0,0
22,1,2,30103001,火元素粉尘,5,2,1,91000032,75,0,0,0,91000032,0,0
23,1,2,30103002,火元素粉尘+1,5,2,1,91000032,100,0,0,0,91000032,0,0
24,1,2,30103003,火元素粉尘+2,5,2,1,91000032,125,0,0,0,91000032,0,0
25,1,2,30103004,火元素碎片,5,2,1,91000032,150,0,0,0,91000032,0,0
26,1,2,30103005,火元素碎片+1,5,2,1,91000032,175,0,0,0,91000032,0,0
27,1,2,30103006,火元素碎片+2,5,1,1,91000032,200,0,0,0,91000032,0,0
28,1,2,30103007,火元素碎块,5,1,1,91000032,225,0,0,0,91000032,0,0
29,1,2,30103008,火元素碎块+1,5,1,1,91000032,250,0,0,0,91000032,0,0
30,1,2,30103009,火元素碎块+2,5,1,1,91000032,275,0,0,0,91000032,0,0
31,1,2,30103010,火元素晶体,5,1,1,91000032,300,0,0,0,91000032,0,0
32,1,2,30104001,风元素粉尘,5,2,1,91000032,75,0,0,0,91000032,0,0
33,1,2,30104002,风元素粉尘+1,5,2,1,91000032,100,0,0,0,91000032,0,0
34,1,2,30104003,风元素粉尘+2,5,2,1,91000032,125,0,0,0,91000032,0,0
35,1,2,30104004,风元素碎片,5,2,1,91000032,150,0,0,0,91000032,0,0
36,1,2,30104005,风元素碎片+1,5,2,1,91000032,175,0,0,0,91000032,0,0
37,1,2,30104006,风元素碎片+2,5,1,1,91000032,200,0,0,0,91000032,0,0
38,1,2,30104007,风元素碎块,5,1,1,91000032,225,0,0,0,91000032,0,0
39,1,2,30104008,风元素碎块+1,5,1,1,91000032,250,0,0,0,91000032,0,0
40,1,2,30104009,风元素碎块+2,5,1,1,91000032,275,0,0,0,91000032,0,0
41,1,2,30104010,风元素晶体,5,1,1,91000032,300,0,0,0,91000032,0,0
42,1,2,30105001,光元素粉尘,5,2,1,91000032,75,0,0,0,91000032,0,0
43,1,2,30105002,光元素粉尘+1,5,2,1,91000032,100,0,0,0,91000032,0,0
44,1,2,30105003,光元素粉尘+2,5,2,1,91000032,125,0,0,0,91000032,0,0
45,1,2,30105004,光元素碎片,5,2,1,91000032,150,0,0,0,91000032,0,0
46,1,2,30105005,光元素碎片+1,5,2,1,91000032,175,0,0,0,91000032,0,0
47,1,2,30105006,光元素碎片+2,5,1,1,91000032,200,0,0,0,91000032,0,0
48,1,2,30105007,光元素碎块,5,1,1,91000032,225,0,0,0,91000032,0,0
49,1,2,30105008,光元素碎块+1,5,1,1,91000032,250,0,0,0,91000032,0,0
50,1,2,30105009,光元素碎块+2,5,1,1,91000032,275,0,0,0,91000032,0,0
