id,month,sign,reward,number,vip,reset
1,1,1,91000001,10000,1,1
2,1,2,91000002,30,2,0
3,1,3,60000212,1,2,0
4,1,4,30101000,10,3,0
5,1,5,91000033,150,3,0
6,1,6,91000032,150,4,0
7,1,7,60000224,1,4,0
8,1,8,91000001,20000,5,0
9,1,9,91000002,60,6,0
10,1,10,60000212,2,6,0
11,1,11,30101000,20,7,0
12,1,12,91000033,300,7,0
13,1,13,91000032,300,8,0
14,1,14,60000224,2,8,0
15,1,15,91000001,30000,9,0
16,1,16,91000002,90,10,0
17,1,17,60000212,3,10,0
18,1,18,30101000,30,11,0
19,1,19,91000033,450,11,0
20,1,20,91000032,450,12,0
21,1,21,60000224,3,12,0
22,1,22,91000001,40000,13,0
23,1,23,91000002,120,14,0
24,1,24,60000212,4,14,0
25,1,25,30101000,40,15,0
26,1,26,91000033,600,15,0
27,1,27,91000032,600,15,0
28,1,28,60000224,4,15,0
29,1,29,91000001,50000,15,0
30,1,30,91000002,150,15,0
31,1,31,60000212,5,15,0
32,2,1,91000001,10000,1,1
33,2,2,91000002,30,2,0
34,2,3,60000212,1,2,0
35,2,4,30101000,10,3,0
36,2,5,91000033,150,3,0
37,2,6,91000032,150,4,0
38,2,7,60000224,1,4,0
39,2,8,91000001,20000,5,0
40,2,9,91000002,60,6,0
41,2,10,60000212,2,6,0
42,2,11,30101000,20,7,0
43,2,12,91000033,300,7,0
44,2,13,91000032,300,8,0
45,2,14,60000224,2,8,0
46,2,15,91000001,30000,9,0
47,2,16,91000002,90,10,0
48,2,17,60000212,3,10,0
49,2,18,30101000,30,11,0
50,2,19,91000033,450,11,0
51,2,20,91000032,450,12,0
52,2,21,60000224,3,12,0
53,2,22,91000001,40000,13,0
54,2,23,91000002,120,14,0
55,2,24,60000212,4,14,0
56,2,25,30101000,40,15,0
57,2,26,91000033,600,15,0
58,2,27,91000032,600,15,0
59,2,28,60000224,4,15,0
60,3,1,91000001,10000,1,1
61,3,2,91000002,30,2,0
62,3,3,60000212,1,2,0
63,3,4,30101000,10,3,0
64,3,5,91000033,150,3,0
65,3,6,91000032,150,4,0
66,3,7,60000224,1,4,0
67,3,8,91000001,20000,5,0
68,3,9,91000002,60,6,0
69,3,10,60000212,2,6,0
70,3,11,30101000,20,7,0
71,3,12,91000033,300,7,0
72,3,13,91000032,300,8,0
73,3,14,60000224,2,8,0
74,3,15,91000001,30000,9,0
75,3,16,91000002,90,10,0
76,3,17,60000212,3,10,0
77,3,18,30101000,30,11,0
78,3,19,91000033,450,11,0
79,3,20,91000032,450,12,0
80,3,21,60000224,3,12,0
81,3,22,91000001,40000,13,0
82,3,23,91000002,120,14,0
83,3,24,60000212,4,14,0
84,3,25,30101000,40,15,0
85,3,26,91000033,600,15,0
86,3,27,91000032,600,15,0
87,3,28,60000224,4,15,0
88,3,29,91000001,50000,15,0
89,3,30,91000002,150,15,0
90,3,31,60000212,5,15,0
91,4,1,91000001,10000,1,1
92,4,2,91000002,30,2,0
93,4,3,60000212,1,2,0
94,4,4,30101000,10,3,0
95,4,5,91000033,150,3,0
96,4,6,91000032,150,4,0
97,4,7,60000224,1,4,0
98,4,8,91000001,20000,5,0
99,4,9,91000002,60,6,0
100,4,10,60000212,2,6,0
101,4,11,30101000,20,7,0
102,4,12,91000033,300,7,0
103,4,13,91000032,300,8,0
104,4,14,60000224,2,8,0
105,4,15,91000001,30000,9,0
106,4,16,91000002,90,10,0
107,4,17,60000212,3,10,0
108,4,18,30101000,30,11,0
109,4,19,91000033,450,11,0
110,4,20,91000032,450,12,0
111,4,21,60000224,3,12,0
112,4,22,91000001,40000,13,0
113,4,23,91000002,120,14,0
114,4,24,60000212,4,14,0
115,4,25,30101000,40,15,0
116,4,26,91000033,600,15,0
117,4,27,91000032,600,15,0
118,4,28,60000224,4,15,0
119,4,29,91000001,50000,15,0
120,4,30,91000002,150,15,0
121,5,1,91000001,10000,1,1
122,5,2,91000002,30,2,0
123,5,3,60000212,1,2,0
124,5,4,30101000,10,3,0
125,5,5,91000033,150,3,0
126,5,6,91000032,150,4,0
127,5,7,60000224,1,4,0
128,5,8,91000001,20000,5,0
129,5,9,91000002,60,6,0
130,5,10,60000212,2,6,0
131,5,11,30101000,20,7,0
132,5,12,91000033,300,7,0
133,5,13,91000032,300,8,0
134,5,14,60000224,2,8,0
135,5,15,91000001,30000,9,0
136,5,16,91000002,90,10,0
137,5,17,60000212,3,10,0
138,5,18,30101000,30,11,0
139,5,19,91000033,450,11,0
140,5,20,91000032,450,12,0
141,5,21,60000224,3,12,0
142,5,22,91000001,40000,13,0
143,5,23,91000002,120,14,0
144,5,24,60000212,4,14,0
145,5,25,30101000,40,15,0
146,5,26,91000033,600,15,0
147,5,27,91000032,600,15,0
148,5,28,60000224,4,15,0
149,5,29,91000001,50000,15,0
150,5,30,91000002,150,15,0
151,5,31,60000212,5,15,0
152,6,1,91000001,10000,1,1
153,6,2,91000002,30,2,0
154,6,3,60000212,1,2,0
155,6,4,30101000,10,3,0
156,6,5,91000033,150,3,0
157,6,6,91000032,150,4,0
158,6,7,60000224,1,4,0
159,6,8,91000001,20000,5,0
160,6,9,91000002,60,6,0
161,6,10,60000212,2,6,0
162,6,11,30101000,20,7,0
163,6,12,91000033,300,7,0
164,6,13,91000032,300,8,0
165,6,14,60000224,2,8,0
166,6,15,91000001,30000,9,0
167,6,16,91000002,90,10,0
168,6,17,60000212,3,10,0
169,6,18,30101000,30,11,0
170,6,19,91000033,450,11,0
171,6,20,91000032,450,12,0
172,6,21,60000224,3,12,0
173,6,22,91000001,40000,13,0
174,6,23,91000002,120,14,0
175,6,24,60000212,4,14,0
176,6,25,30101000,40,15,0
177,6,26,91000033,600,15,0
178,6,27,91000032,600,15,0
179,6,28,60000224,4,15,0
180,6,29,91000001,50000,15,0
181,6,30,91000002,150,15,0
182,7,1,91000001,10000,1,1
183,7,2,91000002,30,2,0
184,7,3,60000212,1,2,0
185,7,4,30101000,10,3,0
186,7,5,91000033,150,3,0
187,7,6,91000032,150,4,0
188,7,7,60000224,1,4,0
189,7,8,91000001,20000,5,0
190,7,9,91000002,60,6,0
191,7,10,60000212,2,6,0
192,7,11,30101000,20,7,0
193,7,12,91000033,300,7,0
194,7,13,91000032,300,8,0
195,7,14,60000224,2,8,0
196,7,15,91000001,30000,9,0
197,7,16,91000002,90,10,0
198,7,17,60000212,3,10,0
199,7,18,30101000,30,11,0
200,7,19,91000033,450,11,0
201,7,20,91000032,450,12,0
202,7,21,60000224,3,12,0
203,7,22,91000001,40000,13,0
204,7,23,91000002,120,14,0
205,7,24,60000212,4,14,0
206,7,25,30101000,40,15,0
207,7,26,91000033,600,15,0
208,7,27,91000032,600,15,0
209,7,28,60000224,4,15,0
210,7,29,91000001,50000,15,0
211,7,30,91000002,150,15,0
212,7,31,60000212,5,15,0
213,8,1,91000001,10000,1,1
214,8,2,91000002,30,2,0
215,8,3,60000212,1,2,0
216,8,4,30101000,10,3,0
217,8,5,91000033,150,3,0
218,8,6,91000032,150,4,0
219,8,7,60000224,1,4,0
220,8,8,91000001,20000,5,0
221,8,9,91000002,60,6,0
222,8,10,60000212,2,6,0
223,8,11,30101000,20,7,0
224,8,12,91000033,300,7,0
225,8,13,91000032,300,8,0
226,8,14,60000224,2,8,0
227,8,15,91000001,30000,9,0
228,8,16,91000002,90,10,0
229,8,17,60000212,3,10,0
230,8,18,30101000,30,11,0
231,8,19,91000033,450,11,0
232,8,20,91000032,450,12,0
233,8,21,60000224,3,12,0
234,8,22,91000001,40000,13,0
235,8,23,91000002,120,14,0
236,8,24,60000212,4,14,0
237,8,25,30101000,40,15,0
238,8,26,91000033,600,15,0
239,8,27,91000032,600,15,0
240,8,28,60000224,4,15,0
241,8,29,91000001,50000,15,0
242,8,30,91000002,150,15,0
243,8,31,60000212,5,15,0
244,9,1,91000001,10000,1,1
245,9,2,91000002,30,2,0
246,9,3,60000212,1,2,0
247,9,4,30101000,10,3,0
248,9,5,91000033,150,3,0
249,9,6,91000032,150,4,0
250,9,7,60000224,1,4,0
251,9,8,91000001,20000,5,0
252,9,9,91000002,60,6,0
253,9,10,60000212,2,6,0
254,9,11,30101000,20,7,0
255,9,12,91000033,300,7,0
256,9,13,91000032,300,8,0
257,9,14,60000224,2,8,0
258,9,15,91000001,30000,9,0
259,9,16,91000002,90,10,0
260,9,17,60000212,3,10,0
261,9,18,30101000,30,11,0
262,9,19,91000033,450,11,0
263,9,20,91000032,450,12,0
264,9,21,60000224,3,12,0
265,9,22,91000001,40000,13,0
266,9,23,91000002,120,14,0
267,9,24,60000212,4,14,0
268,9,25,30101000,40,15,0
269,9,26,91000033,600,15,0
270,9,27,91000032,600,15,0
271,9,28,60000224,4,15,0
272,9,29,91000001,50000,15,0
273,9,30,91000002,150,15,0
274,10,1,91000001,10000,1,1
275,10,2,91000002,30,2,0
276,10,3,60000212,1,2,0
277,10,4,30101000,10,3,0
278,10,5,91000033,150,3,0
279,10,6,91000032,150,4,0
280,10,7,60000224,1,4,0
281,10,8,91000001,20000,5,0
282,10,9,91000002,60,6,0
283,10,10,60000212,2,6,0
284,10,11,30101000,20,7,0
285,10,12,91000033,300,7,0
286,10,13,91000032,300,8,0
287,10,14,60000224,2,8,0
288,10,15,91000001,30000,9,0
289,10,16,91000002,90,10,0
290,10,17,60000212,3,10,0
291,10,18,30101000,30,11,0
292,10,19,91000033,450,11,0
293,10,20,91000032,450,12,0
294,10,21,60000224,3,12,0
295,10,22,91000001,40000,13,0
296,10,23,91000002,120,14,0
297,10,24,60000212,4,14,0
298,10,25,30101000,40,15,0
299,10,26,91000033,600,15,0
300,10,27,91000032,600,15,0
301,10,28,60000224,4,15,0
302,10,29,91000001,50000,15,0
303,10,30,91000002,150,15,0
304,10,31,60000212,5,15,0
305,11,1,91000001,10000,1,1
306,11,2,91000002,30,2,0
307,11,3,60000212,1,2,0
308,11,4,30101000,10,3,0
309,11,5,91000033,150,3,0
310,11,6,91000032,150,4,0
311,11,7,60000224,1,4,0
312,11,8,91000001,20000,5,0
313,11,9,91000002,60,6,0
314,11,10,60000212,2,6,0
315,11,11,30101000,20,7,0
316,11,12,91000033,300,7,0
317,11,13,91000032,300,8,0
318,11,14,60000224,2,8,0
319,11,15,91000001,30000,9,0
320,11,16,91000002,90,10,0
321,11,17,60000212,3,10,0
322,11,18,30101000,30,11,0
323,11,19,91000033,450,11,0
324,11,20,91000032,450,12,0
325,11,21,60000224,3,12,0
326,11,22,91000001,40000,13,0
327,11,23,91000002,120,14,0
328,11,24,60000212,4,14,0
329,11,25,30101000,40,15,0
330,11,26,91000033,600,15,0
331,11,27,91000032,600,15,0
332,11,28,60000224,4,15,0
333,11,29,91000001,50000,15,0
334,11,30,91000002,150,15,0
335,12,1,91000001,10000,1,1
336,12,2,91000002,30,2,0
337,12,3,60000212,1,2,0
338,12,4,30101000,10,3,0
339,12,5,91000033,150,3,0
340,12,6,91000032,150,4,0
341,12,7,60000224,1,4,0
342,12,8,91000001,20000,5,0
343,12,9,91000002,60,6,0
344,12,10,60000212,2,6,0
345,12,11,30101000,20,7,0
346,12,12,91000033,300,7,0
347,12,13,91000032,300,8,0
348,12,14,60000224,2,8,0
349,12,15,91000001,30000,9,0
350,12,16,91000002,90,10,0
351,12,17,60000212,3,10,0
352,12,18,30101000,30,11,0
353,12,19,91000033,450,11,0
354,12,20,91000032,450,12,0
355,12,21,60000224,3,12,0
356,12,22,91000001,40000,13,0
357,12,23,91000002,120,14,0
358,12,24,60000212,4,14,0
359,12,25,30101000,40,15,0
360,12,26,91000033,600,15,0
361,12,27,91000032,600,15,0
362,12,28,60000224,4,15,0
363,12,29,91000001,50000,15,0
364,12,30,91000002,150,15,0
365,12,31,60000212,5,15,0
