skillid,heroname,staropen,learnlv,maxlv,skillname,type,skilldescription,skillvaluetype1,skillcount1,skilladdvalue1,skillvaluetype2,skillcount2,skilladdvalue2,skillvaluetype3,skillcount3,skilladdvalue3,skillvaluetype4,skillcount4,skilladdvalue4,skilltype,attackbefore,attackafter,skillrange,skillscope,skillscope2,skillobject,skillenergy,bufftype1,buffpro1,buffproadd1,bufftype2,buffpro2,buffproadd2,bufftype3,buffpro3,buffproadd3,luaname,skillicon,cd,blacktime,lighteffect,storageeffect,storageturn,tipsdescription,lvupword,tips1,lvup1,tips2,lvup2,fightingnum,awaken1,awakennum1,awaken2,awakennum2,arenaeffect,qualityopen,skillformation,skillimmune,skilltarget,targetnum,skillmode,skillenergy1,skillmax,skillapplication,skillatkpattern,sound,showpanel
100100,关羽,9,0,0,普通攻击,步兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,200,0,0,1,100,0,0,0,0,0,0,0,0,0,a100100,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100101,关羽,9,1,0,拖刀,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p100101,100101,0,0,0,0,0,无,近战攻击+%.2f,10,2,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100102,关羽,9,1,0,武圣,被动触发技能,无,0,0,0,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,p100102,100102,0,0,0,0,0,无,伤害提高%.2f％\n额外伤害+%.2f,100,20,0,0,6,42100104,3,81400201,40,0,1,0,1,0,0,1,100,80,0,1,0,0
100103,关羽,2,1,0,降龙斩,近战技能,龙威斩有几率造成3倍的伤害,0,500,500,0,0,0,0,0,0,0,0,0,3,300,500,0,200,0,1,0,0,0,0,0,0,0,0,0,0,a100103,100103,0,0,0,0,0,龙威斩有%.0f％几率造成3倍伤害,伤害提高%.2f％\n额外伤害+%.2f,5,5,0,0,6,42100104,2,81400201,20,0,1,0,1,0,0,1,100,80,0,1,0,0
100104,关羽,1,1,0,龙威斩,近战技能,"斩杀当前敌人,如果将目标击杀,则降低周围敌方攻速和移速",1001,10000,1500,0,0,0,0,0,0,0,0,0,3,1000,350,500,0,0,1,0,11014,10000,0,0,0,0,0,0,0,a100104,100104,0,0,0,3333,0,"对当前敌人造成%.0f％近战伤害,如果此次攻击将目标击杀,则降低周围敌方目标攻速，移速100％,持续6秒",伤害提高%.2f％\n额外伤害+%.2f,200,15,0,0,6,0,0,0,0,0,1,1,1,0,0,2,100,80,0,1,Skills_Hero/guanyu_skill,6
100105,关羽,9,1,0,伤害增加,被动天赋技能,伤害加深+5%,31,500,500,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100202,0,0,0,0,0,伤害加深+%.2f％,伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100106,关羽,9,1,0,免伤增加,被动天赋加成,伤害减免+5%,25,500,500,0,0,0,0,0,0,0,0,0,1,0,800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100201,0,0,0,0,0,伤害减免+%.2f％,减少受到的伤害+%.2f％,5,5,0,0,6,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100107,关羽,1,1,0,灭世武神,近战技能,无,0,0,0,0,0,0,0,0,0,0,0,0,3,1000,350,500,0,0,1,0,0,0,0,0,0,0,0,0,0,a100104,100104,0,0,0,3333,0,无,伤害提高%.2f％\n额外伤害+%.2f,200,15,0,0,6,0,0,0,0,0,1,1,1,0,0,2,100,80,0,1,0,0
100200,张飞,9,0,0,普通攻击,步兵,无,1001,-5000,0,0,0,0,0,0,0,0,0,0,0,300,500,200,0,0,1,100,0,0,0,0,0,0,0,0,0,a100200,1,0,0,0,0,0,无,无,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,2,100,0,0,1,0,0
100201,张飞,9,1,0,草珊瑚,被动天赋加成,无,0,0,0,0,0,0,0,0,0,0,0,0,1,300,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,a100201,100201,0,0,0,0,0,无,暴击+%.2f,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,100,80,0,1,0,0
100202,张飞,9,1,0,西瓜霜,被动触发技能,无,0,1000,0,0,0,0,0,0,0,0,0,0,2,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,p100202,100202,0,0,0,0,0,无,伤害提高%.2f％\n额外伤害+%.2f,10,1,0,0,6,42100204,3,81400201,40,0,1,0,1,0,0,1,100,80,0,1,0,0
100203,张飞,2,1,0,刺耳怒吼,近战技能,张飞每次怒吼都可以回复兵力,0,0,0,0,0,0,0,0,0,0,0,0,3,300,500,0,0,0,1,0,0,0,0,0,0,0,0,0,0,a100203,100203,0,0,0,0,0,张飞每次怒吼都能回复%.0f％最大兵力,伤害提高%.2f％\n额外伤害+%.2f,3,1,0,0,6,42100204,2,81400201,20,0,1,0,1,0,0,2,100,80,0,1,0,0
