storyid,heroid,heroname,say,next,skip,position,camp,storytype,passid,passpos,endani,jump,soundtime,sound,Line_speed,back_picture,pre_sound_sound,pre_sound_time,gameid,isdoani
170101,902,0,,170102,170102,1,0,6,0,0,0,0,100,VO_Guid/kaishi_pangbai_1,1,0,0,0,0,0
170102,903,0,,-1,170102,2,0,6,0,0,0,0,125,VO_Guid/kaishi_pangbai_2,1,0,0,0,0,0
1001,0,0,连线小游戏1,-1,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1001,0
1002,0,0,连线小游戏2,-1,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1002,0
1003,0,0,连线小游戏3,-1,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1003,0
1004,0,0,连线小游戏4,-1,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1004,0
1005,0,0,连线小游戏5,-1,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1005,0
1006,0,0,连线小游戏6,-1,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1006,0
1415,1000,####,这里面已经什么都没有了。,-1,0,1,1,10,0,0,0,0,120,0,1,0,0,0,0,0
1465,1000,####,别浪费时间，我们还要继续赶路。,-1,0,1,1,10,0,0,0,0,120,0,1,0,0,0,0,0
1010001,1010,塞拉,领主大人，[1]丧钟军团[0]已经攻破了我们的城堡。,1010002,0,2,1,10,0,0,0,0,120,VO_Story/C1_start_1_1_saila,1,20024,0,0,0,0
1010002,1000,####,我以海拉尔家族的名誉起誓，绝不会让[1]泰拉神器[0]落入[1]丧钟军团[0]的手中！,1010003,0,1,1,10,0,0,0,0,120,VO_Story/C1_start_1_2,1,20024,0,0,0,0
1010003,1010,塞拉,东面的港口似乎还未被攻陷，我们可以从那里乘船前往[1]赫利海姆[0]。,1010004,0,2,1,10,0,0,0,0,120,VO_Story/C1_start_1_3_saila,1,20024,0,0,0,0
1010004,1000,####,保护好神器，必须将[1]丧钟军团[0]入侵的消息通知其他城邦。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_start_1_4,1,20024,0,0,0,0
1010101,3004,埃西尔,你好啊，英勇的骑士，能帮我一个小忙吗？,1010102,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_1_1_aixier,1,20026,0,0,0,0
1010102,1000,####,你是？,1010103,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_1_2,1,20026,0,0,0,0
1010103,3004,埃西尔,我是[1]弧光城[0]的法师[1]埃西尔[0]。,1010104,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_1_3_aixier,1,20026,0,0,0,0
1010104,3004,埃西尔,刚才我和朋友们遭到了兽人佣兵的偷袭，然后我们就走散了。,1010105,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_1_4_aixier,1,20026,0,0,0,0
1010105,1000,####,兽人佣兵？看来去往港口的路并不太平。,1010106,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_1_5,1,20026,0,0,0,0
1010106,3004,埃西尔,我想只要我们联手，那些愚蠢的兽人就不足为惧。,1010107,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_1_6_aixier,1,20026,0,0,0,0
1010107,3004,埃西尔,你能帮我找到[1]塔里克[0]和[1]妮妮[0]吗？,1010108,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_1_7_aixier,1,20026,0,0,0,0
1010108,1000,####,当然可以，我的队伍现在正是需要战力的时候。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_1_8,1,20026,0,0,0,0
1010201,3006,兽人佣兵,哈哈哈！没想到这么容易就把[1]奥尔加[0]老大要的骑士给抓到了。,1010202,0,2,2,10,0,0,0,0,120,VO_Story/C1_g1_2_1_shourenyongbing,1,20016,0,0,0,0
1010202,3006,兽人佣兵,我们领赏去！,1010203,0,2,2,10,0,0,0,0,120,VO_Story/C1_g1_2_2_shourenyongbing,1,20016,0,0,0,0
1010203,3004,埃西尔,[1]塔里克[0]被那群兽人抓住了，得想办法救他出来。,1010204,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_2_3_aixier,1,20016,0,0,0,0
1010204,1000,####,喂，你们抓错人了。,1010205,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_2_4,1,20016,0,0,0,0
1010205,3006,兽人佣兵,怎么抓住了一个又来一个，老大要的到底是哪一个？,1010206,0,2,2,10,0,0,0,0,120,VO_Story/C1_g1_2_5_shourenyongbing,1,20016,0,0,0,0
1010206,3006,兽人佣兵,干脆一起抓回去！,1010207,0,2,2,10,0,0,0,0,120,VO_Story/C1_g1_2_6_shourenyongbing,1,20016,0,0,0,0
1010207,1000,####,你想都别想！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_2_7,1,20016,0,0,0,0
1010301,1000,####,小心，敌人的数量是我们的三倍。,1010302,0,1,1,9,110101,100,0,0,120,VO_Story/1010301,1,0,0,0,0,0
1010302,3004,埃西尔,没关系，我的魔法要比他们劣质的武器强十倍。,-1,0,2,1,9,110101,100,0,0,120,VO_Story/1010302_aixier,1,0,0,0,0,0
1010303,1000,####,好惊人的破坏力，一瞬间就解决了全部敌人。,1010304,0,1,1,9,110101,10200,1,0,120,VO_Story/1010303,1,0,0,0,0,0
1010304,3004,埃西尔,哼，之前要不是他们偷袭，我才不会让他们有机可乘。,1010305,0,2,1,9,110101,10200,1,0,120,VO_Story/1010304_aixier,1,0,0,0,0,0
1010305,2006,塔里克,咳咳，你还是老样子，[1]埃西尔[0]。,1010306,0,1,1,9,110101,10200,1,0,120,VO_Story/1010305_talike,1,0,0,0,0,0
1010306,2006,塔里克,刚才是不是准备连我也一起烧了？,-1,0,1,1,9,110101,10200,1,0,120,VO_Story/1010306_talike,1,0,0,0,0,0
1010320,3004,埃西尔,我的能量已经蓄满，可以施放大招了！,1010321,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_3_1_aixier,1,0,0,0,0,0
1010321,3004,埃西尔,看我烧焦他们！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_3_2_aixier,1,0,0,0,0,0
1010401,3004,埃西尔,你没事吧？[1]塔里克[0]。,1010402,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_4_1_aixier,1,20016,0,0,0,0
1010402,2006,塔里克,巴德在上，那些绿皮伤不了我。,1010403,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_4_2_talike,1,20016,0,0,0,0
1010403,1000,####,你是圣赫利教廷的骑士？,1010404,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_4_3,1,20016,0,0,0,0
1010404,2006,塔里克,没错，橡叶骑士团一等骑士[1]塔里克[0]，感谢您的救命之恩。,1010405,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_4_4_talike,1,20016,0,0,0,0
1010405,1000,####,[1]泰拉神器[0]有危险，我们必须将它护送到[1]赫利海姆[0]。,1010406,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_4_5,1,20016,0,0,0,0
1010406,2006,塔里克,[1]泰拉神器[0]？什么人敢打它的主意？,1010407,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_4_6_talike,1,20016,0,0,0,0
1010407,1000,####,[1]丧钟军团[0]。,1010408,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_4_7,1,20016,0,0,0,0
1010408,2006,塔里克,圣光啊……此事非同小可，我一定尽力而为。,1010409,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_4_8_talike,1,20016,0,0,0,0
1010409,2006,塔里克,抱歉，[1]埃西尔[0]，我们的旅行该结束了。,1010410,0,2,1,10,0,0,0,0,120,VO_Story/C1_g1_4_9_talike,1,20016,0,0,0,0
1010410,3004,埃西尔,没关系，咱们来场冒险也不错。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g1_4_10_aixier,1,20016,0,0,0,0
1020101,2004,妮妮,你们别过来，不然别怪我不客气。,1020102,0,2,1,10,0,0,0,0,120,VO_Story/C1_g2_1_1_nini,1,20016,0,0,0,0
1020102,1010,塞拉,龙夏的狐妖？兽人佣兵团里还有这种生物？,1020103,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_1_2_saila,1,20016,0,0,0,0
1020103,3004,埃西尔,住手，[1]妮妮[0]！,1020104,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_1_3_aixier,1,20016,0,0,0,0
1020104,2004,妮妮,[1]埃西尔[0]！还有[1]塔里克[0]！太好了，[1]妮妮[0]终于不用一个人了。,1020105,0,2,1,10,0,0,0,0,120,VO_Story/C1_g2_1_4_nini,1,20016,0,0,0,0
1020105,2006,塔里克,感谢圣光指引我们。,1020106,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_1_5_talike,1,20016,0,0,0,0
1020106,3004,埃西尔,这下我们的队伍就凑齐了。让那群兽人知道我们的厉害。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_1_6_aixier,1,20016,0,0,0,0
1020201,3004,埃西尔,领主大人，请让我的朋友们上阵吧！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_2_1_aixier,1,0,0,0,0,0
1020202,2006,塔里克,我是光明神选中的骑士。,1020203,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_2_2_talike,1,0,0,0,0,0
1020203,2006,塔里克,在圣光的加持下，敌人伤不了我。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_2_3_talike,1,0,0,0,0,0
1020301,2004,妮妮,[1]妮妮[0]是泰拉尔的自然祭司哦。,1020302,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_3_1_nini,1,0,0,0,0,0
1020302,2004,妮妮,我的神术可以帮大家恢复生命。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g2_3_2_nini,1,0,0,0,0,0
1030101,4004,奥尔加,哈哈哈，都送上门来了，把你们交给老大，今晚就有肉吃了。,1030102,0,2,2,10,0,0,0,0,120,VO_Story/1030101_aoerjia,1,20016,0,0,0,0
1030102,3004,埃西尔,哪来的自信，你确定你打得过我们吗？,1030103,0,1,1,10,0,0,0,0,120,VO_Story/C1_g3_1_2_aixier,1,20016,0,0,0,0
1030103,4004,奥尔加,妈妈说过，凡事都要往好处去想。,1030104,0,2,2,10,0,0,0,0,120,VO_Story/1030103_aoerjia,1,20016,0,0,0,0
1030104,3004,埃西尔,你的妈妈一定没说过，千万别惹法师。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g3_1_4_aixier,1,20016,0,0,0,0
1030106,4004,奥尔加,我有先祖之力保护，刀枪不入，你们伤不了我！,1030107,0,2,2,9,110104,100,0,0,120,VO_Story/1030106_aoerjia,1,0,0,0,0,0
1030107,3004,埃西尔,哼，真可惜，我才不会用武器来伤害你。,-1,0,1,1,9,110104,100,0,0,120,VO_Story/1030107_aixier,1,0,0,0,0,0
1030108,4004,奥尔加,好、好烫！完全挡不住啊。不打了，我投降！,1030109,0,2,2,9,110104,10200,1,0,120,VO_Story/1030108_aoerjia,1,0,0,0,0,0
1030109,3004,埃西尔,刚刚的嚣张劲哪去了。,1030110,0,1,1,9,110104,10200,1,0,120,VO_Story/1030109_aixier,1,0,0,0,0,0
1030110,4004,奥尔加,果然还是法师天下第一。额，这个送给你，放我一条生路吧。,-1,0,2,2,9,110104,10200,1,0,120,VO_Story/1030110_aoerjia,1,0,0,0,0,0
1030201,3004,埃西尔,是[1]元素粉尘[0]！,1030202,0,1,1,10,0,0,0,0,120,VO_Story/C1_g3_2_1_aixier,1,0,0,0,0,0
1030202,3004,埃西尔,我就是为了这个才来[1]希伦[0]的。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g3_2_2_aixier,1,0,0,0,0,0
1030203,3004,埃西尔,[1]元素粉尘[0]来自元素位面，可以提升我的法力。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g3_2_3_aixier,1,0,0,0,0,0
1040101,1010,塞拉,领主大人，前面有一座遗迹。,1040102,1040106,2,1,10,0,0,0,0,120,VO_Story/C1_g4_1_1_saila,1,20016,0,0,0,0
1040102,1000,####,奇怪了，我记得以前这里是一座巨石才对。,1040103,1040106,1,1,10,0,0,0,0,120,VO_Story/C1_g4_1_2,1,20016,0,0,0,0
1040103,3004,埃西尔,是障眼法，有人用魔法将它给封印了起来。,1040104,1040106,2,1,10,0,0,0,0,120,VO_Story/C1_g4_1_3_aixier,1,20016,0,0,0,0
1040104,1010,塞拉,最近发生了很多怪事，难道和神器的异动有关？,1040105,1040106,2,1,10,0,0,0,0,120,VO_Story/C1_g4_1_4_saila,1,20016,0,0,0,0
1040105,1000,####,先别想那么多了，我们试试将封印给解开……,1040106,1040106,1,1,10,0,0,0,0,120,VO_Story/C1_g4_1_5,1,20016,0,0,0,0
1040106,0,0,0,1040107,0,1,1,11,0,0,0,0,120,0,1,0,0,0,1001,0
1040107,3004,埃西尔,封印解除了，我感觉遗迹里有很强烈的魔网能量。,1040108,0,2,1,10,0,0,0,0,120,VO_Story/C1_g4_3_1_aixier,1,20016,0,0,0,0
1040108,1000,####,我们进去看看！,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g4_3_2,1,20016,0,0,0,0
1040201,3004,埃西尔,是货真价实的[1]星魂[0]！这可是万事之战时期的遗物。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g4_2_1_aixier,1,0,0,0,0,0
1040202,3004,埃西尔,它蕴涵着星界的神秘力量。,1040203,0,1,1,10,0,0,0,0,120,VO_Story/C1_g4_2_2_aixier,1,0,0,0,0,0
1040203,3004,埃西尔,有了它我的法力可以成倍增长。,-1,0,1,1,10,0,0,0,0,120,VO_Story/C1_g4_2_3_aixier,1,0,0,0,0,0
1050101,2005,艾克斯,这群没用的废物，什么事都要我亲自动手。,1050102,0,2,2,10,0,0,0,0,120,VO_Story/1050101_aikesi,1,20016,0,0,0,0
1050102,1000,####,他们是兽人王国奥克斯坦的正规军！,1050103,0,1,1,10,0,0,0,0,120,VO_Story/1050102,1,20016,0,0,0,0
1050103,1000,####,你们为什么要帮助[1]丧钟军团[0]？难道你们已经抛弃奥克萨的荣耀了吗？,1050104,0,1,1,10,0,0,0,0,120,VO_Story/1050103,1,20016,0,0,0,0
1050104,2005,艾克斯,荣耀？都什么时代了，哈哈哈……,1050105,0,2,2,10,0,0,0,0,120,VO_Story/1050104_aikesi,1,20016,0,0,0,0
1050105,2005,艾克斯,只要给金币，暗灵也好，恶魔也好，都可以成为朋友。,-1,0,2,2,10,0,0,0,0,120,VO_Story/1050105_aikesi,1,20016,0,0,0,0
1050110,2005,艾克斯,呃啊啊啊！,1050111,0,2,2,9,110105,100,0,0,120,VO_Story/1050110_aikesi,0,0,0,0,0,0
1050111,1000,####,大家小心！他的样子很奇怪。,1050112,0,1,1,9,110105,100,0,0,120,VO_Story/1050111,0,0,0,0,0,0
1050112,2005,艾克斯,哈哈哈，[1]德古拉[0]大人赐给我的力量，就让你们好好见识一下吧。,-1,0,2,2,9,110105,100,0,0,120,VO_Story/1050112_aikesi,0,0,0,0,0,0
