id,type,rank1,rank2,costitem1,costnum1,costitem2,costnum2,costitem3,costnum3,costitem4,costnum4,costitem5,costnum5,des
1,1,1,2,91000002,20,0,0,0,0,0,0,0,0,竞技场购买次数
2,1,3,4,91000002,50,0,0,0,0,0,0,0,0,竞技场购买次数
3,1,5,10,91000002,100,0,0,0,0,0,0,0,0,竞技场购买次数
4,1,11,20,91000002,200,0,0,0,0,0,0,0,0,竞技场购买次数
5,1,20,999999,91000002,300,0,0,0,0,0,0,0,0,竞技场购买次数
6,2,1,2,91000002,20,0,0,0,0,0,0,0,0,竞技场重置冷却
7,2,3,4,91000002,20,0,0,0,0,0,0,0,0,竞技场重置冷却
8,2,5,10,91000002,20,0,0,0,0,0,0,0,0,竞技场重置冷却
9,2,11,20,91000002,20,0,0,0,0,0,0,0,0,竞技场重置冷却
10,2,20,999999,91000002,20,0,0,0,0,0,0,0,0,竞技场重置冷却
11,3,1,1,91000002,0,0,0,0,0,0,0,0,0,镇魂塔重置购买次数
12,3,2,3,91000002,200000,0,0,0,0,0,0,0,0,镇魂塔重置购买次数
13,3,4,5,91000002,500000,0,0,0,0,0,0,0,0,镇魂塔重置购买次数
14,3,6,10,91000002,1000000,0,0,0,0,0,0,0,0,镇魂塔重置购买次数
15,3,10,999999,91000002,5000000,0,0,0,0,0,0,0,0,镇魂塔重置购买次数
16,4,1,2,91000002,100,0,0,0,0,0,0,0,0,镇魂塔精英副本购买次数
17,4,3,4,91000002,150,0,0,0,0,0,0,0,0,镇魂塔精英副本购买次数
18,4,5,10,91000002,200,0,0,0,0,0,0,0,0,镇魂塔精英副本购买次数
19,4,11,20,91000002,300,0,0,0,0,0,0,0,0,镇魂塔精英副本购买次数
20,4,20,999999,91000002,500,0,0,0,0,0,0,0,0,镇魂塔精英副本购买次数
21,5,1,2,91000002,20,0,0,0,0,0,0,0,0,镇魂塔祝福刷新购买次数
22,5,3,4,91000002,50,0,0,0,0,0,0,0,0,镇魂塔祝福刷新购买次数
23,5,5,10,91000002,100,0,0,0,0,0,0,0,0,镇魂塔祝福刷新购买次数
24,5,11,20,91000002,200,0,0,0,0,0,0,0,0,镇魂塔祝福刷新购买次数
25,5,20,999999,91000002,300,0,0,0,0,0,0,0,0,镇魂塔祝福刷新购买次数
26,6,1,10,91000002,30,0,0,0,0,0,0,0,0,宝石副本购买次数
27,7,1,10,91000002,500,0,0,0,0,0,0,0,0,王国任务行动力购买
28,8,1,999999,91000002,10,0,0,0,0,0,0,0,0,赏金任务刷新价格
29,9,1,999,91000002,50,0,0,0,0,0,0,0,0,赏金任务立即完成价格
30,10,2,2,91000002,50,0,0,0,0,0,0,0,0,王国任务开第一个箱子箱子价格
31,10,3,3,91000002,100,0,0,0,0,0,0,0,0,王国任务开第二个箱子箱子价格
32,10,4,4,91000002,150,0,0,0,0,0,0,0,0,王国任务开第三个箱子箱子价格
33,11,0,0,91000002,50,0,0,0,0,0,0,0,0,王权争夺次数购买
34,12,0,0,91000002,500,0,0,0,0,0,0,0,0,改名
35,13,1,2,91000002,20,0,0,0,0,0,0,0,0,城池入侵行动次数
36,13,3,4,91000002,30,0,0,0,0,0,0,0,0,城池入侵行动次数
37,13,5,6,91000002,40,0,0,0,0,0,0,0,0,城池入侵行动次数
38,13,7,8,91000002,50,0,0,0,0,0,0,0,0,城池入侵行动次数
39,13,9,10,91000002,60,0,0,0,0,0,0,0,0,城池入侵行动次数
40,13,11,15,91000002,80,0,0,0,0,0,0,0,0,城池入侵行动次数
41,13,16,20,91000002,100,0,0,0,0,0,0,0,0,城池入侵行动次数
42,13,21,30,91000002,120,0,0,0,0,0,0,0,0,城池入侵行动次数
43,13,30,50,91000002,150,0,0,0,0,0,0,0,0,城池入侵行动次数
44,13,50,999999,91000002,200,0,0,0,0,0,0,0,0,城池入侵行动次数
45,20,202,0,12200601,5,0,0,0,0,0,0,0,0,圣殿先锋魂石
46,20,203,0,12300401,5,0,0,0,0,0,0,0,0,凤凰之心魂石
47,20,204,0,12200401,5,0,0,0,0,0,0,0,0,精灵妖狐魂石
48,20,205,0,12100701,5,0,0,0,0,0,0,0,0,灾祸使者魂石
49,20,206,0,12300601,5,0,0,0,0,0,0,0,0,部族贤者魂石
50,20,207,0,12300801,5,0,0,0,0,0,0,0,0,觅血屠夫魂石
51,20,208,0,12400901,5,0,0,0,0,0,0,0,0,女伯爵魂石
52,20,209,0,12400101,5,0,0,0,0,0,0,0,0,星界猎人魂石
53,20,210,0,12400801,5,0,0,0,0,0,0,0,0,仙林女神魂石
54,20,211,0,12101001,5,0,0,0,0,0,0,0,0,灵翼刺客魂石
55,20,212,0,12301201,5,0,0,0,0,0,0,0,0,北岭之弓魂石
56,20,213,0,12201001,5,0,0,0,0,0,0,0,0,熔岩斗士魂石
57,20,214,0,12100201,2,0,0,0,0,0,0,0,0,仲裁官魂石
58,20,215,0,12401001,2,0,0,0,0,0,0,0,0,元素之女魂石
59,20,216,0,12300301,2,0,0,0,0,0,0,0,0,魅魔女王魂石
60,20,217,0,12100101,2,0,0,0,0,0,0,0,0,海洋之狼魂石
61,20,218,0,12100501,2,0,0,0,0,0,0,0,0,爆裂队长魂石
62,20,219,0,12100601,1,0,0,0,0,0,0,0,0,收割者魂石
63,20,220,0,12200101,3,0,0,0,0,0,0,0,0,暮光骑士魂石
64,20,221,0,12200301,3,0,0,0,0,0,0,0,0,通灵师魂石
65,20,222,0,12200501,3,0,0,0,0,0,0,0,0,荒漠可汗魂石
66,20,223,0,12300101,8,0,0,0,0,0,0,0,0,火焰领主魂石
67,20,224,0,12300201,8,0,0,0,0,0,0,0,0,黑羽之箭魂石
68,20,225,0,12300501,8,0,0,0,0,0,0,0,0,刀魂魂石
69,20,226,0,12300701,10,0,0,0,0,0,0,0,0,灵界大帝魂石
70,20,227,0,12300901,20,0,0,0,0,0,0,0,0,夺灵者魂石
71,20,228,0,12301101,10,0,0,0,0,0,0,0,0,烈火精灵魂石
72,20,229,0,12400601,10,0,0,0,0,0,0,0,0,混沌法师魂石
73,20,230,0,12200901,10,0,0,0,0,0,0,0,0,原力法师魂石
74,20,231,0,12101101,20,0,0,0,0,0,0,0,0,影之牙魂石
75,20,232,0,12400701,1,0,0,0,0,0,0,0,0,猩红之王魂石
76,20,233,0,12301001,1,0,0,0,0,0,0,0,0,恶魔之拥魂石
77,20,234,0,12201101,1,0,0,0,0,0,0,0,0,教廷圣女魂石
78,20,235,0,12100301,1,0,0,0,0,0,0,0,0,复仇天使魂石
79,20,236,0,12401101,1,0,0,0,0,0,0,0,0,冰晶之心魂石
80,20,237,0,12400301,1,0,0,0,0,0,0,0,0,圣光祭司魂石
81,21,0,0,91000001,10,0,0,0,0,0,0,0,0,佣兵强化
82,22,0,0,91000001,1000,40000001,1,0,0,0,0,0,0,0个锁佣兵洗练
83,22,1,1,91000001,1000,40000001,1,40000002,1,0,0,0,0,1个锁佣兵洗练
84,22,2,2,91000001,1000,40000001,1,40000002,2,0,0,0,0,2个锁佣兵洗练
