teamlv,teamexplv,teamtotolexp,getphysical,getlimit,physicallimit,Recommendedstrength,powerlimit
1,20,20,20,1,100,930,150
2,30,50,20,1,101,1000,150
3,30,80,20,1,102,3900,150
4,30,110,20,1,103,5400,150
5,30,140,20,1,104,5400,150
6,60,200,20,1,105,5800,150
7,60,260,20,1,106,9500,150
8,60,320,20,1,107,9500,150
9,60,380,20,1,108,10000,150
10,60,440,20,1,109,13400,150
11,60,500,20,1,110,14200,150
12,90,590,20,1,111,18500,150
13,90,680,20,1,112,27000,150
14,90,770,20,1,113,29600,150
15,90,860,20,1,114,37000,150
16,120,980,20,1,115,40000,150
17,150,1130,20,1,116,44800,150
18,180,1310,20,1,117,45300,150
19,210,1520,20,1,118,46000,150
20,220,1740,20,1,119,55000,150
21,230,1970,20,1,120,57000,150
22,240,2210,20,1,121,67000,150
23,260,2470,20,1,122,67500,150
24,280,2750,20,1,123,68100,150
25,300,3050,20,1,124,72000,150
26,300,3350,20,1,125,85000,150
27,300,3650,20,1,126,100000,150
28,300,3950,20,1,127,120000,150
29,300,4250,20,1,128,130000,150
30,300,4550,20,1,129,150000,150
31,300,4850,20,1,130,160000,150
32,300,5150,20,1,131,170000,150
33,300,5450,20,1,132,180000,150
34,300,5750,20,1,133,190000,150
35,300,6050,20,1,134,200000,150
36,300,6350,20,1,135,210000,150
37,300,6650,20,1,136,220000,150
38,300,6950,20,1,137,230000,150
39,300,7250,20,1,138,240000,150
40,300,7550,20,1,139,250000,150
41,300,7850,20,1,140,260000,150
42,300,8150,20,1,141,270000,150
43,300,8450,20,1,142,280000,150
44,300,8750,20,1,143,290000,150
45,300,9050,20,1,144,300000,150
46,300,9350,20,1,145,320000,150
47,300,9650,20,1,146,340000,150
48,300,9950,20,1,147,360000,150
49,350,10300,20,1,148,380000,150
50,400,10700,20,1,149,400000,150
51,500,11200,20,1,150,420000,150
52,600,11800,20,1,151,440000,150
53,650,12450,20,1,152,460000,150
54,600,13050,20,1,153,480000,150
55,600,13650,20,1,154,550000,150
56,700,14350,20,1,155,570000,150
57,700,15050,20,1,156,590000,150
58,700,15750,20,1,157,610000,150
59,700,16450,20,1,158,630000,150
60,700,17150,20,1,159,650000,150
61,800,17950,20,1,160,670000,150
62,800,18750,20,1,161,690000,150
63,800,19550,20,1,162,710000,150
64,800,20350,20,1,163,730000,150
65,1000,21350,20,1,164,800000,150
66,1000,22350,20,1,165,830000,150
67,1000,23350,20,1,166,860000,150
68,1000,24350,20,1,167,890000,150
69,1000,25350,20,1,168,920000,150
70,1000,26350,20,1,169,1000000,150
71,1000,27350,20,1,170,1100000,150
72,1000,28350,20,1,171,1200000,150
73,1000,29350,20,1,172,1300000,150
74,1000,30350,20,1,173,1400000,150
75,1000,31350,20,1,174,1500000,150
76,1000,32350,20,1,175,1600000,150
77,1200,33550,20,1,176,1650000,150
78,1400,34950,20,1,177,1700000,150
79,1600,36550,20,1,178,1750000,150
80,1800,38350,20,1,179,1800000,150
81,2000,40350,20,1,180,1850000,150
82,2200,42550,20,1,181,1900000,150
83,2400,44950,20,1,182,1950000,150
84,2600,47550,20,1,183,2000000,150
85,2800,50350,20,1,184,2050000,150
86,3000,53350,20,1,185,2100000,150
87,3200,56550,20,1,186,2150000,150
88,3400,59950,20,1,187,2200000,150
89,3600,63550,20,1,188,2250000,150
90,3800,67350,20,1,189,2300000,150
